<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AADR.US,5,20230522,161500,47.7301,47.7301,47.7301,47.7301,180,0
AADR.US,5,20230522,202500,47.8083,47.8083,47.8083,47.8083,310,0
AADR.US,5,20230523,153000,47.5,47.5,47.5,47.5,301,0
AADR.US,5,20230523,195500,47.12,47.12,47.12,47.12,700,0
AADR.US,5,20230524,153000,46.49,46.49,46.49,46.49,116,0
AADR.US,5,20230524,161000,46.27,46.27,46.27,46.27,100,0
AADR.US,5,20230524,174500,46.395,46.395,46.395,46.395,211,0
AADR.US,5,20230524,190500,46.2201,46.2201,46.2201,46.2201,1526,0
AADR.US,5,20230524,202000,46.505,46.505,46.505,46.505,475,0
AADR.US,5,20230526,161500,46.9275,46.9275,46.9275,46.9275,160,0
AADR.US,5,20230526,162000,46.99,46.99,46.99,46.99,100,0
AADR.US,5,20230526,204500,47.07,47.07,47.07,47.07,100,0
AADR.US,5,20230530,185500,46.4383,46.4383,46.4383,46.4383,278,0
AADR.US,5,20230530,215000,46.5553,46.5553,46.5553,46.5553,605,0
AADR.US,5,20230530,215500,46.37,46.37,46.37,46.37,100,0
AADR.US,5,20230531,184000,45.8699,45.8699,45.8699,45.8699,140,0
AADR.US,5,20230531,194000,45.87,45.87,45.87,45.87,200,0
AADR.US,5,20230601,160000,46.49,46.49,46.49,46.49,100,0
AADR.US,5,20230601,162500,46.5,46.55,46.279,46.54,1780,0
AADR.US,5,20230601,163000,45.945,47.08,45.945,46.6001,2597,0
AADR.US,5,20230601,163500,46.6001,47.66,46.5801,46.5988,2240,0
AADR.US,5,20230601,164500,46.62,46.62,46.62,46.62,100,0
AADR.US,5,20230601,194500,47.1153,47.1153,47.1153,47.1153,300,0
AADR.US,5,20230601,210000,46.97,46.97,46.97,46.97,200,0
AADR.US,5,20230602,154500,47.53,47.58,46.805,47.57,3522,0
AADR.US,5,20230602,155000,47.94,48.5,47.63,47.71,4490,0
AADR.US,5,20230602,155500,47.5,47.781,47.45,47.781,3129,0
AADR.US,5,20230602,160000,48.45,48.45,47.549,47.55,1873,0
AADR.US,5,20230602,160500,47.414,47.7869,47.414,47.61,2469,0
AADR.US,5,20230602,161500,47.49,47.68,47.46,47.68,3561,0
AADR.US,5,20230602,172000,47.8884,47.8884,47.8884,47.8884,1499,0
AADR.US,5,20230602,172500,47.98,47.98,47.98,47.98,100,0
AADR.US,5,20230602,174000,47.9899,47.9899,47.9899,47.9899,169,0
AADR.US,5,20230605,153000,47.5,47.8,45.76,47.8,899,0
AADR.US,5,20230605,153500,47.75,47.92,47.715,47.92,900,0
AADR.US,5,20230605,154000,47.7084,47.7084,47.7,47.7,1104,0
AADR.US,5,20230605,160500,47.6801,47.6801,47.6801,47.6801,354,0
AADR.US,5,20230605,193500,47.69,47.69,47.69,47.69,515,0
AADR.US,5,20230605,210000,47.824,47.824,47.824,47.824,104,0
AADR.US,5,20230606,153000,47.61,47.7,47.5447,47.7,401,0
AADR.US,5,20230606,153500,47.9,47.91,47.9,47.91,220,0
AADR.US,5,20230606,154000,48.03,48.03,48.03,48.03,100,0
AADR.US,5,20230606,155000,47.96,47.9601,47.96,47.9601,200,0
AADR.US,5,20230606,155500,47.9603,47.9603,47.9603,47.9603,200,0
AADR.US,5,20230606,160500,48.04,48.04,48.04,48.04,100,0
AADR.US,5,20230606,163500,48.11,48.11,48.11,48.11,100,0
AADR.US,5,20230606,202000,48.5,48.5,48.5,48.5,100,0
AADR.US,5,20230606,215500,48.5,48.5,48.5,48.5,271,0
AADR.US,5,20230607,155500,48.8387,48.8387,48.8387,48.8387,791,0
AADR.US,5,20230607,160000,48.74,48.74,48.74,48.74,164,0
AADR.US,5,20230607,172500,48.82,48.82,48.82,48.82,307,0
AADR.US,5,20230607,173000,48.67,48.67,48.67,48.67,240,0
AADR.US,5,20230607,213500,48.405,48.405,48.405,48.405,1000,0
AADR.US,5,20230608,162000,48.865,48.865,48.865,48.865,300,0
AADR.US,5,20230608,201000,48.76,48.76,48.76,48.76,337,0
AADR.US,5,20230609,153000,49,49,49,49,810,0
AADR.US,5,20230609,202500,49.21,49.22,49.21,49.22,200,0
AADR.US,5,20230612,162000,49.025,49.025,49.025,49.025,313,0
AADR.US,5,20230612,163000,49.0066,49.0066,49.0066,49.0066,231,0
AADR.US,5,20230612,180000,48.9649,48.9649,48.9649,48.9649,130,0
AADR.US,5,20230612,190500,48.81,48.81,48.81,48.81,100,0
AADR.US,5,20230613,153000,49,49.31,49,49.31,1255,0
AADR.US,5,20230613,153500,49.53,49.53,49.3401,49.35,600,0
AADR.US,5,20230613,161000,48.6,49.32,48.6,49.32,910,0
AADR.US,5,20230613,164500,49.4901,49.5101,49.4901,49.5101,300,0
AADR.US,5,20230613,165500,49.4901,49.4901,49.4901,49.4901,104,0
AADR.US,5,20230614,183000,50.0593,50.0593,50.0593,50.0593,118,0
AADR.US,5,20230615,160000,49.99,49.99,49.98,49.98,1941,0
AADR.US,5,20230615,161500,50.14,50.14,50.14,50.14,204,0
AADR.US,5,20230615,165500,50.29,50.29,50.28,50.28,2573,0
AADR.US,5,20230615,170000,50.28,50.28,50.28,50.28,100,0
AADR.US,5,20230615,205500,50.43,50.43,50.43,50.43,2173,0
AADR.US,5,20230615,210000,50.28,50.28,50.28,50.28,104,0
AADR.US,5,20230615,210500,50.2612,50.2612,50.2612,50.2612,100,0
AADR.US,5,20230615,214500,50.25,50.25,50.25,50.25,200,0
AADR.US,5,20230616,155000,50.56,50.56,50.56,50.56,734,0
AADR.US,5,20230616,155500,50.58,50.58,50.58,50.58,100,0
AADR.US,5,20230616,171500,50.5649,50.5649,50.5649,50.5649,324,0
AADR.US,5,20230616,172500,50.37,50.37,50.345,50.345,200,0
AADR.US,5,20230620,154500,49.77,49.77,49.77,49.77,320,0
AADR.US,5,20230620,193500,49.61,49.61,49.61,49.61,700,0
AADR.US,5,20230621,160000,49.6399,49.6399,49.6399,49.6399,124,0
AADR.US,5,20230621,211000,49.61,49.662,49.61,49.662,520,0
AADR.US,5,20230621,211500,49.61,49.61,49.61,49.61,268,0
AADR.US,5,20230621,214000,49.48,49.48,49.48,49.48,415,0
AADR.US,5,20230622,183500,49.275,49.275,49.275,49.275,300,0
AADR.US,5,20230622,185000,49.3899,49.3899,49.3899,49.3899,100,0
AADR.US,5,20230622,192000,49.1899,49.1899,49.1899,49.1899,900,0
AADR.US,5,20230622,203000,49.25,49.25,49.25,49.25,756,0
AADR.US,5,20230622,215000,49.421,49.421,49.421,49.421,100,0
AADR.US,5,20230623,180000,48.8064,48.8064,48.8064,48.8064,410,0
AADR.US,5,20230623,204000,48.7868,48.7868,48.7868,48.7868,100,0
AADR.US,5,20230623,205000,48.78,48.8,48.78,48.8,1000,0
AADR.US,5,20230623,205500,48.7662,48.7662,48.7662,48.7662,167,0
AADR.US,5,20230627,153000,47.73,47.73,47.73,47.73,590,0
AADR.US,5,20230627,164500,49.0126,49.0126,49.0126,49.0126,183,0
AADR.US,5,20230627,212500,49.05,49.05,49.05,49.05,100,0
AADR.US,5,20230627,215500,48.98,48.98,48.98,48.98,368,0
AADR.US,5,20230629,170500,49.005,49.005,49.005,49.005,179,0
AADR.US,5,20230629,201500,48.92,48.92,48.92,48.92,1750,0
AADR.US,5,20230630,173000,49.35,49.35,49.35,49.35,524,0
AADR.US,5,20230630,174000,49.35,49.4119,49.35,49.4119,900,0
AADR.US,5,20230630,195500,49.5732,49.5732,49.5732,49.5732,250,0
AADR.US,5,20230703,153000,48.16,48.16,48.16,48.16,718,0
AADR.US,5,20230703,154000,49.55,49.55,49.55,49.55,175,0
AADR.US,5,20230703,170500,49.505,49.505,49.35,49.35,455,0
AADR.US,5,20230705,165500,49.09,49.09,49.09,49.09,400,0
AADR.US,5,20230705,171500,49.01,49.01,49.01,49.01,200,0
AADR.US,5,20230705,175500,49,49,49,49,100,0
AADR.US,5,20230705,202000,49.16,49.16,49.16,49.16,608,0
AADR.US,5,20230705,202500,49.0591,49.0591,49.0591,49.0591,328,0
AADR.US,5,20230705,211000,49.16,49.16,49.16,49.16,100,0
AADR.US,5,20230706,153000,48.22,48.22,48.22,48.22,103,0
AADR.US,5,20230706,154000,48.39,48.5919,48.39,48.56,3600,0
AADR.US,5,20230706,154500,48.55,48.567,48.5,48.52,1994,0
AADR.US,5,20230706,200000,48.13,48.13,48.13,48.13,1623,0
AADR.US,5,20230706,201000,48.12,48.12,48.12,48.12,100,0
AADR.US,5,20230706,204000,48.223,48.223,48.223,48.223,650,0
AADR.US,5,20230706,215500,48.14,48.14,48.14,48.14,100,0
AADR.US,5,20230707,154500,48.34,48.34,48.34,48.34,200,0
AADR.US,5,20230707,170500,48.36,48.36,48.36,48.36,392,0
AADR.US,5,20230707,194500,48.95,48.95,48.95,48.95,703,0
