<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAXJ.US,5,20230522,153000,66.38,66.82,66.38,66.72,7154,0
AAXJ.US,5,20230522,153500,66.76,66.83,66.76,66.81,12694,0
AAXJ.US,5,20230522,154000,66.84,66.89,66.83,66.8483,4105,0
AAXJ.US,5,20230522,154500,66.85,66.93,66.85,66.93,5167,0
AAXJ.US,5,20230522,155000,66.94,66.96,66.87,66.87,4100,0
AAXJ.US,5,20230522,155500,66.84,66.84,66.81,66.82,834,0
AAXJ.US,5,20230522,160000,66.81,66.82,66.77,66.79,6503,0
AAXJ.US,5,20230522,160500,66.79,66.81,66.72,66.72,15523,0
AAXJ.US,5,20230522,161000,66.71,66.82,66.71,66.8,2436,0
AAXJ.US,5,20230522,161500,66.78,66.78,66.78,66.78,531,0
AAXJ.US,5,20230522,162000,66.82,66.82,66.78,66.81,1640,0
AAXJ.US,5,20230522,162500,66.79,66.79,66.75,66.755,12530,0
AAXJ.US,5,20230522,163000,66.765,66.79,66.76,66.79,3100,0
AAXJ.US,5,20230522,163500,66.8,66.8,66.78,66.78,4341,0
AAXJ.US,5,20230522,164000,66.77,66.78,66.75,66.78,2600,0
AAXJ.US,5,20230522,164500,66.8,66.81,66.78,66.78,11941,0
AAXJ.US,5,20230522,165000,66.78,66.8,66.74,66.74,900,0
AAXJ.US,5,20230522,165500,66.73,66.75,66.711,66.75,1595,0
AAXJ.US,5,20230522,170000,66.75,66.77,66.75,66.77,77770,0
AAXJ.US,5,20230522,170500,66.78,66.78,66.72,66.72,2200,0
AAXJ.US,5,20230522,171000,66.73,66.73,66.7,66.7,1327,0
AAXJ.US,5,20230522,171500,66.7,66.71,66.7,66.7,2000,0
AAXJ.US,5,20230522,172000,66.7,66.71,66.69,66.71,1100,0
AAXJ.US,5,20230522,172500,66.71,66.715,66.71,66.71,900,0
AAXJ.US,5,20230522,173000,66.7,66.7,66.67,66.67,1900,0
AAXJ.US,5,20230522,173500,66.67,66.68,66.64,66.64,3705,0
AAXJ.US,5,20230522,174000,66.64,66.645,66.64,66.64,600,0
AAXJ.US,5,20230522,174500,66.62,66.63,66.62,66.63,450,0
AAXJ.US,5,20230522,175000,66.65,66.67,66.65,66.66,16004,0
AAXJ.US,5,20230522,175500,66.66,66.67,66.66,66.66,4690,0
AAXJ.US,5,20230522,180000,66.64,66.66,66.63,66.65,1565,0
AAXJ.US,5,20230522,180500,66.65,66.69,66.65,66.69,46845,0
AAXJ.US,5,20230522,181000,66.7,66.725,66.7,66.71,3300,0
AAXJ.US,5,20230522,181500,66.69,66.7111,66.68,66.71,5246,0
AAXJ.US,5,20230522,182000,66.715,66.715,66.69,66.6925,5016,0
AAXJ.US,5,20230522,182500,66.69,66.72,66.69,66.7,5466,0
