<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACWI.US,5,20230522,153000,93.08,93.13,93.06,93.13,69517,0
ACWI.US,5,20230522,153500,93.2,93.33,93.2,93.3,60109,0
ACWI.US,5,20230522,154000,93.3,93.36,93.24,93.25,43778,0
ACWI.US,5,20230522,154500,93.22,93.26,93.19,93.23,37745,0
ACWI.US,5,20230522,155000,93.24,93.27,93.2,93.2,8538,0
ACWI.US,5,20230522,155500,93.2,93.21,93.11,93.13,3716,0
ACWI.US,5,20230522,160000,93.14,93.1401,93.06,93.09,4801,0
ACWI.US,5,20230522,160500,93.08,93.1,92.88,92.91,6909,0
ACWI.US,5,20230522,161000,92.92,93.13,92.92,93.11,18822,0
ACWI.US,5,20230522,161500,93.09,93.17,93.08,93.1605,4818,0
ACWI.US,5,20230522,162000,93.17,93.19,93.11,93.18,3337,0
ACWI.US,5,20230522,162500,93.165,93.18,93.12,93.15,27374,0
ACWI.US,5,20230522,163000,93.17,93.2,93.16,93.1675,21518,0
ACWI.US,5,20230522,163500,93.19,93.19,93.15,93.15,2598,0
ACWI.US,5,20230522,164000,93.11,93.11,93.09,93.1,400,0
ACWI.US,5,20230522,164500,93.1,93.1,93.05,93.06,6669,0
ACWI.US,5,20230522,165000,93.05,93.08,93.01,93.03,2592,0
ACWI.US,5,20230522,165500,93.02,93.09,92.98,93.085,6873,0
ACWI.US,5,20230522,170000,93.11,93.15,93.1,93.15,18051,0
ACWI.US,5,20230522,170500,93.15,93.205,93.15,93.17,80695,0
ACWI.US,5,20230522,171000,93.165,93.17,93.145,93.145,101731,0
ACWI.US,5,20230522,171500,93.15,93.19,93.15,93.165,73785,0
ACWI.US,5,20230522,172000,93.17,93.205,93.15,93.205,85289,0
ACWI.US,5,20230522,172500,93.2,93.21,93.18,93.2,111913,0
ACWI.US,5,20230522,173000,93.205,93.23,93.19,93.19,20516,0
ACWI.US,5,20230522,173500,93.2,93.2,93.14,93.15,26829,0
ACWI.US,5,20230522,174000,93.15,93.15,93.125,93.13,14181,0
ACWI.US,5,20230522,174500,93.11,93.12,93.08,93.115,17529,0
ACWI.US,5,20230522,175000,93.115,93.175,93.115,93.175,18043,0
ACWI.US,5,20230522,175500,93.2,93.225,93.2,93.2,17520,0
ACWI.US,5,20230522,180000,93.21,93.235,93.205,93.235,9612,0
ACWI.US,5,20230522,180500,93.205,93.225,93.195,93.21,3200,0
ACWI.US,5,20230522,181000,93.219,93.23,93.21,93.21,636,0
ACWI.US,5,20230522,181500,93.21,93.22,93.18,93.2105,7833,0
ACWI.US,5,20230522,182000,93.2211,93.23,93.145,93.145,1400,0
ACWI.US,5,20230522,182500,93.18,93.2,93.15,93.15,1705,0
ACWI.US,5,20230522,183000,93.17,93.19,93.14,93.15,2621,0
ACWI.US,5,20230522,183500,93.16,93.18,93.15,93.15,3637,0
ACWI.US,5,20230522,184000,93.15,93.16,93.15,93.16,1513,0
ACWI.US,5,20230522,184500,93.15,93.17,93.15,93.15,3426,0
ACWI.US,5,20230522,185000,93.1561,93.17,93.15,93.17,750,0
ACWI.US,5,20230522,185500,93.1801,93.19,93.1801,93.19,319,0
ACWI.US,5,20230522,190000,93.21,93.24,93.205,93.2147,9520,0
ACWI.US,5,20230522,190500,93.2,93.24,93.2,93.24,692,0
ACWI.US,5,20230522,191000,93.23,93.23,93.09,93.13,140037,0
ACWI.US,5,20230522,191500,93.12,93.13,93.05,93.125,37410,0
ACWI.US,5,20230522,192000,93.15,93.19,93.14,93.18,13652,0
ACWI.US,5,20230522,192500,93.18,93.2,93.17,93.18,3528,0
ACWI.US,5,20230522,193000,93.18,93.2107,93.18,93.21,16835,0
ACWI.US,5,20230522,193500,93.19,93.21,93.19,93.21,5484,0
ACWI.US,5,20230522,194000,93.23,93.24,93.21,93.22,22931,0
ACWI.US,5,20230522,194500,93.23,93.23,93.21,93.22,2516,0
ACWI.US,5,20230522,195000,93.22,93.22,93.2,93.2,2445,0
ACWI.US,5,20230522,195500,93.2,93.24,93.2,93.2,2900,0
ACWI.US,5,20230522,200000,93.2,93.23,93.19,93.23,1300,0
ACWI.US,5,20230522,200500,93.23,93.23,93.23,93.23,100,0
ACWI.US,5,20230522,201000,93.23,93.23,93.2189,93.22,626,0
ACWI.US,5,20230522,201500,93.21,93.23,93.21,93.23,200,0
ACWI.US,5,20230522,202000,93.26,93.26,93.24,93.24,600,0
ACWI.US,5,20230522,202500,93.2407,93.3,93.2407,93.3,1599,0
ACWI.US,5,20230522,203000,93.2907,93.31,93.281,93.29,84911,0
ACWI.US,5,20230522,203500,93.27,93.27,93.26,93.27,5504,0
ACWI.US,5,20230522,204000,93.27,93.31,93.26,93.3,14117,0
ACWI.US,5,20230522,204500,93.3,93.31,93.275,93.3,16093,0
ACWI.US,5,20230522,205000,93.31,93.38,93.31,93.325,33029,0
ACWI.US,5,20230522,205500,93.305,93.305,93.25,93.3,2302,0
ACWI.US,5,20230522,210000,93.3,93.33,93.28,93.29,4407,0
ACWI.US,5,20230522,210500,93.285,93.285,93.26,93.26,1363,0
ACWI.US,5,20230522,211000,93.255,93.27,93.25,93.2628,1021,0
ACWI.US,5,20230522,211500,93.25,93.275,93.222,93.26,26374,0
ACWI.US,5,20230522,212000,93.25,93.25,93.18,93.18,26793,0
ACWI.US,5,20230522,212500,93.16,93.16,93.11,93.14,2597,0
ACWI.US,5,20230522,213000,93.15,93.155,93.125,93.14,4741,0
ACWI.US,5,20230522,213500,93.11,93.115,93.0701,93.1,8584,0
ACWI.US,5,20230522,214000,93.1,93.12,93.09,93.1,4707,0
ACWI.US,5,20230522,214500,93.11,93.15,93.08,93.08,5997,0
ACWI.US,5,20230522,215000,93.09,93.12,93.045,93.105,24181,0
ACWI.US,5,20230522,215500,93.11,93.12,93.06,93.11,79667,0
ACWI.US,5,20230523,153000,92.63,92.63,92.54,92.58,40811,0
ACWI.US,5,20230523,153500,92.58,92.6,92.53,92.555,52109,0
ACWI.US,5,20230523,154000,92.56,92.605,92.56,92.59,14621,0
ACWI.US,5,20230523,154500,92.58,92.67,92.57,92.66,11036,0
ACWI.US,5,20230523,155000,92.66,92.7,92.63,92.7,15127,0
ACWI.US,5,20230523,155500,92.68,92.695,92.65,92.67,14561,0
ACWI.US,5,20230523,160000,92.67,92.74,92.67,92.7,12176,0
ACWI.US,5,20230523,160500,92.69,92.74,92.67,92.715,5204,0
ACWI.US,5,20230523,161000,92.72,92.74,92.69,92.7,5631,0
ACWI.US,5,20230523,161500,92.63,92.73,92.6,92.7,11100,0
ACWI.US,5,20230523,162000,92.72,92.72,92.65,92.67,78041,0
ACWI.US,5,20230523,162500,92.68,92.74,92.68,92.71,9344,0
ACWI.US,5,20230523,163000,92.72,92.72,92.69,92.72,9017,0
ACWI.US,5,20230523,163500,92.72,92.75,92.7,92.75,8662,0
ACWI.US,5,20230523,164000,92.74,92.74,92.69,92.7,9434,0
ACWI.US,5,20230523,164500,92.695,92.695,92.66,92.685,6446,0
ACWI.US,5,20230523,165000,92.68,92.68,92.6,92.65,8142,0
ACWI.US,5,20230523,165500,92.62,92.645,92.61,92.63,5315,0
ACWI.US,5,20230523,170000,92.635,92.69,92.625,92.675,7271,0
ACWI.US,5,20230523,170500,92.68,92.7,92.68,92.69,5214,0
ACWI.US,5,20230523,171000,92.685,92.685,92.655,92.66,7273,0
ACWI.US,5,20230523,171500,92.665,92.665,92.6164,92.6164,35312,0
ACWI.US,5,20230523,172000,92.61,92.665,92.61,92.66,57465,0
ACWI.US,5,20230523,172500,92.66,92.6901,92.66,92.69,89483,0
ACWI.US,5,20230523,173000,92.69,92.7,92.67,92.67,27436,0
ACWI.US,5,20230523,173500,92.66,92.675,92.645,92.675,6606,0
ACWI.US,5,20230523,174000,92.68,92.73,92.68,92.72,8589,0
ACWI.US,5,20230523,174500,92.73,92.74,92.695,92.7199,8380,0
ACWI.US,5,20230523,175000,92.71,92.725,92.695,92.72,7235,0
ACWI.US,5,20230523,175500,92.72,92.735,92.67,92.67,11916,0
ACWI.US,5,20230523,180000,92.68,92.71,92.6582,92.66,7435,0
ACWI.US,5,20230523,180500,92.66,92.67,92.62,92.63,8703,0
ACWI.US,5,20230523,181000,92.61,92.62,92.5863,92.62,8498,0
ACWI.US,5,20230523,181500,92.61,92.61,92.55,92.57,14486,0
ACWI.US,5,20230523,182000,92.58,92.6,92.57,92.59,4300,0
ACWI.US,5,20230523,182500,92.57,92.58,92.54,92.55,9086,0
ACWI.US,5,20230523,183000,92.54,92.56,92.54,92.55,2551,0
ACWI.US,5,20230523,183500,92.52,92.52,92.38,92.4,16438,0
ACWI.US,5,20230523,184000,92.39,92.41,92.34,92.36,17523,0
ACWI.US,5,20230523,184500,92.345,92.39,92.3,92.33,7257,0
ACWI.US,5,20230523,185000,92.335,92.39,92.33,92.37,7112,0
