<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACWX.US,5,20230522,153000,49.7,49.7,49.7,49.7,510,0
ACWX.US,5,20230522,153500,49.76,49.79,49.7587,49.78,60920,0
ACWX.US,5,20230522,154000,49.78,49.815,49.77,49.77,22081,0
ACWX.US,5,20230522,154500,49.77,49.775,49.75,49.77,2500,0
ACWX.US,5,20230522,155000,49.78,49.79,49.75,49.75,3200,0
ACWX.US,5,20230522,155500,49.75,49.75,49.71,49.72,6345,0
ACWX.US,5,20230522,160000,49.72,49.72,49.69,49.71,5389,0
ACWX.US,5,20230522,160500,49.72,49.72,49.67,49.67,4800,0
ACWX.US,5,20230522,161000,49.68,49.71,49.68,49.7,4220,0
ACWX.US,5,20230522,161500,49.72,49.7399,49.71,49.735,5839,0
ACWX.US,5,20230522,162000,49.74,49.74,49.71,49.74,7184,0
ACWX.US,5,20230522,162500,49.73,49.7351,49.71,49.725,28441,0
ACWX.US,5,20230522,163000,49.73,49.74,49.725,49.74,11961,0
ACWX.US,5,20230522,163500,49.75,49.75,49.72,49.72,15164,0
ACWX.US,5,20230522,164000,49.73,49.73,49.72,49.72,4113,0
ACWX.US,5,20230522,164500,49.73,49.7399,49.7,49.7,7064,0
ACWX.US,5,20230522,165000,49.7,49.7092,49.69,49.69,1580,0
ACWX.US,5,20230522,165500,49.69,49.7,49.67,49.69,10800,0
ACWX.US,5,20230522,170000,49.7,49.72,49.7,49.72,6585,0
ACWX.US,5,20230522,170500,49.72,49.72,49.71,49.71,9634,0
ACWX.US,5,20230522,171000,49.7,49.71,49.6999,49.7,11015,0
ACWX.US,5,20230522,171500,49.7,49.7,49.685,49.685,781,0
ACWX.US,5,20230522,172000,49.69,49.7,49.69,49.7,1018,0
ACWX.US,5,20230522,172500,49.71,49.72,49.71,49.71,3450,0
ACWX.US,5,20230522,173000,49.72,49.72,49.7,49.7,1650,0
ACWX.US,5,20230522,173500,49.7,49.705,49.69,49.69,10912,0
ACWX.US,5,20230522,174000,49.69,49.69,49.68,49.68,400,0
ACWX.US,5,20230522,174500,49.68,49.68,49.67,49.68,2004,0
ACWX.US,5,20230522,175000,49.69,49.71,49.69,49.71,4372,0
ACWX.US,5,20230522,175500,49.73,49.73,49.72,49.72,933,0
ACWX.US,5,20230522,180000,49.7299,49.74,49.7299,49.74,1156,0
ACWX.US,5,20230522,180500,49.73,49.74,49.73,49.74,1000,0
ACWX.US,5,20230522,181000,49.73,49.74,49.73,49.7399,2605,0
ACWX.US,5,20230522,181500,49.73,49.7422,49.73,49.7422,780,0
ACWX.US,5,20230522,182000,49.75,49.75,49.725,49.725,3093,0
ACWX.US,5,20230522,182500,49.73,49.75,49.73,49.74,1626,0
ACWX.US,5,20230522,183000,49.74,49.74,49.73,49.73,1450,0
ACWX.US,5,20230522,183500,49.735,49.735,49.73,49.73,800,0
ACWX.US,5,20230522,184000,49.74,49.74,49.74,49.74,100,0
ACWX.US,5,20230522,184500,49.74,49.745,49.74,49.74,2470,0
ACWX.US,5,20230522,185000,49.74,49.74,49.74,49.74,400,0
ACWX.US,5,20230522,185500,49.74,49.74,49.74,49.74,306,0
ACWX.US,5,20230522,190000,49.75,49.76,49.74,49.74,17311,0
ACWX.US,5,20230522,190500,49.74,49.75,49.74,49.745,4054,0
ACWX.US,5,20230522,191000,49.75,49.75,49.71,49.74,45019,0
ACWX.US,5,20230522,191500,49.72,49.7201,49.7096,49.72,17324,0
