<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGNG.US,5,20230522,153000,28.14,28.14,28.14,28.14,342,0
AGNG.US,5,20230522,155000,28.3,28.3,28.3,28.3,100,0
AGNG.US,5,20230522,155500,28.28,28.28,28.28,28.28,100,0
AGNG.US,5,20230522,192000,28.2631,28.2631,28.2631,28.2631,752,0
AGNG.US,5,20230522,202500,28.23,28.23,28.23,28.23,100,0
AGNG.US,5,20230523,184500,27.9995,27.9995,27.9995,27.9995,950,0
AGNG.US,5,20230523,203000,27.86,27.86,27.86,27.86,150,0
AGNG.US,5,20230523,210000,27.8154,27.8154,27.8154,27.8154,978,0
AGNG.US,5,20230523,213000,27.8791,27.8791,27.8791,27.8791,100,0
AGNG.US,5,20230524,153000,27.72,27.72,27.72,27.72,214,0
AGNG.US,5,20230524,155500,27.53,27.53,27.53,27.53,135,0
AGNG.US,5,20230524,180000,27.545,27.545,27.545,27.545,100,0
AGNG.US,5,20230524,195500,27.6,27.6,27.52,27.52,800,0
AGNG.US,5,20230524,205500,27.525,27.525,27.525,27.525,100,0
AGNG.US,5,20230524,213500,27.58,27.58,27.58,27.58,182,0
AGNG.US,5,20230525,153000,27.5,27.5,27.5,27.5,283,0
AGNG.US,5,20230525,165000,27.1101,27.1101,27.1101,27.1101,242,0
AGNG.US,5,20230525,171000,27.22,27.22,27.22,27.22,100,0
AGNG.US,5,20230525,180500,27.1142,27.1142,27.1142,27.1142,200,0
AGNG.US,5,20230525,193000,27.12,27.12,27.12,27.12,300,0
AGNG.US,5,20230525,193500,27.16,27.16,27.1517,27.1517,301,0
AGNG.US,5,20230525,194000,27.21,27.21,27.21,27.21,300,0
AGNG.US,5,20230525,200000,27.17,27.2,27.17,27.2,930,0
AGNG.US,5,20230525,212000,27.1799,27.1799,27.1799,27.1799,300,0
AGNG.US,5,20230525,213500,27.14,27.14,27.14,27.14,200,0
AGNG.US,5,20230526,153000,27.09,27.09,27.09,27.09,300,0
AGNG.US,5,20230526,203500,27.1599,27.1704,27.1599,27.1704,900,0
AGNG.US,5,20230526,204000,27.12,27.12,27.12,27.12,100,0
AGNG.US,5,20230526,205000,27.14,27.14,27.14,27.14,300,0
AGNG.US,5,20230531,183500,26.986,26.986,26.95,26.95,326,0
AGNG.US,5,20230531,185500,27.0299,27.03,27.02,27.0299,628,0
AGNG.US,5,20230531,200000,27.05,27.05,27.05,27.05,100,0
AGNG.US,5,20230601,210000,27.283,27.283,27.283,27.283,905,0
AGNG.US,5,20230602,153000,27.59,27.59,27.52,27.52,1698,0
AGNG.US,5,20230602,153500,27.57,27.62,27.57,27.615,2400,0
AGNG.US,5,20230602,155000,27.52,27.52,27.52,27.52,100,0
AGNG.US,5,20230602,160000,27.42,27.42,27.42,27.42,100,0
AGNG.US,5,20230602,160500,27.46,27.46,27.46,27.46,100,0
AGNG.US,5,20230602,161500,27.49,27.49,27.49,27.49,100,0
AGNG.US,5,20230602,162500,27.45,27.45,27.45,27.45,100,0
AGNG.US,5,20230602,163000,27.46,27.46,27.46,27.46,100,0
AGNG.US,5,20230602,164500,27.51,27.51,27.51,27.51,100,0
AGNG.US,5,20230602,165500,27.49,27.49,27.49,27.49,100,0
AGNG.US,5,20230602,172000,27.54,27.54,27.54,27.54,100,0
AGNG.US,5,20230602,173000,27.54,27.54,27.54,27.54,100,0
AGNG.US,5,20230602,173500,27.5401,27.5401,27.5401,27.5401,200,0
AGNG.US,5,20230602,174000,27.53,27.53,27.53,27.53,100,0
AGNG.US,5,20230602,175500,27.53,27.53,27.52,27.52,1210,0
AGNG.US,5,20230602,180000,27.53,27.5301,27.2801,27.2801,1200,0
AGNG.US,5,20230602,183000,27.52,27.52,27.52,27.52,100,0
AGNG.US,5,20230602,184000,27.53,27.53,27.53,27.53,100,0
AGNG.US,5,20230602,185500,27.54,27.54,27.54,27.54,100,0
AGNG.US,5,20230602,191000,27.54,27.54,27.54,27.54,100,0
AGNG.US,5,20230602,192000,27.55,27.55,27.55,27.55,100,0
AGNG.US,5,20230602,193500,27.56,27.56,27.56,27.56,100,0
AGNG.US,5,20230602,195000,27.57,27.57,27.57,27.57,100,0
AGNG.US,5,20230602,200000,27.58,27.58,27.58,27.58,100,0
AGNG.US,5,20230602,201500,27.56,27.56,27.56,27.56,100,0
AGNG.US,5,20230602,202500,27.58,27.58,27.58,27.58,100,0
AGNG.US,5,20230602,204000,27.58,27.58,27.58,27.58,100,0
AGNG.US,5,20230602,205000,27.61,27.61,27.61,27.61,100,0
AGNG.US,5,20230602,212000,27.665,27.665,27.665,27.665,100,0
AGNG.US,5,20230602,212500,27.62,27.62,27.62,27.62,100,0
AGNG.US,5,20230602,213500,27.61,27.61,27.61,27.61,100,0
AGNG.US,5,20230602,214000,27.62,27.62,27.62,27.62,100,0
AGNG.US,5,20230602,214500,27.66,27.66,27.66,27.66,100,0
AGNG.US,5,20230602,215000,27.655,27.655,27.61,27.61,200,0
AGNG.US,5,20230602,215500,27.66,27.6765,27.61,27.62,1016,0
AGNG.US,5,20230605,153000,27.74,27.74,27.74,27.74,2156,0
AGNG.US,5,20230605,155500,27.64,27.64,27.64,27.64,151,0
AGNG.US,5,20230605,160000,27.78,27.78,27.78,27.78,100,0
AGNG.US,5,20230605,171500,27.6801,27.6801,27.6801,27.6801,100,0
AGNG.US,5,20230605,172500,27.68,27.6962,27.63,27.6801,2300,0
AGNG.US,5,20230605,182000,27.71,27.71,27.71,27.71,100,0
AGNG.US,5,20230605,185500,27.74,27.74,27.74,27.74,100,0
AGNG.US,5,20230605,191000,27.71,27.71,27.71,27.71,173,0
AGNG.US,5,20230605,195500,27.66,27.66,27.66,27.66,100,0
AGNG.US,5,20230605,202500,27.75,27.75,27.7499,27.7499,200,0
AGNG.US,5,20230605,205500,27.73,27.73,27.73,27.73,100,0
AGNG.US,5,20230605,213500,27.72,27.72,27.72,27.72,100,0
AGNG.US,5,20230605,215500,27.74,27.74,27.73,27.73,207,0
AGNG.US,5,20230606,161500,27.71,27.71,27.71,27.71,190,0
AGNG.US,5,20230606,172000,27.6901,27.76,27.6901,27.76,473,0
AGNG.US,5,20230606,183500,27.67,27.67,27.67,27.67,100,0
AGNG.US,5,20230606,191500,27.76,27.76,27.76,27.76,1904,0
AGNG.US,5,20230606,194000,27.7,27.74,27.7,27.74,200,0
AGNG.US,5,20230606,201000,27.67,27.67,27.67,27.67,400,0
AGNG.US,5,20230606,202000,27.6833,27.6833,27.6833,27.6833,382,0
AGNG.US,5,20230606,211000,27.7498,27.7498,27.7498,27.7498,472,0
