<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGZD.US,5,20230522,155500,43.615,43.615,43.5975,43.5975,200,0
AGZD.US,5,20230522,162500,43.595,43.595,43.595,43.595,567,0
AGZD.US,5,20230522,164000,43.66,43.66,43.66,43.66,430,0
AGZD.US,5,20230522,170500,43.5049,43.5049,43.5049,43.5049,284,0
AGZD.US,5,20230522,183000,43.66,43.66,43.66,43.66,291,0
AGZD.US,5,20230522,184500,43.5818,43.5818,43.5818,43.5818,438,0
AGZD.US,5,20230522,185500,43.65,43.66,43.65,43.66,200,0
AGZD.US,5,20230522,190000,43.66,43.66,43.66,43.66,600,0
AGZD.US,5,20230522,190500,43.66,43.66,43.66,43.66,100,0
AGZD.US,5,20230522,191000,43.66,43.66,43.62,43.62,629,0
AGZD.US,5,20230522,191500,43.66,43.66,43.66,43.66,100,0
AGZD.US,5,20230522,192000,43.66,43.66,43.66,43.66,200,0
AGZD.US,5,20230522,192500,43.66,43.66,43.66,43.66,200,0
AGZD.US,5,20230522,193000,43.66,43.66,43.66,43.66,100,0
AGZD.US,5,20230522,193500,43.66,43.66,43.66,43.66,200,0
AGZD.US,5,20230522,194000,43.66,43.66,43.66,43.66,200,0
AGZD.US,5,20230522,194500,43.66,43.66,43.66,43.66,200,0
AGZD.US,5,20230522,195000,43.66,43.66,43.66,43.66,200,0
AGZD.US,5,20230522,195500,43.66,43.66,43.66,43.66,100,0
AGZD.US,5,20230522,200000,43.66,43.66,43.66,43.66,200,0
AGZD.US,5,20230522,200500,43.66,43.66,43.66,43.66,200,0
AGZD.US,5,20230522,201000,43.66,43.66,43.66,43.66,200,0
AGZD.US,5,20230522,201500,43.66,43.66,43.66,43.66,400,0
AGZD.US,5,20230522,202000,43.64,43.64,43.64,43.64,134,0
AGZD.US,5,20230522,202500,43.66,43.66,43.66,43.66,300,0
AGZD.US,5,20230522,203000,43.66,43.66,43.66,43.66,100,0
AGZD.US,5,20230522,203500,43.66,43.67,43.66,43.67,500,0
AGZD.US,5,20230522,204000,43.67,43.67,43.6516,43.67,505,0
AGZD.US,5,20230522,205500,43.73,43.73,43.73,43.73,15040,0
AGZD.US,5,20230522,210000,43.7,43.7,43.7,43.7,400,0
AGZD.US,5,20230522,210500,43.685,43.685,43.685,43.685,518,0
AGZD.US,5,20230522,211500,43.73,43.73,43.73,43.73,200,0
AGZD.US,5,20230522,212000,43.73,43.73,43.73,43.73,200,0
AGZD.US,5,20230522,212500,43.73,43.73,43.6788,43.73,361,0
AGZD.US,5,20230522,213000,43.64,43.7342,43.63,43.7342,500,0
AGZD.US,5,20230522,213500,43.73,43.73,43.72,43.72,500,0
AGZD.US,5,20230522,214000,43.72,43.72,43.72,43.72,300,0
AGZD.US,5,20230522,214500,43.72,43.72,43.72,43.72,400,0
AGZD.US,5,20230522,215000,43.72,43.72,43.72,43.72,400,0
AGZD.US,5,20230522,215500,43.7,43.7,43.64,43.67,908,0
AGZD.US,5,20230523,153000,43.64,43.64,43.64,43.64,716,0
AGZD.US,5,20230523,154000,43.645,43.645,43.5625,43.5625,200,0
AGZD.US,5,20230523,154500,43.66,43.674,43.66,43.674,607,0
AGZD.US,5,20230523,160500,43.57,43.57,43.57,43.57,168,0
AGZD.US,5,20230523,170500,43.585,43.585,43.585,43.585,147,0
AGZD.US,5,20230523,174000,43.585,43.585,43.585,43.585,1410,0
AGZD.US,5,20230523,184000,43.6965,43.6965,43.6965,43.6965,381,0
AGZD.US,5,20230523,190000,43.59,43.59,43.59,43.59,345,0
AGZD.US,5,20230523,191500,43.5916,43.595,43.5916,43.595,375,0
AGZD.US,5,20230523,200000,43.619,43.619,43.619,43.619,166,0
AGZD.US,5,20230523,200500,43.5189,43.5189,43.5189,43.5189,200,0
AGZD.US,5,20230523,201000,43.55,43.55,43.55,43.55,700,0
AGZD.US,5,20230523,202000,43.61,43.61,43.61,43.61,1342,0
AGZD.US,5,20230523,204500,43.59,43.59,43.59,43.59,300,0
AGZD.US,5,20230523,210500,43.7,43.7,43.7,43.7,115,0
AGZD.US,5,20230523,214000,43.59,43.59,43.59,43.59,900,0
AGZD.US,5,20230524,153000,43.54,43.54,43.54,43.54,458,0
AGZD.US,5,20230524,162500,43.46,43.46,43.45,43.45,200,0
AGZD.US,5,20230524,172500,43.4811,43.4811,43.471,43.471,375,0
AGZD.US,5,20230524,180000,43.45,43.45,43.45,43.45,536,0
AGZD.US,5,20230524,183000,43.495,43.495,43.495,43.495,244,0
AGZD.US,5,20230524,191500,43.495,43.495,43.495,43.495,167,0
