<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIA.US,5,20230522,153000,59.62,59.78,59.62,59.78,2541,0
AIA.US,5,20230522,153500,59.81,59.86,59.81,59.86,800,0
AIA.US,5,20230522,154000,59.89,59.92,59.89,59.92,1100,0
AIA.US,5,20230522,154500,59.93,59.94,59.93,59.94,500,0
AIA.US,5,20230522,155000,59.94,59.94,59.94,59.94,300,0
AIA.US,5,20230522,162500,59.77,59.78,59.77,59.78,200,0
AIA.US,5,20230522,163000,59.81,59.81,59.81,59.81,200,0
AIA.US,5,20230522,163500,59.8,59.81,59.8,59.81,400,0
AIA.US,5,20230522,164000,59.79,59.82,59.79,59.81,1500,0
AIA.US,5,20230522,164500,59.81,59.84,59.81,59.84,1100,0
AIA.US,5,20230522,165000,59.845,59.845,59.845,59.845,254,0
AIA.US,5,20230522,170000,59.83,59.87,59.83,59.87,1100,0
AIA.US,5,20230522,170500,59.8699,59.8699,59.8699,59.8699,420,0
AIA.US,5,20230522,171000,59.79,59.79,59.79,59.79,113,0
AIA.US,5,20230522,174500,59.64,59.64,59.64,59.64,100,0
AIA.US,5,20230522,175000,59.66,59.66,59.66,59.66,200,0
AIA.US,5,20230522,180500,59.7,59.7,59.7,59.7,100,0
AIA.US,5,20230522,182500,59.725,59.725,59.725,59.725,563,0
AIA.US,5,20230522,183000,59.7156,59.72,59.7156,59.72,899,0
AIA.US,5,20230522,184000,59.74,59.74,59.74,59.74,100,0
AIA.US,5,20230522,184500,59.7,59.7,59.7,59.7,418,0
AIA.US,5,20230522,185000,59.74,59.7642,59.74,59.7642,767,0
AIA.US,5,20230522,185500,59.74,59.76,59.74,59.76,400,0
AIA.US,5,20230522,190000,59.7104,59.7104,59.7104,59.7104,142,0
AIA.US,5,20230522,191500,59.76,59.76,59.76,59.76,500,0
AIA.US,5,20230522,193500,59.776,59.776,59.7545,59.7545,200,0
AIA.US,5,20230522,194500,59.75,59.75,59.75,59.75,100,0
AIA.US,5,20230522,195000,59.72,59.72,59.72,59.72,126,0
AIA.US,5,20230522,195500,59.78,59.78,59.78,59.78,100,0
AIA.US,5,20230522,200500,59.775,59.79,59.775,59.775,400,0
AIA.US,5,20230522,201000,59.775,59.79,59.77,59.78,1613,0
AIA.US,5,20230522,202500,59.77,59.77,59.77,59.77,100,0
AIA.US,5,20230522,203500,59.77,59.77,59.77,59.77,799,0
AIA.US,5,20230522,204000,59.8,59.8,59.7999,59.7999,1029,0
AIA.US,5,20230522,205000,59.869,59.869,59.78,59.86,370,0
AIA.US,5,20230522,213000,59.83,59.83,59.83,59.83,100,0
AIA.US,5,20230522,215000,59.7,59.7232,59.7,59.7232,400,0
AIA.US,5,20230522,215500,59.779,59.78,59.68,59.68,3602,0
AIA.US,5,20230523,153000,58.96,58.96,58.95,58.95,683,0
AIA.US,5,20230523,153500,58.99,58.99,58.99,58.99,495,0
AIA.US,5,20230523,154500,58.93,58.93,58.92,58.92,600,0
AIA.US,5,20230523,155500,59,59,59,59,1200,0
AIA.US,5,20230523,162500,59.09,59.09,59.09,59.09,100,0
AIA.US,5,20230523,163500,59.1015,59.1015,59.1015,59.1015,108,0
AIA.US,5,20230523,170500,59.04,59.04,59.03,59.03,800,0
AIA.US,5,20230523,171000,59.045,59.07,59.045,59.07,684,0
AIA.US,5,20230523,172000,59.0101,59.02,59.0101,59.02,850,0
AIA.US,5,20230523,172500,59.05,59.06,59.05,59.06,771,0
AIA.US,5,20230523,173500,58.9869,58.9869,58.9869,58.9869,187,0
AIA.US,5,20230523,175500,59.04,59.04,59.04,59.04,235,0
AIA.US,5,20230523,184500,58.85,58.85,58.825,58.825,434,0
AIA.US,5,20230523,185500,58.82,58.82,58.82,58.82,100,0
AIA.US,5,20230523,191500,58.8651,58.8651,58.8651,58.8651,353,0
AIA.US,5,20230523,192500,58.8468,58.8468,58.835,58.835,1067,0
AIA.US,5,20230523,200000,58.7899,58.7899,58.7696,58.7696,2019,0
AIA.US,5,20230523,203000,58.63,58.65,58.63,58.65,200,0
AIA.US,5,20230523,203500,58.6,58.6,58.59,58.59,300,0
AIA.US,5,20230523,204000,58.59,58.59,58.59,58.59,200,0
AIA.US,5,20230523,204500,58.59,58.62,58.57,58.58,600,0
AIA.US,5,20230523,205000,58.56,58.645,58.56,58.645,1300,0
AIA.US,5,20230523,205500,58.59,58.59,58.59,58.59,100,0
AIA.US,5,20230523,210000,58.6,58.6,58.56,58.56,500,0
AIA.US,5,20230523,210500,58.56,58.6,58.55,58.55,600,0
AIA.US,5,20230523,211500,58.5251,58.5794,58.5251,58.5794,203,0
AIA.US,5,20230523,212500,58.56,58.56,58.52,58.52,226,0
AIA.US,5,20230523,213000,58.54,58.54,58.54,58.54,100,0
AIA.US,5,20230523,213500,58.54,58.545,58.54,58.545,400,0
AIA.US,5,20230523,214000,58.5299,58.5299,58.5067,58.5067,257,0
AIA.US,5,20230523,214500,58.4815,58.4815,58.4815,58.4815,203,0
AIA.US,5,20230523,215000,58.4901,58.4901,58.4901,58.4901,105,0
AIA.US,5,20230523,215500,58.46,58.48,58.38,58.38,4105,0
AIA.US,5,20230524,153000,58.23,58.23,58.23,58.23,190,0
AIA.US,5,20230524,153500,58.24,58.24,58.24,58.24,100,0
AIA.US,5,20230524,154000,58.29,58.29,58.29,58.29,500,0
AIA.US,5,20230524,160500,58.03,58.03,58.03,58.03,100,0
AIA.US,5,20230524,162500,57.954,57.954,57.954,57.954,100,0
AIA.US,5,20230524,164000,57.92,57.92,57.92,57.92,100,0
AIA.US,5,20230524,165000,57.91,57.91,57.88,57.88,200,0
AIA.US,5,20230524,171000,57.92,57.92,57.92,57.92,700,0
AIA.US,5,20230524,172000,57.94,57.96,57.94,57.96,386,0
AIA.US,5,20230524,172500,58.0004,58.0004,58.0004,58.0004,106,0
AIA.US,5,20230524,173000,57.9789,57.9789,57.9789,57.9789,139,0
AIA.US,5,20230524,173500,58.01,58.01,58.01,58.01,100,0
AIA.US,5,20230524,180500,57.96,57.96,57.96,57.96,100,0
AIA.US,5,20230524,182000,57.93,57.93,57.93,57.93,200,0
AIA.US,5,20230524,183000,57.9,57.9,57.9,57.9,100,0
AIA.US,5,20230524,184500,57.9499,57.9499,57.9499,57.9499,125,0
AIA.US,5,20230524,185500,57.92,57.92,57.92,57.92,100,0
AIA.US,5,20230524,190500,57.95,57.95,57.95,57.95,152,0
AIA.US,5,20230524,191000,57.95,57.95,57.95,57.95,101,0
AIA.US,5,20230524,192000,57.93,57.93,57.93,57.93,500,0
AIA.US,5,20230524,200000,57.925,57.925,57.925,57.925,431,0
AIA.US,5,20230524,201000,57.882,57.882,57.882,57.882,1300,0
AIA.US,5,20230524,201500,57.94,57.94,57.94,57.94,500,0
AIA.US,5,20230524,203000,57.895,57.91,57.86,57.86,800,0
AIA.US,5,20230524,203500,57.895,57.895,57.8501,57.886,540,0
AIA.US,5,20230524,204000,57.9,57.9,57.9,57.9,209,0
AIA.US,5,20230524,204500,57.9,57.905,57.9,57.905,524,0
AIA.US,5,20230524,205000,57.9348,57.9348,57.9348,57.9348,190,0
AIA.US,5,20230524,211000,57.87,57.87,57.87,57.87,100,0
AIA.US,5,20230524,211500,57.93,57.93,57.93,57.93,100,0
AIA.US,5,20230524,212000,57.96,57.96,57.96,57.96,200,0
AIA.US,5,20230524,213500,57.98,57.98,57.98,57.98,100,0
AIA.US,5,20230524,215000,57.94,57.94,57.94,57.94,200,0
AIA.US,5,20230524,215500,57.88,57.88,57.88,57.88,361,0
AIA.US,5,20230525,153000,58.18,58.3,58.08,58.08,3182,0
AIA.US,5,20230525,154500,58.15,58.15,58.15,58.15,200,0
AIA.US,5,20230525,155000,58.19,58.19,58.1,58.135,1616,0
AIA.US,5,20230525,155500,58.27,58.27,58.27,58.27,100,0
AIA.US,5,20230525,160000,58.21,58.21,58.17,58.17,405,0
AIA.US,5,20230525,160500,58.1,58.1,58,58.07,2260,0
AIA.US,5,20230525,161000,58.1322,58.1322,58.1322,58.1322,167,0
AIA.US,5,20230525,163500,58.1,58.1,58.1,58.1,800,0
AIA.US,5,20230525,165500,58.19,58.19,58.19,58.19,700,0
