<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIQ.US,5,20230522,153000,25.16,25.16,25.09,25.16,28463,0
AIQ.US,5,20230522,153500,25.16,25.255,25.16,25.24,4151,0
AIQ.US,5,20230522,154000,25.29,25.3,25.27,25.27,800,0
AIQ.US,5,20230522,154500,25.27,25.33,25.24,25.32,541,0
AIQ.US,5,20230522,155000,25.35,25.3672,25.32,25.36,4518,0
AIQ.US,5,20230522,155500,25.34,25.3686,25.34,25.34,5515,0
AIQ.US,5,20230522,160000,25.369,25.37,25.345,25.345,14338,0
AIQ.US,5,20230522,160500,25.33,25.33,25.27,25.3,600,0
AIQ.US,5,20230522,161000,25.34,25.34,25.34,25.34,100,0
AIQ.US,5,20230522,161500,25.34,25.35,25.3,25.35,2200,0
AIQ.US,5,20230522,162000,25.3357,25.35,25.3,25.35,2297,0
AIQ.US,5,20230522,162500,25.32,25.3599,25.32,25.32,7394,0
AIQ.US,5,20230522,163000,25.33,25.34,25.33,25.34,618,0
AIQ.US,5,20230522,163500,25.34,25.34,25.3,25.34,3366,0
AIQ.US,5,20230522,164000,25.34,25.34,25.33,25.34,666,0
AIQ.US,5,20230522,164500,25.36,25.36,25.32,25.32,800,0
AIQ.US,5,20230522,165000,25.335,25.34,25.32,25.32,1500,0
AIQ.US,5,20230522,165500,25.309,25.32,25.3,25.32,1867,0
AIQ.US,5,20230522,170500,25.37,25.37,25.3461,25.3461,800,0
AIQ.US,5,20230522,171000,25.37,25.37,25.33,25.35,1089,0
AIQ.US,5,20230522,171500,25.3444,25.3444,25.335,25.335,400,0
AIQ.US,5,20230522,172000,25.35,25.35,25.35,25.35,300,0
AIQ.US,5,20230522,172500,25.35,25.35,25.3499,25.35,857,0
AIQ.US,5,20230522,173000,25.3762,25.3762,25.37,25.37,357,0
AIQ.US,5,20230522,173500,25.35,25.365,25.3,25.3,3986,0
AIQ.US,5,20230522,174000,25.3396,25.34,25.3396,25.34,417,0
AIQ.US,5,20230522,174500,25.3399,25.3399,25.3,25.32,1310,0
AIQ.US,5,20230522,175000,25.31,25.34,25.3,25.3,300,0
AIQ.US,5,20230522,175500,25.31,25.34,25.31,25.34,477,0
AIQ.US,5,20230522,180000,25.325,25.325,25.325,25.325,200,0
AIQ.US,5,20230522,180500,25.34,25.34,25.31,25.31,615,0
AIQ.US,5,20230522,181000,25.34,25.34,25.34,25.34,100,0
AIQ.US,5,20230522,181500,25.33,25.34,25.33,25.34,3344,0
AIQ.US,5,20230522,182000,25.3458,25.3581,25.31,25.3287,2151,0
AIQ.US,5,20230522,182500,25.325,25.338,25.3157,25.3157,2369,0
AIQ.US,5,20230522,183000,25.31,25.33,25.3,25.31,1415,0
AIQ.US,5,20230522,183500,25.3198,25.32,25.3185,25.32,2465,0
AIQ.US,5,20230522,184000,25.32,25.32,25.3105,25.3105,1300,0
AIQ.US,5,20230522,184500,25.3393,25.3599,25.3393,25.3599,574,0
AIQ.US,5,20230522,185000,25.36,25.36,25.3569,25.3569,600,0
AIQ.US,5,20230522,185500,25.3387,25.36,25.33,25.33,699,0
AIQ.US,5,20230522,190000,25.3479,25.3479,25.3479,25.3479,174,0
