<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIRR.US,5,20230522,153000,48.63,48.63,48.63,48.63,2414,0
AIRR.US,5,20230522,153500,48.91,48.91,48.91,48.91,300,0
AIRR.US,5,20230522,154000,48.98,48.98,48.98,48.98,100,0
AIRR.US,5,20230522,155000,48.7045,48.7045,48.7045,48.7045,250,0
AIRR.US,5,20230522,155500,48.63,48.63,48.63,48.63,1350,0
AIRR.US,5,20230522,160000,48.5955,48.6,48.57,48.5888,1996,0
AIRR.US,5,20230522,160500,48.47,48.47,48.47,48.47,307,0
AIRR.US,5,20230522,161000,48.32,48.32,48.32,48.32,130,0
AIRR.US,5,20230522,162500,48.7,48.7,48.7,48.7,237,0
AIRR.US,5,20230522,170000,48.64,48.64,48.64,48.64,122,0
AIRR.US,5,20230522,173000,48.7356,48.7356,48.73,48.73,892,0
AIRR.US,5,20230522,174000,48.73,48.73,48.73,48.73,125,0
AIRR.US,5,20230522,175000,48.7871,48.7871,48.7871,48.7871,246,0
AIRR.US,5,20230522,175500,48.92,48.92,48.92,48.92,100,0
AIRR.US,5,20230522,182500,48.8381,48.8381,48.8381,48.8381,210,0
AIRR.US,5,20230522,183000,48.86,48.86,48.86,48.86,100,0
AIRR.US,5,20230522,183500,48.9099,48.9099,48.8462,48.8462,300,0
AIRR.US,5,20230522,184000,48.79,48.79,48.79,48.79,4312,0
AIRR.US,5,20230522,185000,48.8178,48.8178,48.7726,48.7726,1522,0
AIRR.US,5,20230522,185500,48.8239,48.8239,48.8239,48.8239,330,0
AIRR.US,5,20230522,191000,48.8423,48.8423,48.81,48.81,860,0
AIRR.US,5,20230522,193500,48.8289,48.879,48.81,48.845,2784,0
AIRR.US,5,20230522,195500,48.88,48.88,48.88,48.88,100,0
AIRR.US,5,20230522,203000,48.97,48.97,48.97,48.97,100,0
AIRR.US,5,20230522,203500,48.9363,48.9363,48.9363,48.9363,250,0
AIRR.US,5,20230522,204500,48.9,48.9,48.9,48.9,500,0
AIRR.US,5,20230522,210000,49.01,49.01,49,49,1450,0
AIRR.US,5,20230522,210500,48.985,48.985,48.985,48.985,120,0
AIRR.US,5,20230522,211500,48.957,48.957,48.957,48.957,570,0
AIRR.US,5,20230522,212000,48.9325,48.9339,48.9325,48.9339,357,0
AIRR.US,5,20230522,214000,48.8571,48.8571,48.82,48.82,552,0
AIRR.US,5,20230522,215000,48.76,48.76,48.76,48.76,410,0
AIRR.US,5,20230522,215500,48.9,48.9,48.84,48.88,963,0
AIRR.US,5,20230523,153000,48.66,48.66,48.66,48.66,1029,0
AIRR.US,5,20230523,153500,48.4,48.4,48.4,48.4,400,0
AIRR.US,5,20230523,160500,48.8581,48.8581,48.8581,48.8581,695,0
AIRR.US,5,20230523,161500,48.7773,48.7773,48.7501,48.7501,767,0
AIRR.US,5,20230523,164000,49.0673,49.0673,49.015,49.015,657,0
AIRR.US,5,20230523,164500,48.9401,48.9401,48.9401,48.9401,111,0
AIRR.US,5,20230523,170500,49.0284,49.0284,49.0284,49.0284,498,0
AIRR.US,5,20230523,171500,49.1299,49.1299,49.0508,49.0508,3630,0
AIRR.US,5,20230523,173000,49.165,49.1825,49.165,49.1825,2985,0
AIRR.US,5,20230523,173500,49.1001,49.1001,49.1001,49.1001,670,0
AIRR.US,5,20230523,175500,49.24,49.24,49.24,49.24,1595,0
AIRR.US,5,20230523,180000,49.24,49.24,49.24,49.24,100,0
AIRR.US,5,20230523,181000,49.0601,49.0601,49.0601,49.0601,1750,0
AIRR.US,5,20230523,181500,49.0608,49.0608,49.0608,49.0608,160,0
AIRR.US,5,20230523,182000,49.0041,49.0041,49.0041,49.0041,125,0
AIRR.US,5,20230523,182500,48.98,48.98,48.98,48.98,500,0
AIRR.US,5,20230523,183500,48.97,48.97,48.97,48.97,306,0
AIRR.US,5,20230523,184000,48.87,48.8735,48.87,48.8735,1400,0
AIRR.US,5,20230523,185000,48.8501,48.8967,48.8501,48.8967,1919,0
AIRR.US,5,20230523,190000,48.9,48.9,48.9,48.9,185,0
AIRR.US,5,20230523,191500,48.96,48.96,48.96,48.96,327,0
AIRR.US,5,20230523,192500,48.9861,49.02,48.9861,49.02,232,0
AIRR.US,5,20230523,193000,48.79,48.79,48.75,48.75,1600,0
AIRR.US,5,20230523,193500,48.78,48.79,48.78,48.785,1100,0
AIRR.US,5,20230523,194000,48.89,48.89,48.89,48.89,500,0
AIRR.US,5,20230523,194500,48.9,48.9,48.9,48.9,425,0
AIRR.US,5,20230523,195000,48.9,48.9,48.84,48.84,550,0
AIRR.US,5,20230523,195500,48.8583,48.8583,48.8583,48.8583,450,0
AIRR.US,5,20230523,200000,48.95,48.95,48.95,48.95,100,0
AIRR.US,5,20230523,201000,48.84,48.84,48.84,48.84,225,0
AIRR.US,5,20230523,202000,48.64,48.69,48.63,48.63,520,0
AIRR.US,5,20230523,202500,48.51,48.54,48.51,48.54,625,0
AIRR.US,5,20230523,203000,48.53,48.57,48.53,48.57,420,0
AIRR.US,5,20230523,204000,48.46,48.5882,48.46,48.5882,200,0
AIRR.US,5,20230523,204500,48.5055,48.5055,48.5055,48.5055,125,0
