<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALTY.US,5,20230522,153000,11.12,11.12,11.12,11.12,347,0
ALTY.US,5,20230522,154000,11.1187,11.1187,11.1187,11.1187,100,0
ALTY.US,5,20230522,160000,11.12,11.12,11.12,11.12,312,0
ALTY.US,5,20230522,164000,11.1,11.1,11.1,11.1,100,0
ALTY.US,5,20230522,173000,11.1099,11.1099,11.1099,11.1099,100,0
ALTY.US,5,20230522,180500,11.08,11.08,11.08,11.08,632,0
ALTY.US,5,20230522,181500,11.0801,11.0801,11.0801,11.0801,300,0
ALTY.US,5,20230522,185000,11.095,11.095,11.095,11.095,100,0
ALTY.US,5,20230522,190000,11.0859,11.0859,11.0854,11.0854,1200,0
ALTY.US,5,20230522,193000,11.1,11.1,11.1,11.1,100,0
ALTY.US,5,20230522,200500,11.1,11.1,11.1,11.1,200,0
ALTY.US,5,20230522,201000,11.0901,11.0901,11.0901,11.0901,400,0
ALTY.US,5,20230522,201500,11.11,11.11,11.11,11.11,102,0
ALTY.US,5,20230522,211500,11.105,11.105,11.105,11.105,1000,0
ALTY.US,5,20230522,215500,11.12,11.12,11.12,11.12,489,0
ALTY.US,5,20230523,153000,11.1,11.1,11.1,11.1,372,0
ALTY.US,5,20230523,153500,11.1,11.1,11.1,11.1,2700,0
ALTY.US,5,20230523,154500,11.1,11.1,11.1,11.1,100,0
ALTY.US,5,20230523,155000,11.1,11.1,11.1,11.1,125,0
ALTY.US,5,20230523,161500,11.13,11.13,11.13,11.13,100,0
ALTY.US,5,20230523,165500,11.14,11.14,11.14,11.14,485,0
ALTY.US,5,20230523,170000,11.14,11.14,11.14,11.14,100,0
ALTY.US,5,20230523,173500,11.19,11.19,11.19,11.19,200,0
ALTY.US,5,20230523,174500,11.19,11.19,11.19,11.19,100,0
ALTY.US,5,20230523,180000,11.1505,11.1505,11.1505,11.1505,191,0
ALTY.US,5,20230523,181000,11.17,11.17,11.17,11.17,100,0
ALTY.US,5,20230523,183500,11.15,11.16,11.13,11.16,12900,0
ALTY.US,5,20230523,184000,11.13,11.14,11.12,11.14,300,0
ALTY.US,5,20230523,184500,11.1,11.1,11.1,11.1,100,0
ALTY.US,5,20230523,185000,11.1,11.1,11.1,11.1,200,0
ALTY.US,5,20230523,190500,11.1,11.1,11.1,11.1,500,0
ALTY.US,5,20230523,195500,11.09,11.09,11.09,11.09,200,0
ALTY.US,5,20230523,200000,11.09,11.09,11.09,11.09,300,0
ALTY.US,5,20230523,202500,11.07,11.07,11.07,11.07,100,0
ALTY.US,5,20230523,203000,11.07,11.07,11.06,11.06,500,0
ALTY.US,5,20230523,203500,11.06,11.07,11.06,11.07,600,0
ALTY.US,5,20230523,204000,11.07,11.07,11.06,11.07,600,0
ALTY.US,5,20230523,204500,11.07,11.07,11.07,11.07,600,0
ALTY.US,5,20230523,205000,11.07,11.08,11.06,11.08,500,0
ALTY.US,5,20230523,205500,11.06,11.06,11.06,11.06,300,0
ALTY.US,5,20230523,211500,11.06,11.06,11.06,11.06,300,0
ALTY.US,5,20230523,212000,11.06,11.07,11.06,11.07,1000,0
ALTY.US,5,20230523,212500,11.07,11.07,11.06,11.06,800,0
ALTY.US,5,20230523,213000,11.06,11.06,11.06,11.06,400,0
ALTY.US,5,20230523,215000,11.07,11.07,11.06,11.06,900,0
ALTY.US,5,20230523,215500,11.06,11.08,11.05,11.08,3116,0
ALTY.US,5,20230524,153000,11.07,11.07,11.07,11.07,472,0
ALTY.US,5,20230524,154000,11.07,11.07,11.07,11.07,100,0
ALTY.US,5,20230524,161500,11.06,11.06,11.06,11.06,500,0
