<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMZN.US,5,20250103,153000,222.505,224.4,222,223.7299,1232997,0
AMZN.US,5,20250103,153500,223.6837,224.765,223.56,224.74,410945,0
AMZN.US,5,20250103,154000,224.75,225.12,224.42,225.08,291464,0
AMZN.US,5,20250103,154500,225.09,225.36,224.125,224.44,580975,0
AMZN.US,5,20250103,155000,224.4394,224.83,223.726,223.75,252877,0
AMZN.US,5,20250103,155500,223.76,224.29,223.63,224.19,176574,0
AMZN.US,5,20250103,160000,224.18,224.36,223.23,223.95,295719,0
AMZN.US,5,20250103,160500,223.94,224.25,223.43,223.553,310626,0
AMZN.US,5,20250103,161000,223.635,223.67,222.385,222.52,208632,0
AMZN.US,5,20250103,161500,222.51,222.78,222.12,222.24,224940,0
AMZN.US,5,20250103,162000,222.22,222.3899,221.62,222.29,407431,0
AMZN.US,5,20250103,162500,222.35,222.55,222.095,222.347,203922,0
AMZN.US,5,20250103,163000,222.3175,222.71,221.83,222.654,189756,0
AMZN.US,5,20250103,163500,222.64,223.28,222.5,222.85,245255,0
AMZN.US,5,20250103,164000,222.86,223.39,222.82,223.12,179016,0
AMZN.US,5,20250103,164500,223.1,223.16,222.85,222.91,121552,0
AMZN.US,5,20250103,165000,222.9245,222.95,222.4604,222.4604,137237,0
AMZN.US,5,20250103,165500,222.4799,222.78,222.35,222.71,140154,0
AMZN.US,5,20250103,170000,222.75,223.05,222.54,222.92,130030,0
AMZN.US,5,20250103,170500,222.94,222.94,222.21,222.4,147338,0
AMZN.US,5,20250103,171000,222.42,222.87,222.33,222.815,228134,0
AMZN.US,5,20250103,171500,222.78,223.07,222.67,222.86,162605,0
AMZN.US,5,20250103,172000,222.85,223.4,222.85,223.4,164310,0
AMZN.US,5,20250103,172500,223.39,223.59,223.2341,223.59,201215,0
AMZN.US,5,20250103,173000,223.59,224.2,223.525,224.11,260126,0
AMZN.US,5,20250103,173500,224.11,224.36,223.893,224.25,190446,0
AMZN.US,5,20250103,174000,224.27,224.615,224.195,224.55,162755,0
