<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANGL.US,5,20230522,153000,27.26,27.3,27.26,27.3,19727,0
ANGL.US,5,20230522,153500,27.3,27.3,27.29,27.29,4070,0
ANGL.US,5,20230522,154000,27.295,27.3,27.29,27.295,11340,0
ANGL.US,5,20230522,154500,27.29,27.29,27.28,27.2816,13293,0
ANGL.US,5,20230522,155000,27.29,27.3,27.29,27.29,700,0
ANGL.US,5,20230522,155500,27.28,27.28,27.27,27.27,12307,0
ANGL.US,5,20230522,160000,27.2717,27.29,27.2717,27.29,3984,0
ANGL.US,5,20230522,160500,27.285,27.29,27.2597,27.26,22165,0
ANGL.US,5,20230522,161000,27.275,27.275,27.275,27.275,300,0
ANGL.US,5,20230522,161500,27.295,27.31,27.29,27.31,25506,0
ANGL.US,5,20230522,162000,27.32,27.32,27.3,27.315,8439,0
ANGL.US,5,20230522,162500,27.31,27.317,27.31,27.31,2496,0
ANGL.US,5,20230522,163000,27.3126,27.32,27.3126,27.32,1558,0
ANGL.US,5,20230522,163500,27.32,27.32,27.31,27.32,1078,0
ANGL.US,5,20230522,164000,27.32,27.32,27.295,27.2956,8486,0
ANGL.US,5,20230522,164500,27.3,27.3,27.295,27.295,3107,0
ANGL.US,5,20230522,165000,27.3,27.3,27.2799,27.29,7846,0
ANGL.US,5,20230522,165500,27.29,27.2999,27.2879,27.2879,2678,0
ANGL.US,5,20230522,170000,27.3,27.31,27.3,27.31,500,0
ANGL.US,5,20230522,170500,27.31,27.32,27.31,27.32,3284,0
ANGL.US,5,20230522,171000,27.3159,27.32,27.3,27.31,5311,0
ANGL.US,5,20230522,171500,27.305,27.31,27.3001,27.31,6763,0
ANGL.US,5,20230522,172000,27.305,27.31,27.305,27.31,717,0
ANGL.US,5,20230522,172500,27.31,27.31,27.305,27.31,4349,0
ANGL.US,5,20230522,173000,27.3055,27.32,27.3055,27.32,14992,0
ANGL.US,5,20230522,173500,27.32,27.32,27.31,27.315,19579,0
ANGL.US,5,20230522,174000,27.315,27.32,27.315,27.315,10508,0
ANGL.US,5,20230522,174500,27.32,27.32,27.31,27.315,17320,0
ANGL.US,5,20230522,175000,27.315,27.326,27.315,27.326,3700,0
ANGL.US,5,20230522,175500,27.3299,27.34,27.325,27.325,22992,0
ANGL.US,5,20230522,180000,27.33,27.34,27.3201,27.335,15041,0
ANGL.US,5,20230522,180500,27.33,27.34,27.33,27.34,2335,0
ANGL.US,5,20230522,181000,27.34,27.35,27.33,27.33,9568,0
ANGL.US,5,20230522,181500,27.33,27.335,27.3201,27.33,14298,0
ANGL.US,5,20230522,182000,27.33,27.33,27.32,27.325,24106,0
ANGL.US,5,20230522,182500,27.32,27.3399,27.32,27.3399,20608,0
ANGL.US,5,20230522,183000,27.34,27.34,27.335,27.34,5622,0
ANGL.US,5,20230522,183500,27.335,27.34,27.335,27.34,3400,0
ANGL.US,5,20230522,184000,27.335,27.34,27.3258,27.33,32927,0
ANGL.US,5,20230522,184500,27.3399,27.3399,27.325,27.325,39487,0
ANGL.US,5,20230522,185000,27.325,27.33,27.322,27.325,2909,0
ANGL.US,5,20230522,185500,27.325,27.335,27.32,27.335,90575,0
ANGL.US,5,20230522,190000,27.335,27.335,27.335,27.335,1300,0
ANGL.US,5,20230522,190500,27.34,27.35,27.335,27.35,4870,0
ANGL.US,5,20230522,191000,27.3401,27.36,27.3401,27.35,17094,0
ANGL.US,5,20230522,191500,27.35,27.35,27.34,27.34,15704,0
