<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQWA.US,5,20230522,204500,14.89,14.89,14.815,14.815,926,0
AQWA.US,5,20230523,153000,14.79,14.79,14.79,14.79,201,0
AQWA.US,5,20230523,154500,14.84,14.84,14.84,14.84,231,0
AQWA.US,5,20230524,200000,14.56,14.56,14.56,14.56,181,0
AQWA.US,5,20230524,201000,14.52,14.52,14.52,14.52,150,0
AQWA.US,5,20230525,153000,14.53,14.53,14.53,14.53,403,0
AQWA.US,5,20230525,153500,14.49,14.49,14.49,14.49,101,0
AQWA.US,5,20230525,193500,14.5329,14.5329,14.5329,14.5329,270,0
AQWA.US,5,20230526,184500,14.55,14.5501,14.55,14.5501,200,0
AQWA.US,5,20230526,210500,14.5797,14.5797,14.5797,14.5797,187,0
AQWA.US,5,20230526,212500,14.58,14.58,14.58,14.58,200,0
AQWA.US,5,20230530,153000,14.67,14.67,14.67,14.67,128,0
AQWA.US,5,20230530,155000,14.66,14.66,14.66,14.66,110,0
AQWA.US,5,20230530,182000,14.6001,14.6001,14.6,14.6,348,0
AQWA.US,5,20230531,153000,14.59,14.59,14.59,14.59,100,0
AQWA.US,5,20230531,170500,14.4694,14.4694,14.4694,14.4694,364,0
AQWA.US,5,20230605,160000,15,15,15,15,200,0
AQWA.US,5,20230605,170000,14.98,14.98,14.98,14.98,100,0
AQWA.US,5,20230605,171500,14.99,14.99,14.99,14.99,200,0
AQWA.US,5,20230605,172500,14.9583,14.9583,14.9583,14.9583,105,0
AQWA.US,5,20230605,211000,14.95,14.95,14.95,14.95,148,0
AQWA.US,5,20230606,153000,14.97,14.97,14.97,14.97,100,0
AQWA.US,5,20230606,165000,15.13,15.13,15.13,15.13,400,0
AQWA.US,5,20230607,183000,15.2528,15.2528,15.2528,15.2528,165,0
AQWA.US,5,20230608,154500,15.24,15.24,15.24,15.24,400,0
AQWA.US,5,20230608,162500,15.2786,15.2786,15.2786,15.2786,120,0
AQWA.US,5,20230609,153000,15.31,15.31,15.31,15.31,120,0
