<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASET.US,5,20230522,155000,29.85,29.8627,29.85,29.8627,382,0
ASET.US,5,20230522,170000,29.83,29.83,29.83,29.83,100,0
ASET.US,5,20230523,153000,29.69,29.69,29.69,29.69,304,0
ASET.US,5,20230523,154500,29.69,29.69,29.69,29.69,100,0
ASET.US,5,20230523,190500,29.72,29.73,29.72,29.73,497,0
ASET.US,5,20230523,204000,29.6399,29.64,29.6399,29.64,214,0
ASET.US,5,20230523,204500,29.6303,29.6303,29.6303,29.6303,116,0
ASET.US,5,20230523,211000,29.655,29.655,29.655,29.655,303,0
ASET.US,5,20230525,170000,28.91,28.9101,28.91,28.9101,600,0
ASET.US,5,20230525,171000,28.9,28.9009,28.85,28.85,15446,0
ASET.US,5,20230525,171500,28.89,28.89,28.89,28.89,100,0
ASET.US,5,20230525,173000,28.795,28.795,28.78,28.78,1569,0
ASET.US,5,20230525,174000,28.75,28.7595,28.73,28.73,1500,0
ASET.US,5,20230525,174500,28.73,28.745,28.72,28.73,1405,0
ASET.US,5,20230525,175500,28.74,28.75,28.73,28.75,733,0
ASET.US,5,20230525,180000,28.77,28.77,28.77,28.77,100,0
ASET.US,5,20230525,181000,28.79,28.79,28.79,28.79,200,0
ASET.US,5,20230525,183000,28.77,28.77,28.77,28.77,300,0
ASET.US,5,20230525,184000,28.78,28.78,28.78,28.78,100,0
ASET.US,5,20230525,194500,28.9,28.9,28.8708,28.8708,1484,0
ASET.US,5,20230525,195500,28.88,28.88,28.88,28.88,105,0
ASET.US,5,20230525,200500,28.915,28.915,28.915,28.915,1080,0
ASET.US,5,20230525,202500,28.89,28.89,28.89,28.89,100,0
ASET.US,5,20230525,203500,28.8307,28.8307,28.8307,28.8307,1035,0
ASET.US,5,20230525,211000,28.86,28.86,28.86,28.86,100,0
ASET.US,5,20230525,212500,28.885,28.885,28.87,28.87,2355,0
ASET.US,5,20230525,214000,28.9,28.9,28.9,28.9,2155,0
ASET.US,5,20230526,154000,29.02,29.07,29.02,29.07,300,0
ASET.US,5,20230526,160000,29.03,29.03,29.03,29.03,100,0
ASET.US,5,20230526,160500,29.05,29.12,29.05,29.12,200,0
ASET.US,5,20230526,161500,29.09,29.09,29.09,29.09,100,0
ASET.US,5,20230526,162500,29.14,29.14,29.14,29.14,100,0
ASET.US,5,20230526,163000,29.09,29.09,29.09,29.09,100,0
ASET.US,5,20230526,164000,29.11,29.11,29.11,29.11,100,0
ASET.US,5,20230526,165000,29.07,29.07,29.07,29.07,100,0
ASET.US,5,20230526,165500,29.04,29.04,29.04,29.04,100,0
ASET.US,5,20230526,170500,29.02,29.02,29.02,29.02,100,0
ASET.US,5,20230526,171000,29.01,29.01,29.01,29.01,100,0
ASET.US,5,20230526,172000,29,29,29,29,100,0
ASET.US,5,20230526,173000,29,29,29,29,100,0
ASET.US,5,20230526,173500,29,29,29,29,100,0
ASET.US,5,20230526,174500,29.01,29.01,29.01,29.01,100,0
ASET.US,5,20230526,175500,29.01,29.01,29.01,29.01,100,0
ASET.US,5,20230526,180000,29.02,29.02,29.02,29.02,100,0
ASET.US,5,20230526,181000,29.05,29.05,29.05,29.05,100,0
ASET.US,5,20230526,181500,29.04,29.04,29.04,29.04,100,0
ASET.US,5,20230526,182500,29.07,29.07,29.07,29.07,100,0
ASET.US,5,20230526,183500,29.07,29.07,29.07,29.07,100,0
ASET.US,5,20230526,184000,29.06,29.06,29.06,29.06,100,0
