<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBH.US,5,20230522,153000,160.17,160.17,160.17,160.17,229,0
BBH.US,5,20230522,163000,160.37,160.37,160.35,160.36,711,0
BBH.US,5,20230522,190000,160.5,160.5,160.5,160.5,300,0
BBH.US,5,20230522,202500,160.37,160.37,160.37,160.37,686,0
BBH.US,5,20230522,210500,160.53,160.53,160.53,160.53,284,0
BBH.US,5,20230522,213500,160.3669,160.3669,160.3669,160.3669,250,0
BBH.US,5,20230522,215000,160.5316,160.5316,160.5316,160.5316,528,0
BBH.US,5,20230522,215500,160.56,160.56,160.56,160.56,200,0
BBH.US,5,20230523,153000,160.09,160.09,160.09,160.09,1060,0
BBH.US,5,20230523,160500,161.4177,161.4297,161.36,161.4297,906,0
BBH.US,5,20230523,163000,161.34,161.34,161.34,161.34,300,0
BBH.US,5,20230523,170500,161.5523,161.5523,161.5523,161.5523,125,0
BBH.US,5,20230523,172000,161.54,161.54,161.54,161.54,155,0
BBH.US,5,20230523,175000,162.2,162.2,162.2,162.2,100,0
BBH.US,5,20230523,182000,161.85,161.85,161.85,161.85,100,0
BBH.US,5,20230523,193000,161.27,161.27,161.18,161.18,800,0
BBH.US,5,20230523,200000,161.41,161.41,161.41,161.41,200,0
BBH.US,5,20230523,201000,161.23,161.23,161.23,161.23,100,0
BBH.US,5,20230523,204000,160.86,160.87,160.86,160.87,400,0
BBH.US,5,20230523,205000,160.88,160.88,160.88,160.88,110,0
BBH.US,5,20230523,211500,161.16,161.16,161.16,161.16,100,0
BBH.US,5,20230523,213000,161.1378,161.1378,161.1378,161.1378,212,0
BBH.US,5,20230523,214500,160.88,160.88,160.88,160.88,182,0
BBH.US,5,20230523,215000,160.93,160.93,160.93,160.93,100,0
BBH.US,5,20230523,215500,160.76,160.77,160.76,160.77,300,0
BBH.US,5,20230524,153000,159.99,159.99,159.99,159.99,518,0
BBH.US,5,20230524,161000,158.32,158.32,158.32,158.32,536,0
BBH.US,5,20230524,165000,158.13,158.2022,158.13,158.2022,1000,0
BBH.US,5,20230524,190000,158.311,158.311,158.311,158.311,200,0
BBH.US,5,20230524,191000,158.2925,158.2925,158.2925,158.2925,150,0
BBH.US,5,20230524,193000,158.395,158.395,158.395,158.395,119,0
BBH.US,5,20230524,194500,158.64,158.64,158.64,158.64,1100,0
