<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFIT.US,5,20230522,181500,22.31,22.31,22.31,22.31,100,0
BFIT.US,5,20230522,191500,22.23,22.23,22.23,22.23,100,0
BFIT.US,5,20230522,192000,22.234,22.234,22.234,22.234,669,0
BFIT.US,5,20230523,210000,21.815,21.815,21.815,21.815,150,0
BFIT.US,5,20230524,172500,21.47,21.47,21.47,21.47,100,0
BFIT.US,5,20230524,212000,21.46,21.46,21.46,21.46,200,0
BFIT.US,5,20230525,192000,21.24,21.32,21.2399,21.32,1574,0
BFIT.US,5,20230526,204500,21.32,21.32,21.3109,21.3109,770,0
BFIT.US,5,20230530,153000,21.43,21.43,21.43,21.43,410,0
BFIT.US,5,20230530,153500,21.4,21.52,21.4,21.5,2500,0
BFIT.US,5,20230530,161000,21.47,21.47,21.4,21.435,1300,0
BFIT.US,5,20230530,161500,21.4,21.48,21.4,21.48,600,0
BFIT.US,5,20230530,172000,21.28,21.2801,21.28,21.2801,436,0
BFIT.US,5,20230530,202500,21.34,21.34,21.34,21.34,100,0
BFIT.US,5,20230531,162000,20.97,20.97,20.961,20.961,2899,0
BFIT.US,5,20230531,171500,21.05,21.05,21.05,21.05,100,0
BFIT.US,5,20230531,184500,21.04,21.04,21.04,21.04,100,0
BFIT.US,5,20230601,181000,21.26,21.26,21.26,21.26,100,0
BFIT.US,5,20230601,190500,21.211,21.2938,21.211,21.2938,411,0
BFIT.US,5,20230602,163000,21.88,21.88,21.88,21.88,100,0
BFIT.US,5,20230602,171000,21.9,21.9,21.9,21.9,100,0
BFIT.US,5,20230602,194000,21.88,21.88,21.88,21.88,132,0
BFIT.US,5,20230602,212500,21.98,21.98,21.98,21.98,400,0
BFIT.US,5,20230602,213000,21.93,21.93,21.93,21.93,100,0
BFIT.US,5,20230602,214000,21.94,21.94,21.94,21.94,100,0
BFIT.US,5,20230602,214500,21.94,21.94,21.94,21.94,100,0
BFIT.US,5,20230602,215500,21.91,21.91,21.91,21.91,100,0
BFIT.US,5,20230605,163000,21.89,21.89,21.89,21.89,100,0
BFIT.US,5,20230606,155000,21.91,21.91,21.91,21.91,300,0
BFIT.US,5,20230606,165500,22.09,22.09,22.09,22.09,100,0
BFIT.US,5,20230606,191500,22.1,22.16,22.09,22.16,1186,0
BFIT.US,5,20230606,192500,22.09,22.09,22.09,22.09,200,0
BFIT.US,5,20230607,153000,22.21,22.21,22.21,22.21,100,0
BFIT.US,5,20230608,174500,21.97,21.97,21.97,21.97,100,0
BFIT.US,5,20230608,182500,22.0422,22.0422,21.99,21.99,220,0
BFIT.US,5,20230608,201000,21.99,22.028,21.95,21.95,600,0
BFIT.US,5,20230609,171000,22.15,22.15,22.15,22.15,100,0
BFIT.US,5,20230612,153000,22.26,22.26,22.26,22.26,202,0
BFIT.US,5,20230612,185500,22.3,22.3,22.3,22.3,100,0
BFIT.US,5,20230612,215000,22.4,22.4,22.4,22.4,200,0
BFIT.US,5,20230613,183000,22.625,22.625,22.625,22.625,150,0
BFIT.US,5,20230614,171000,22.7,22.7,22.7,22.7,100,0
BFIT.US,5,20230615,162000,22.7347,22.7347,22.7347,22.7347,250,0
BFIT.US,5,20230615,165000,22.7,22.7,22.7,22.7,100,0
BFIT.US,5,20230615,172000,22.62,22.62,22.62,22.62,100,0
BFIT.US,5,20230616,153000,23,23,23,23,300,0
BFIT.US,5,20230616,165500,22.94,22.94,22.94,22.94,165,0
BFIT.US,5,20230616,171000,22.9,22.9,22.84,22.84,2300,0
BFIT.US,5,20230616,213000,22.78,22.78,22.78,22.78,248,0
BFIT.US,5,20230616,214500,22.87,22.87,22.87,22.87,300,0
BFIT.US,5,20230621,201500,22.34,22.34,22.34,22.34,100,0
BFIT.US,5,20230621,205000,22.34,22.34,22.34,22.34,200,0
BFIT.US,5,20230621,211000,22.35,22.35,22.345,22.345,300,0
BFIT.US,5,20230622,153000,22.14,22.14,22.14,22.14,281,0
BFIT.US,5,20230622,194000,22.45,22.45,22.45,22.45,371,0
