<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGRN.US,5,20230522,153000,46.5,46.55,46.5,46.55,584,0
BGRN.US,5,20230522,160000,46.5138,46.5391,46.5138,46.5157,1275,0
BGRN.US,5,20230522,162000,46.55,46.55,46.55,46.55,290,0
BGRN.US,5,20230522,164000,46.539,46.539,46.539,46.539,100,0
BGRN.US,5,20230522,165500,46.529,46.53,46.51,46.51,525,0
BGRN.US,5,20230522,174000,46.495,46.495,46.495,46.495,182,0
BGRN.US,5,20230522,174500,46.51,46.51,46.51,46.51,115,0
BGRN.US,5,20230522,182000,46.5,46.5197,46.5,46.5197,1232,0
BGRN.US,5,20230522,190500,46.529,46.54,46.529,46.539,1434,0
BGRN.US,5,20230522,191000,46.4911,46.4911,46.4911,46.4911,300,0
BGRN.US,5,20230522,201000,46.5001,46.5001,46.5001,46.5001,105,0
BGRN.US,5,20230522,203000,46.5,46.5,46.5,46.5,100,0
BGRN.US,5,20230522,204500,46.47,46.47,46.47,46.47,100,0
BGRN.US,5,20230522,210000,46.49,46.49,46.49,46.49,100,0
BGRN.US,5,20230522,211000,46.51,46.51,46.51,46.51,300,0
BGRN.US,5,20230522,212000,46.47,46.47,46.47,46.47,138,0
BGRN.US,5,20230522,213000,46.47,46.47,46.47,46.47,100,0
BGRN.US,5,20230522,214500,46.485,46.485,46.47,46.47,200,0
BGRN.US,5,20230522,215000,46.49,46.49,46.49,46.49,100,0
BGRN.US,5,20230522,215500,46.46,46.46,46.46,46.46,100,0
BGRN.US,5,20230523,153000,46.45,46.45,46.44,46.44,231,0
BGRN.US,5,20230523,154500,46.417,46.417,46.417,46.417,112,0
BGRN.US,5,20230523,160000,46.4488,46.4488,46.41,46.41,858,0
BGRN.US,5,20230523,161000,46.46,46.46,46.46,46.46,481,0
BGRN.US,5,20230523,174500,46.422,46.428,46.42,46.428,369,0
BGRN.US,5,20230523,183500,46.5,46.5,46.5,46.5,200,0
BGRN.US,5,20230523,184000,46.4601,46.4601,46.4601,46.4601,430,0
BGRN.US,5,20230523,192500,46.48,46.48,46.48,46.48,600,0
BGRN.US,5,20230523,195000,46.49,46.49,46.49,46.49,102,0
BGRN.US,5,20230523,201500,46.49,46.49,46.49,46.49,442,0
BGRN.US,5,20230523,202500,46.53,46.54,46.5001,46.5001,3841,0
BGRN.US,5,20230523,203500,46.53,46.53,46.53,46.53,107,0
