<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIB.US,5,20230522,153000,55.35,55.35,55.35,55.35,160,0
BIB.US,5,20230522,153500,56.28,56.28,56.28,56.28,100,0
BIB.US,5,20230522,154000,56.42,56.42,56.42,56.42,450,0
BIB.US,5,20230522,154500,56.36,56.4,56.342,56.342,1200,0
BIB.US,5,20230522,171500,55.872,55.872,55.872,55.872,325,0
BIB.US,5,20230522,173000,55.95,55.95,55.95,55.95,271,0
BIB.US,5,20230522,180000,56.025,56.025,56.025,56.025,100,0
BIB.US,5,20230522,205000,55.96,55.96,55.96,55.96,100,0
BIB.US,5,20230522,205500,55.93,55.93,55.93,55.93,100,0
BIB.US,5,20230522,210500,55.93,55.93,55.785,55.785,300,0
BIB.US,5,20230522,215500,55.86,55.96,55.86,55.96,214,0
BIB.US,5,20230523,153000,55.59,55.59,55.59,55.59,112,0
BIB.US,5,20230523,155000,56.3104,56.3104,56.3104,56.3104,100,0
BIB.US,5,20230523,163500,56.84,56.84,56.84,56.84,1230,0
BIB.US,5,20230523,164500,56.7,56.7,56.7,56.7,545,0
BIB.US,5,20230523,170000,56.695,56.695,56.695,56.695,100,0
BIB.US,5,20230523,170500,56.79,56.79,56.79,56.79,188,0
BIB.US,5,20230523,172500,57,57,57,57,280,0
BIB.US,5,20230523,182000,56.9918,56.9918,56.9918,56.9918,100,0
BIB.US,5,20230523,190500,56.799,56.799,56.799,56.799,178,0
BIB.US,5,20230523,193000,56.28,56.28,56.28,56.28,100,0
BIB.US,5,20230523,195500,56.38,56.38,56.38,56.38,100,0
BIB.US,5,20230523,201500,56.24,56.24,56.24,56.24,100,0
BIB.US,5,20230523,212000,55.98,56.08,55.98,56.025,300,0
BIB.US,5,20230523,215500,56.01,56.01,56.01,56.01,107,0
BIB.US,5,20230524,153000,55.41,55.765,55.41,55.7029,869,0
BIB.US,5,20230524,163500,54.54,54.54,54.46,54.49,2231,0
BIB.US,5,20230524,164000,54.475,54.475,54.475,54.475,453,0
BIB.US,5,20230524,170500,54.47,54.47,54.47,54.47,100,0
