<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BICK.US,5,20230522,153000,26.13,26.13,26.13,26.13,799,0
BICK.US,5,20230522,195500,26.16,26.354,26.16,26.354,200,0
BICK.US,5,20230523,153000,26.15,26.15,26.15,26.15,400,0
BICK.US,5,20230523,174500,26.14,26.15,26.12,26.1201,7536,0
BICK.US,5,20230525,163000,25.44,25.44,25.44,25.44,100,0
BICK.US,5,20230525,205000,25.37,25.37,25.37,25.37,200,0
BICK.US,5,20230525,210500,25.37,25.37,25.37,25.37,825,0
BICK.US,5,20230525,211000,25.5216,25.5216,25.5216,25.5216,322,0
BICK.US,5,20230526,153000,25.6,25.6,25.6,25.6,832,0
BICK.US,5,20230526,163500,26.07,26.07,26.07,26.07,755,0
BICK.US,5,20230531,193500,25.25,25.25,25.25,25.25,122,0
BICK.US,5,20230601,183500,26.0368,26.0368,26.0368,26.0368,151,0
BICK.US,5,20230601,195000,25.92,26.098,25.901,26.098,2947,0
BICK.US,5,20230602,153000,26.55,26.55,26.55,26.55,400,0
BICK.US,5,20230602,204000,26.76,26.78,26.76,26.78,200,0
BICK.US,5,20230602,205500,26.76,26.76,26.76,26.76,200,0
BICK.US,5,20230605,192500,26.75,26.75,26.75,26.75,100,0
BICK.US,5,20230605,203000,26.5,26.5,26.5,26.5,162,0
BICK.US,5,20230605,205500,26.51,26.51,26.51,26.51,128,0
BICK.US,5,20230607,202000,26.8831,26.8831,26.8831,26.8831,100,0
BICK.US,5,20230608,215000,27.03,27.03,27.03,27.03,100,0
BICK.US,5,20230609,153000,27.32,27.32,27.32,27.32,253,0
BICK.US,5,20230609,201000,27.4,27.4,27.4,27.4,600,0
BICK.US,5,20230609,210000,27.57,27.57,27.57,27.57,220,0
BICK.US,5,20230609,213000,27.405,27.405,27.405,27.405,121,0
BICK.US,5,20230613,153000,27.74,27.74,27.74,27.74,152,0
BICK.US,5,20230613,154000,27.75,27.75,27.75,27.75,212,0
BICK.US,5,20230613,174000,27.57,27.57,27.57,27.57,400,0
BICK.US,5,20230613,194500,27.69,27.69,27.69,27.69,1613,0
BICK.US,5,20230614,153000,27.52,27.52,27.52,27.52,463,0
BICK.US,5,20230614,195500,27.8,27.8,27.8,27.8,784,0
BICK.US,5,20230614,205500,27.6,27.6,27.6,27.6,100,0
BICK.US,5,20230615,163000,27.81,27.9587,27.81,27.81,497,0
BICK.US,5,20230616,173000,28.09,28.09,28.09,28.09,516,0
BICK.US,5,20230616,192000,27.91,27.91,27.91,27.91,300,0
BICK.US,5,20230616,210000,27.9823,27.9823,27.9823,27.9823,108,0
BICK.US,5,20230621,201500,27.15,27.15,27.15,27.15,500,0
BICK.US,5,20230621,210000,27.37,27.37,27.37,27.37,380,0
BICK.US,5,20230623,153000,26.82,26.82,26.82,26.82,239,0
BICK.US,5,20230627,210500,26.83,26.83,26.83,26.83,125,0
BICK.US,5,20230629,171000,26.48,26.48,26.48,26.48,100,0
BICK.US,5,20230629,195500,26.97,26.97,26.97,26.97,349,0
BICK.US,5,20230630,153000,26.88,26.88,26.88,26.88,138,0
BICK.US,5,20230705,153000,27.29,27.29,27.29,27.29,228,0
BICK.US,5,20230705,200500,27.65,27.65,27.65,27.65,151,0
BICK.US,5,20230707,185000,27.3511,27.3511,27.3511,27.3511,271,0
