<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIS.US,5,20230522,164500,19.62,19.62,19.615,19.615,1670,0
BIS.US,5,20230522,175000,19.5,19.5,19.5,19.5,1360,0
BIS.US,5,20230522,193000,19.47,19.47,19.47,19.47,100,0
BIS.US,5,20230522,193500,19.47,19.47,19.47,19.47,400,0
BIS.US,5,20230523,153000,19.59,19.59,19.59,19.59,380,0
BIS.US,5,20230523,161000,19.1727,19.1727,19.1727,19.1727,3700,0
BIS.US,5,20230523,161500,19.215,19.215,19.21,19.21,300,0
BIS.US,5,20230523,195000,19.27,19.2703,19.27,19.27,3700,0
BIS.US,5,20230523,212000,19.43,19.43,19.43,19.43,100,0
BIS.US,5,20230523,212500,19.4,19.4,19.4,19.4,110,0
BIS.US,5,20230523,215500,19.469,19.47,19.46,19.47,403,0
BIS.US,5,20230524,175000,19.9403,19.99,19.9403,19.99,1110,0
BIS.US,5,20230524,191500,20.019,20.019,20.019,20.019,200,0
BIS.US,5,20230524,194000,19.9102,19.9102,19.9102,19.9102,200,0
BIS.US,5,20230524,194500,19.9389,19.9389,19.9389,19.9389,200,0
BIS.US,5,20230525,153500,20.5,20.5,20.4997,20.5,2288,0
BIS.US,5,20230525,162500,20.698,20.698,20.698,20.698,100,0
BIS.US,5,20230525,164000,20.69,20.69,20.69,20.69,100,0
BIS.US,5,20230525,171000,20.6803,20.6803,20.6803,20.6803,150,0
BIS.US,5,20230525,173500,20.97,20.97,20.9699,20.9699,422,0
BIS.US,5,20230525,174000,20.98,20.98,20.968,20.975,785,0
BIS.US,5,20230525,174500,20.9367,20.9367,20.9367,20.9367,100,0
BIS.US,5,20230525,182500,20.95,20.95,20.95,20.95,100,0
BIS.US,5,20230525,184000,20.905,20.905,20.905,20.905,150,0
BIS.US,5,20230525,185000,21,21,21,21,1647,0
BIS.US,5,20230525,204500,20.8929,20.8929,20.8929,20.8929,100,0
BIS.US,5,20230525,215000,20.7226,20.7307,20.71,20.72,4571,0
BIS.US,5,20230525,215500,20.78,20.78,20.78,20.78,200,0
BIS.US,5,20230526,153000,20.84,20.84,20.84,20.84,825,0
BIS.US,5,20230526,173000,20.8169,20.8169,20.8169,20.8169,300,0
BIS.US,5,20230530,153000,20.63,20.63,20.63,20.63,101,0
BIS.US,5,20230530,182500,21.0894,21.12,21.0894,21.12,485,0
BIS.US,5,20230530,192000,21.121,21.121,21.121,21.121,211,0
BIS.US,5,20230530,211500,21.1462,21.1462,21.1462,21.1462,238,0
BIS.US,5,20230531,164000,21.122,21.122,21.122,21.122,100,0
BIS.US,5,20230531,193000,20.922,20.945,20.922,20.945,513,0
BIS.US,5,20230531,200000,20.83,20.83,20.83,20.83,300,0
BIS.US,5,20230531,214500,20.7499,20.7499,20.7499,20.7499,240,0
BIS.US,5,20230601,153000,20.83,20.83,20.83,20.83,100,0
BIS.US,5,20230601,160000,21.18,21.18,21.18,21.18,200,0
BIS.US,5,20230601,170000,20.715,20.715,20.715,20.715,100,0
BIS.US,5,20230601,172500,20.68,20.6801,20.68,20.6801,400,0
BIS.US,5,20230601,194000,20.7002,20.7002,20.7002,20.7002,200,0
BIS.US,5,20230601,205000,20.6736,20.6736,20.6736,20.6736,200,0
BIS.US,5,20230601,212500,20.7,20.7,20.6999,20.6999,400,0
BIS.US,5,20230601,214500,20.7305,20.7305,20.711,20.711,1700,0
BIS.US,5,20230602,154500,20.45,20.45,20.45,20.45,137,0
BIS.US,5,20230602,155500,20.55,20.55,20.55,20.55,200,0
BIS.US,5,20230602,163000,20.4901,20.4901,20.4901,20.4901,115,0
BIS.US,5,20230602,173000,20.3401,20.3401,20.3401,20.3401,200,0
BIS.US,5,20230602,210500,20.14,20.14,20.14,20.14,246,0
BIS.US,5,20230602,215000,20.05,20.05,20.05,20.05,489,0
BIS.US,5,20230605,153500,20,20,19.95,19.95,1450,0
BIS.US,5,20230605,154000,20.08,20.08,20.0799,20.0799,498,0
BIS.US,5,20230605,154500,19.97,19.97,19.97,19.97,100,0
BIS.US,5,20230605,211500,19.8899,19.89,19.8899,19.89,200,0
BIS.US,5,20230605,215500,19.855,19.8699,19.84,19.845,4912,0
BIS.US,5,20230606,165500,19.93,19.93,19.93,19.93,100,0
BIS.US,5,20230606,172500,19.93,19.93,19.93,19.93,885,0
BIS.US,5,20230606,173500,19.95,19.95,19.95,19.95,300,0
BIS.US,5,20230606,180000,19.8399,19.8399,19.78,19.78,555,0
BIS.US,5,20230606,183500,19.95,19.95,19.95,19.95,600,0
BIS.US,5,20230606,184000,19.981,19.981,19.981,19.981,1000,0
BIS.US,5,20230606,194000,20.0098,20.0098,20.0098,20.0098,250,0
BIS.US,5,20230606,194500,19.9848,19.9848,19.9848,19.9848,500,0
BIS.US,5,20230606,195500,20.0399,20.0399,20.0399,20.0399,200,0
BIS.US,5,20230606,205500,19.9503,19.9889,19.95,19.9889,5000,0
BIS.US,5,20230606,210500,19.96,19.96,19.96,19.96,100,0
BIS.US,5,20230606,213000,19.941,19.941,19.941,19.941,200,0
BIS.US,5,20230606,213500,19.95,19.95,19.95,19.95,100,0
BIS.US,5,20230606,215500,19.88,19.9,19.88,19.9,300,0
BIS.US,5,20230607,153500,19.89,19.89,19.89,19.89,117,0
BIS.US,5,20230607,160000,19.9748,19.9748,19.9748,19.9748,249,0
BIS.US,5,20230607,200500,20,20.0001,20,20.0001,300,0
BIS.US,5,20230607,201500,20.048,20.048,20.048,20.048,150,0
BIS.US,5,20230607,214500,20.045,20.048,20.042,20.042,1456,0
BIS.US,5,20230607,215500,20.09,20.09,20.09,20.09,197,0
BIS.US,5,20230608,172000,20.12,20.13,20.12,20.13,850,0
BIS.US,5,20230608,201000,19.935,19.9512,19.935,19.9512,200,0
BIS.US,5,20230608,202000,19.96,19.96,19.96,19.96,193,0
BIS.US,5,20230608,212000,19.85,19.85,19.85,19.85,204,0
BIS.US,5,20230609,154500,20.16,20.16,20.16,20.16,100,0
BIS.US,5,20230609,155000,20.03,20.09,20.03,20.09,200,0
BIS.US,5,20230609,155500,20.05,20.05,20.05,20.05,151,0
BIS.US,5,20230609,162500,20,20,20,20,100,0
BIS.US,5,20230609,180000,20.21,20.21,20.19,20.19,3400,0
BIS.US,5,20230609,180500,20.2,20.2,20.2,20.2,200,0
BIS.US,5,20230609,202000,20.14,20.14,20.14,20.14,200,0
BIS.US,5,20230609,213500,20.16,20.16,20.16,20.16,200,0
BIS.US,5,20230609,215500,20.0242,20.0242,19.96,19.96,600,0
BIS.US,5,20230612,153000,19.9,19.9,19.9,19.9,202,0
BIS.US,5,20230612,161500,19.8095,19.8095,19.76,19.76,4460,0
BIS.US,5,20230612,173000,19.9141,19.9499,19.91,19.9101,4255,0
BIS.US,5,20230612,214000,19.811,19.834,19.811,19.834,800,0
BIS.US,5,20230613,161000,19.52,19.52,19.49,19.49,731,0
BIS.US,5,20230613,165500,19.5,19.5,19.5,19.5,195,0
BIS.US,5,20230613,173000,19.49,19.49,19.49,19.49,200,0
BIS.US,5,20230613,175000,19.49,19.49,19.49,19.49,232,0
BIS.US,5,20230613,210500,19.351,19.351,19.351,19.351,327,0
BIS.US,5,20230613,214500,19.3,19.3,19.3,19.3,153,0
BIS.US,5,20230613,215000,19.33,19.33,19.33,19.33,200,0
BIS.US,5,20230613,215500,19.37,19.37,19.37,19.37,100,0
BIS.US,5,20230614,154000,19.2,19.2,19.2,19.2,706,0
BIS.US,5,20230614,182000,19.52,19.52,19.52,19.52,100,0
BIS.US,5,20230614,215500,19.69,19.69,19.69,19.69,153,0
BIS.US,5,20230615,180500,19.46,19.46,19.4476,19.4476,3900,0
BIS.US,5,20230615,182500,19.391,19.391,19.391,19.391,153,0
BIS.US,5,20230615,185000,19.37,19.37,19.37,19.37,400,0
BIS.US,5,20230615,185500,19.37,19.37,19.37,19.37,486,0
BIS.US,5,20230615,215500,19.22,19.22,19.22,19.22,197,0
BIS.US,5,20230616,153000,18.87,18.87,18.87,18.87,200,0
BIS.US,5,20230616,164000,19.2,19.2,19.2,19.2,1024,0
BIS.US,5,20230616,171000,19.2,19.215,19.2,19.215,1480,0
