<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BJK.US,5,20230522,153000,45.1,45.1,45.1,45.1,424,0
BJK.US,5,20230522,154000,45.4862,45.4862,45.4862,45.4862,1000,0
BJK.US,5,20230522,154500,45.4899,45.4899,45.4899,45.4899,225,0
BJK.US,5,20230522,160000,45.45,45.45,45.45,45.45,100,0
BJK.US,5,20230522,173000,45.43,45.43,45.43,45.43,100,0
BJK.US,5,20230522,175000,45.18,45.4399,45.18,45.4399,578,0
BJK.US,5,20230522,181000,45.44,45.44,45.43,45.43,200,0
BJK.US,5,20230522,181500,45.44,45.44,45.44,45.44,100,0
BJK.US,5,20230522,185500,45.5844,45.5844,45.5844,45.5844,200,0
BJK.US,5,20230522,200500,45.6999,45.6999,45.6999,45.6999,300,0
BJK.US,5,20230522,205000,45.41,45.41,45.41,45.41,1092,0
BJK.US,5,20230522,205500,45.56,45.56,45.56,45.56,100,0
BJK.US,5,20230522,211500,45.49,45.49,45.49,45.49,651,0
BJK.US,5,20230522,214500,45.387,45.387,45.387,45.387,100,0
BJK.US,5,20230522,215500,45.36,45.36,45.36,45.36,123,0
BJK.US,5,20230523,153000,45.09,45.09,45.09,45.09,280,0
BJK.US,5,20230523,162000,44.625,44.625,44.625,44.625,100,0
BJK.US,5,20230523,162500,44.5783,44.5783,44.5783,44.5783,100,0
BJK.US,5,20230523,165000,44.78,44.78,44.78,44.78,100,0
BJK.US,5,20230523,171000,44.76,44.76,44.625,44.625,300,0
BJK.US,5,20230523,171500,44.646,44.73,44.646,44.73,200,0
BJK.US,5,20230523,172000,44.5414,44.5414,44.5414,44.5414,100,0
BJK.US,5,20230523,181000,44.5785,44.5785,44.48,44.48,800,0
BJK.US,5,20230523,182500,44.0626,44.24,44.0626,44.17,460,0
BJK.US,5,20230523,183000,44.15,44.15,44.15,44.15,186,0
BJK.US,5,20230523,185500,44.04,44.04,44.04,44.04,400,0
BJK.US,5,20230523,190000,43.9601,44,43.9601,44,300,0
BJK.US,5,20230523,190500,44.23,44.23,44,44,450,0
BJK.US,5,20230523,193500,43.865,43.865,43.865,43.865,100,0
BJK.US,5,20230523,200500,44.2499,44.2499,44.2499,44.2499,200,0
BJK.US,5,20230523,201000,44.085,44.085,44.085,44.085,450,0
BJK.US,5,20230523,202500,43.84,43.84,43.84,43.84,175,0
BJK.US,5,20230523,203000,43.89,43.89,43.89,43.89,100,0
BJK.US,5,20230523,205500,43.85,43.99,43.85,43.85,413,0
BJK.US,5,20230523,210500,43.995,43.995,43.995,43.995,100,0
BJK.US,5,20230523,211000,43.995,43.995,43.995,43.995,100,0
BJK.US,5,20230523,211500,43.97,43.97,43.97,43.97,200,0
BJK.US,5,20230523,212500,43.905,43.905,43.905,43.905,224,0
BJK.US,5,20230523,215500,43.78,43.781,43.5,43.5,5197,0
BJK.US,5,20230524,153000,43.01,43.01,43.01,43.01,225,0
BJK.US,5,20230524,153500,43.51,43.51,42.9367,43.39,2560,0
BJK.US,5,20230524,154000,43.28,43.28,43.28,43.28,700,0
BJK.US,5,20230524,155000,43,43,43,43,348,0
BJK.US,5,20230524,161500,42.83,42.83,42.83,42.83,1000,0
BJK.US,5,20230524,163500,42.99,43,42.99,43,300,0
BJK.US,5,20230524,170500,42.83,42.83,42.83,42.83,200,0
BJK.US,5,20230524,171500,42.98,42.98,42.98,42.98,100,0
BJK.US,5,20230524,173500,43.15,43.15,43.15,43.15,100,0
BJK.US,5,20230524,175000,43.12,43.12,42.99,42.99,578,0
BJK.US,5,20230524,182500,43.23,43.23,43.23,43.23,100,0
BJK.US,5,20230524,183500,43.19,43.19,43.19,43.19,100,0
BJK.US,5,20230524,185500,43.11,43.11,43.11,43.11,100,0
BJK.US,5,20230524,190000,43.07,43.07,43.07,43.07,100,0
BJK.US,5,20230524,193500,43.7,43.7,43.7,43.7,1439,0
BJK.US,5,20230524,211500,43.12,43.14,43.12,43.14,300,0
BJK.US,5,20230525,155000,43.32,43.371,43.32,43.371,1000,0
BJK.US,5,20230525,155500,43.3401,43.3401,43.3401,43.3401,125,0
BJK.US,5,20230525,161000,43.17,43.4072,43.17,43.4072,301,0
BJK.US,5,20230525,174500,42.74,42.74,42.74,42.74,100,0
BJK.US,5,20230525,175000,42.74,42.74,42.74,42.74,152,0
BJK.US,5,20230525,204500,42.91,43.12,42.7,43.08,4964,0
BJK.US,5,20230525,210000,42.97,42.97,42.97,42.97,100,0
BJK.US,5,20230525,211000,42.7402,42.99,42.7402,42.99,900,0
BJK.US,5,20230525,212500,42.99,42.99,42.96,42.99,1100,0
BJK.US,5,20230526,153000,43.06,43.06,43.06,43.06,444,0
BJK.US,5,20230526,154000,43.12,43.13,43.12,43.13,2330,0
BJK.US,5,20230526,161500,43.3299,43.3299,43.3299,43.3299,100,0
BJK.US,5,20230526,163000,43.225,43.225,43.225,43.225,200,0
BJK.US,5,20230526,164000,43.33,43.33,43.235,43.235,500,0
BJK.US,5,20230526,172000,43.43,43.44,43.43,43.44,200,0
BJK.US,5,20230526,173500,43.285,43.285,43.285,43.285,100,0
BJK.US,5,20230526,174500,43.35,43.35,43.35,43.35,100,0
BJK.US,5,20230526,175000,43.4,43.4,43.4,43.4,100,0
BJK.US,5,20230526,175500,43.39,43.4,43.39,43.4,1833,0
