<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKCH.US,5,20230522,153000,24.25,24.25,23.98,24.13,1012,0
BKCH.US,5,20230522,153500,24.15,24.18,24.15,24.17,873,0
BKCH.US,5,20230522,154000,24.26,24.37,24.26,24.37,2074,0
BKCH.US,5,20230522,161000,24.13,24.15,24.13,24.15,300,0
BKCH.US,5,20230522,161500,24.33,24.33,24.27,24.27,980,0
BKCH.US,5,20230522,162000,24.29,24.34,24.205,24.205,1225,0
BKCH.US,5,20230522,163500,24.44,24.44,24.44,24.44,196,0
BKCH.US,5,20230522,173500,24.46,24.46,24.46,24.46,123,0
BKCH.US,5,20230522,175500,24.72,24.72,24.72,24.72,763,0
BKCH.US,5,20230522,181500,24.91,24.91,24.88,24.88,700,0
BKCH.US,5,20230522,182000,24.83,24.83,24.83,24.83,200,0
BKCH.US,5,20230522,182500,24.79,24.79,24.79,24.79,200,0
BKCH.US,5,20230522,190500,25.09,25.09,25.09,25.09,160,0
BKCH.US,5,20230522,192500,25.04,25.04,25.04,25.04,200,0
BKCH.US,5,20230522,200500,25.1317,25.1317,25.1001,25.1001,440,0
BKCH.US,5,20230522,202500,25.092,25.092,25.092,25.092,286,0
BKCH.US,5,20230522,203000,25.11,25.11,25.11,25.11,100,0
BKCH.US,5,20230522,203500,25.14,25.15,25.14,25.15,800,0
BKCH.US,5,20230522,210500,25.2,25.2,25.2,25.2,180,0
BKCH.US,5,20230522,212000,25.131,25.131,25.131,25.131,422,0
BKCH.US,5,20230522,212500,25.098,25.098,25.098,25.098,500,0
BKCH.US,5,20230522,213000,25.1799,25.1799,25.1799,25.1799,100,0
BKCH.US,5,20230522,214000,25.17,25.17,25.17,25.17,100,0
BKCH.US,5,20230522,215000,25.11,25.11,25.11,25.11,300,0
BKCH.US,5,20230523,153000,25.3,25.3,25.3,25.3,345,0
BKCH.US,5,20230523,155500,25.99,26,25.92,25.92,955,0
BKCH.US,5,20230523,160000,25.94,25.94,25.93,25.93,875,0
BKCH.US,5,20230523,160500,26,26,26,26,400,0
BKCH.US,5,20230523,161000,25.95,25.95,25.95,25.95,760,0
BKCH.US,5,20230523,161500,26.01,26.02,26.01,26.02,319,0
BKCH.US,5,20230523,162000,26,26,26,26,268,0
BKCH.US,5,20230523,163000,25.58,25.58,25.58,25.58,100,0
BKCH.US,5,20230523,163500,25.705,25.705,25.705,25.705,219,0
BKCH.US,5,20230523,164000,25.73,25.73,25.73,25.73,200,0
BKCH.US,5,20230523,164500,25.737,25.737,25.73,25.73,574,0
BKCH.US,5,20230523,165000,25.73,25.73,25.73,25.73,100,0
BKCH.US,5,20230523,173500,25.7716,25.7716,25.67,25.67,620,0
BKCH.US,5,20230523,175000,25.42,25.4299,25.42,25.4299,300,0
BKCH.US,5,20230523,180000,25.55,25.55,25.55,25.55,100,0
BKCH.US,5,20230523,181000,25.41,25.41,25.41,25.41,100,0
BKCH.US,5,20230523,182000,25.42,25.42,25.42,25.42,100,0
BKCH.US,5,20230523,183000,25.3,25.3,25.19,25.19,320,0
BKCH.US,5,20230523,183500,25.1,25.11,25.005,25.05,600,0
BKCH.US,5,20230523,190000,25.01,25.01,24.8601,24.8601,540,0
BKCH.US,5,20230523,192500,24.8823,24.8823,24.76,24.77,2240,0
BKCH.US,5,20230523,193000,24.83,24.84,24.83,24.84,925,0
BKCH.US,5,20230523,194000,24.81,24.82,24.81,24.82,232,0
BKCH.US,5,20230523,195000,24.75,24.75,24.75,24.75,351,0
BKCH.US,5,20230523,202000,24.53,24.55,24.53,24.55,1016,0
BKCH.US,5,20230523,205500,24.4899,24.4899,24.4899,24.4899,2500,0
BKCH.US,5,20230523,210000,24.475,24.49,24.475,24.485,850,0
BKCH.US,5,20230523,210500,24.47,24.47,24.47,24.47,100,0
BKCH.US,5,20230523,214000,24.62,24.62,24.62,24.62,259,0
BKCH.US,5,20230523,214500,24.51,24.51,24.51,24.51,200,0
BKCH.US,5,20230523,215500,24.55,24.55,24.42,24.52,1300,0
BKCH.US,5,20230524,153000,24.12,24.12,24.08,24.1,3708,0
BKCH.US,5,20230524,153500,24.42,24.42,24.3,24.3,290,0
BKCH.US,5,20230524,154000,24.37,24.37,24.37,24.37,200,0
BKCH.US,5,20230524,154500,24.04,24.04,23.98,24.0124,3000,0
BKCH.US,5,20230524,155000,23.74,23.765,23.74,23.765,2000,0
BKCH.US,5,20230524,161000,23.65,23.67,23.63,23.67,500,0
BKCH.US,5,20230524,161500,23.7,23.7,23.67,23.67,200,0
BKCH.US,5,20230524,163000,23.49,23.49,23.49,23.49,100,0
BKCH.US,5,20230524,163500,23.64,23.64,23.64,23.64,212,0
BKCH.US,5,20230524,164500,23.5908,23.5908,23.5908,23.5908,160,0
BKCH.US,5,20230524,170000,23.51,23.54,23.51,23.54,252,0
BKCH.US,5,20230524,170500,23.54,23.54,23.54,23.54,400,0
BKCH.US,5,20230524,171000,23.58,23.58,23.58,23.58,193,0
BKCH.US,5,20230524,175000,24.0709,24.0709,24.0709,24.0709,291,0
BKCH.US,5,20230524,180500,24.32,24.3483,24.32,24.3483,665,0
BKCH.US,5,20230524,190000,24.15,24.15,24.15,24.15,100,0
BKCH.US,5,20230524,200000,24.27,24.27,24.18,24.22,878,0
BKCH.US,5,20230524,201000,24.185,24.185,24.185,24.185,100,0
BKCH.US,5,20230524,211500,24.42,24.42,24.42,24.42,100,0
BKCH.US,5,20230524,212000,24.5,24.5,24.5,24.5,1000,0
BKCH.US,5,20230524,214500,24.6116,24.6116,24.6116,24.6116,926,0
BKCH.US,5,20230524,215500,24.38,24.38,24.38,24.38,179,0
BKCH.US,5,20230525,153000,25.11,25.11,25.11,25.11,107,0
BKCH.US,5,20230525,153500,24.88,24.88,24.88,24.88,200,0
BKCH.US,5,20230525,154000,24.5,24.5,24.5,24.5,966,0
BKCH.US,5,20230525,154500,24.4599,24.4599,24.4599,24.4599,150,0
BKCH.US,5,20230525,155500,24.35,24.35,24.3402,24.3402,200,0
BKCH.US,5,20230525,160000,24.37,24.37,24.37,24.37,100,0
BKCH.US,5,20230525,172000,23.85,23.85,23.85,23.85,250,0
BKCH.US,5,20230525,182500,23.7444,23.7444,23.7444,23.7444,100,0
BKCH.US,5,20230525,183500,23.6,23.6,23.6,23.6,211,0
BKCH.US,5,20230525,192000,23.69,23.69,23.69,23.69,300,0
BKCH.US,5,20230525,194500,23.94,23.94,23.94,23.94,100,0
BKCH.US,5,20230525,200000,23.96,23.96,23.96,23.96,200,0
BKCH.US,5,20230525,202500,23.97,23.97,23.97,23.97,100,0
BKCH.US,5,20230525,205000,23.835,23.835,23.835,23.835,157,0
BKCH.US,5,20230525,213000,24.14,24.14,24.14,24.14,100,0
BKCH.US,5,20230525,215000,24.1699,24.1699,24.1699,24.1699,128,0
BKCH.US,5,20230525,215500,24.03,24.03,24.03,24.03,146,0
BKCH.US,5,20230526,153000,24.28,24.28,24.23,24.23,461,0
BKCH.US,5,20230526,154000,24.28,24.28,24.26,24.26,300,0
BKCH.US,5,20230526,155000,24.14,24.14,24.14,24.14,800,0
BKCH.US,5,20230526,161000,24.49,24.49,24.49,24.49,113,0
BKCH.US,5,20230526,164000,24.88,24.917,24.86,24.86,700,0
BKCH.US,5,20230526,165000,24.8991,24.8991,24.8991,24.8991,138,0
BKCH.US,5,20230526,170500,24.77,24.77,24.77,24.77,300,0
BKCH.US,5,20230526,171500,24.55,24.55,24.55,24.55,188,0
BKCH.US,5,20230526,180500,24.215,24.215,24.215,24.215,408,0
BKCH.US,5,20230526,182000,24.2472,24.2472,24.2155,24.2155,705,0
BKCH.US,5,20230526,190000,24.2501,24.2501,24.2501,24.2501,100,0
BKCH.US,5,20230526,191000,24.38,24.38,24.38,24.38,2520,0
BKCH.US,5,20230526,201000,23.84,23.84,23.84,23.84,1886,0
BKCH.US,5,20230526,202000,23.8399,23.8501,23.8399,23.8501,1664,0
BKCH.US,5,20230526,202500,23.89,23.89,23.89,23.89,200,0
BKCH.US,5,20230526,203000,23.86,23.86,23.86,23.86,700,0
BKCH.US,5,20230526,211500,24.2,24.31,24.2,24.31,2000,0
BKCH.US,5,20230526,213000,24.03,24.03,24.03,24.03,100,0
BKCH.US,5,20230530,153000,24.95,25.52,24.95,25.45,1270,0
BKCH.US,5,20230530,153500,25.77,26.03,25.77,26.03,2539,0
BKCH.US,5,20230530,154000,25.88,26.07,25.88,26.02,594,0
BKCH.US,5,20230530,154500,26.07,26.18,26,26.18,800,0
BKCH.US,5,20230530,155000,26.116,26.116,25.77,25.77,300,0
BKCH.US,5,20230530,155500,25.6515,25.6515,25.6515,25.6515,500,0
BKCH.US,5,20230530,160000,25.35,25.35,25.3,25.35,700,0
BKCH.US,5,20230530,160500,25.43,25.7,25.43,25.7,2045,0
BKCH.US,5,20230530,161000,25.69,25.69,25.69,25.69,100,0
BKCH.US,5,20230530,161500,25.7,25.94,25.7,25.94,1400,0
BKCH.US,5,20230530,162000,25.95,26.01,25.95,26.01,1400,0
BKCH.US,5,20230530,162500,26,26,25.7,25.7,2225,0
BKCH.US,5,20230530,164000,25.55,25.55,25.55,25.55,100,0
BKCH.US,5,20230530,171500,25.6,25.6643,25.5741,25.6643,520,0
BKCH.US,5,20230530,172000,25.55,25.56,25.55,25.56,500,0
BKCH.US,5,20230530,172500,25.31,25.31,25.31,25.31,650,0
BKCH.US,5,20230530,173000,25.35,25.35,25.35,25.35,206,0
BKCH.US,5,20230530,173500,25.58,25.58,25.48,25.48,200,0
BKCH.US,5,20230530,174000,25.69,25.7,25.69,25.7,500,0
BKCH.US,5,20230530,174500,25.48,25.48,25.48,25.48,100,0
BKCH.US,5,20230530,180000,25.435,25.435,25.435,25.435,250,0
BKCH.US,5,20230530,182000,25.23,25.23,25.23,25.23,150,0
BKCH.US,5,20230530,183000,25.2068,25.2068,25.2068,25.2068,159,0
BKCH.US,5,20230530,183500,25.2,25.2,25.2,25.2,100,0
BKCH.US,5,20230530,184000,25.11,25.11,25.11,25.11,400,0
BKCH.US,5,20230530,185000,25.255,25.255,25.255,25.255,100,0
BKCH.US,5,20230530,200000,25.2,25.2,25.2,25.2,100,0
BKCH.US,5,20230530,212500,25.4831,25.4831,25.4831,25.4831,875,0
BKCH.US,5,20230530,215000,25.6999,25.6999,25.6999,25.6999,400,0
BKCH.US,5,20230530,215500,25.62,25.62,25.62,25.62,224,0
BKCH.US,5,20230531,153000,25.14,25.14,24.98,24.98,1160,0
BKCH.US,5,20230531,153500,24.9,24.96,24.79,24.96,3748,0
BKCH.US,5,20230531,154500,25.2265,25.2265,24.97,24.97,2050,0
BKCH.US,5,20230531,161000,24.84,24.84,24.84,24.84,500,0
BKCH.US,5,20230531,161500,24.61,24.61,24.57,24.57,500,0
BKCH.US,5,20230531,162000,24.685,24.7285,24.61,24.7285,2800,0
BKCH.US,5,20230531,162500,24.63,24.63,24.63,24.63,100,0
BKCH.US,5,20230531,163000,24.74,24.9274,24.74,24.9274,1100,0
BKCH.US,5,20230531,164500,25.05,25.05,25.05,25.05,100,0
