<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLCN.US,5,20230522,153000,20.89,20.89,20.89,20.89,1440,0
BLCN.US,5,20230522,153500,20.9421,20.9421,20.9421,20.9421,117,0
BLCN.US,5,20230522,154500,21.0783,21.0783,21.0783,21.0783,100,0
BLCN.US,5,20230522,161500,20.9213,20.9213,20.9213,20.9213,255,0
BLCN.US,5,20230522,162500,21.39,21.39,21.39,21.39,120,0
BLCN.US,5,20230522,163000,21.1242,21.1242,21.1242,21.1242,203,0
BLCN.US,5,20230522,163500,20.7701,20.7701,20.7701,20.7701,150,0
BLCN.US,5,20230522,164500,21.08,21.08,21.08,21.08,100,0
BLCN.US,5,20230522,165000,20.78,21.3,20.78,21.27,399,0
BLCN.US,5,20230522,180000,21.1906,21.1906,21.1906,21.1906,110,0
BLCN.US,5,20230522,180500,21.2477,21.2477,20.91,20.91,320,0
BLCN.US,5,20230522,191000,21.115,21.115,21.115,21.115,100,0
BLCN.US,5,20230522,195500,21.25,21.25,21.25,21.25,100,0
BLCN.US,5,20230522,203500,21.2899,21.2899,21.2899,21.2899,533,0
BLCN.US,5,20230522,204500,21.29,21.29,21.29,21.29,142,0
BLCN.US,5,20230522,205000,21.29,21.29,21.29,21.29,100,0
BLCN.US,5,20230522,210500,21.23,21.3963,21.23,21.3963,200,0
BLCN.US,5,20230522,213500,21.159,21.159,21.1483,21.1483,488,0
BLCN.US,5,20230522,214000,21.1,21.1,21.1,21.1,100,0
BLCN.US,5,20230522,214500,21.225,21.225,21.225,21.225,142,0
BLCN.US,5,20230522,215000,21.225,21.28,21.225,21.27,400,0
BLCN.US,5,20230522,215500,21.25,21.28,21.25,21.27,300,0
BLCN.US,5,20230523,153000,21.23,21.23,21.23,21.23,357,0
BLCN.US,5,20230523,154500,21.365,21.365,21.365,21.365,500,0
BLCN.US,5,20230523,171000,21.19,21.19,21.19,21.19,136,0
BLCN.US,5,20230523,180500,21.71,21.71,21.71,21.71,200,0
BLCN.US,5,20230523,181000,21.62,21.62,21.22,21.22,200,0
BLCN.US,5,20230523,181500,21.22,21.22,21.22,21.22,100,0
BLCN.US,5,20230523,182500,21.44,21.44,21.44,21.44,100,0
BLCN.US,5,20230523,183000,21.25,21.25,21.25,21.25,100,0
BLCN.US,5,20230523,185000,21.2001,21.465,21.2001,21.465,200,0
BLCN.US,5,20230523,192000,21.395,21.395,21.395,21.395,100,0
BLCN.US,5,20230523,193000,21.23,21.315,21.2,21.315,1278,0
BLCN.US,5,20230523,201000,21,21.3987,21,21.32,494,0
BLCN.US,5,20230523,203500,21.01,21.01,21.01,21.01,100,0
BLCN.US,5,20230523,204000,20.93,20.93,20.93,20.93,100,0
BLCN.US,5,20230523,213500,21.0158,21.0158,21.0158,21.0158,150,0
BLCN.US,5,20230523,214500,20.87,20.965,20.87,20.965,200,0
BLCN.US,5,20230523,215000,20.965,20.965,20.965,20.965,448,0
BLCN.US,5,20230523,215500,21.03,21.08,20.86,21.08,2156,0
BLCN.US,5,20230524,153000,20.78,20.78,20.75,20.75,207,0
BLCN.US,5,20230524,153500,20.75,20.75,20.75,20.75,111,0
BLCN.US,5,20230524,170500,20.49,20.49,20.49,20.49,100,0
BLCN.US,5,20230524,171500,20.5739,20.5739,20.5739,20.5739,101,0
BLCN.US,5,20230524,172500,20.54,20.54,20.54,20.54,101,0
BLCN.US,5,20230524,173500,20.55,20.55,20.55,20.55,604,0
BLCN.US,5,20230524,174000,20.71,20.71,20.71,20.71,100,0
BLCN.US,5,20230524,180500,20.6999,20.6999,20.67,20.67,603,0
BLCN.US,5,20230524,181000,20.43,20.7,20.41,20.7,775,0
BLCN.US,5,20230524,210000,20.575,20.575,20.575,20.575,100,0
BLCN.US,5,20230524,212500,20.75,20.75,20.75,20.75,206,0
BLCN.US,5,20230524,215500,20.68,20.74,20.68,20.74,200,0
BLCN.US,5,20230525,153000,20.98,20.98,20.98,20.98,1511,0
BLCN.US,5,20230525,161000,21,21,21,21,100,0
BLCN.US,5,20230525,165500,20.5,20.5,20.5,20.5,100,0
BLCN.US,5,20230525,170000,20.5763,20.5763,20.5763,20.5763,100,0
BLCN.US,5,20230525,172000,20.55,20.55,20.51,20.5187,516,0
BLCN.US,5,20230525,172500,20.55,20.55,20.55,20.55,100,0
BLCN.US,5,20230525,173000,20.5,20.5,20.5,20.5,200,0
BLCN.US,5,20230525,173500,20.5005,20.5005,20.5005,20.5005,200,0
BLCN.US,5,20230525,174000,20.57,20.6539,20.5,20.5,554,0
BLCN.US,5,20230525,175000,20.5,20.5,20.5,20.5,100,0
BLCN.US,5,20230525,201500,20.51,20.51,20.51,20.51,100,0
BLCN.US,5,20230525,202000,20.5005,20.5005,20.5005,20.5005,100,0
BLCN.US,5,20230525,203000,20.85,20.92,20.5,20.5,804,0
BLCN.US,5,20230525,204000,20.5,20.5,20.5,20.5,200,0
BLCN.US,5,20230525,211000,20.75,20.75,20.75,20.75,145,0
BLCN.US,5,20230525,211500,20.511,20.511,20.511,20.511,100,0
BLCN.US,5,20230525,214500,20.99,20.99,20.54,20.54,300,0
BLCN.US,5,20230525,215500,20.541,20.541,20.541,20.541,100,0
BLCN.US,5,20230526,153000,20.55,20.55,20.55,20.55,746,0
BLCN.US,5,20230526,162500,20.97,21,20.97,21,610,0
BLCN.US,5,20230526,163500,21.29,21.29,21.29,21.29,100,0
BLCN.US,5,20230526,171000,20.9068,20.9068,20.9068,20.9068,280,0
BLCN.US,5,20230526,172500,21.09,21.09,21.09,21.09,100,0
BLCN.US,5,20230526,181500,20.96,20.96,20.96,20.96,100,0
BLCN.US,5,20230526,190000,20.9,20.9,20.9,20.9,100,0
BLCN.US,5,20230526,191000,20.95,20.95,20.95,20.95,100,0
BLCN.US,5,20230526,195000,21.021,21.021,21.021,21.021,100,0
BLCN.US,5,20230526,200500,20.865,20.865,20.865,20.865,500,0
BLCN.US,5,20230526,201500,20.8,20.8,20.8,20.8,1030,0
BLCN.US,5,20230526,203500,21.021,21.021,21.021,21.021,100,0
BLCN.US,5,20230526,204500,20.68,20.68,20.68,20.68,100,0
BLCN.US,5,20230526,210000,20.972,20.972,20.972,20.972,250,0
BLCN.US,5,20230526,212500,20.967,20.967,20.967,20.967,100,0
BLCN.US,5,20230526,213500,20.735,20.735,20.735,20.735,174,0
BLCN.US,5,20230526,215000,20.785,20.785,20.785,20.785,100,0
BLCN.US,5,20230526,215500,20.69,20.69,20.69,20.69,133,0
BLCN.US,5,20230530,153000,21.09,21.138,20.81,21.138,1979,0
BLCN.US,5,20230530,162500,21.0182,21.3,21.0182,21.3,868,0
BLCN.US,5,20230530,170500,20.92,20.92,20.904,20.904,500,0
BLCN.US,5,20230530,171000,21.25,21.25,21.25,21.25,290,0
BLCN.US,5,20230530,173000,21.3,21.3,21.3,21.3,200,0
BLCN.US,5,20230530,173500,20.91,20.91,20.91,20.91,384,0
BLCN.US,5,20230530,174000,21.285,21.285,21.285,21.285,200,0
BLCN.US,5,20230530,192500,20.77,20.77,20.77,20.77,100,0
BLCN.US,5,20230530,194000,21.3,21.3,21.3,21.3,106,0
BLCN.US,5,20230530,195000,21.005,21.005,21.005,21.005,100,0
BLCN.US,5,20230530,205000,21,21,21,21,209,0
BLCN.US,5,20230530,210000,21.045,21.045,21.045,21.045,100,0
BLCN.US,5,20230530,211000,20.8901,21.045,20.8901,21.045,200,0
BLCN.US,5,20230530,214500,21.045,21.045,21.045,21.045,100,0
BLCN.US,5,20230530,215500,20.965,20.965,20.965,20.965,100,0
BLCN.US,5,20230531,153000,20.78,20.78,20.78,20.78,343,0
BLCN.US,5,20230531,155000,20.72,20.8871,20.72,20.8871,200,0
BLCN.US,5,20230531,160000,20.955,20.955,20.955,20.955,200,0
