<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BND.US,5,20230522,153000,72.71,72.74,72.71,72.74,109760,0
BND.US,5,20230522,153500,72.74,72.75,72.717,72.72,67687,0
BND.US,5,20230522,154000,72.7258,72.735,72.7226,72.7345,11027,0
BND.US,5,20230522,154500,72.7304,72.755,72.725,72.735,18003,0
BND.US,5,20230522,155000,72.736,72.736,72.71,72.715,128398,0
BND.US,5,20230522,155500,72.7199,72.73,72.71,72.725,82220,0
BND.US,5,20230522,160000,72.73,72.73,72.7006,72.7199,56976,0
BND.US,5,20230522,160500,72.7199,72.875,72.7001,72.8255,75826,0
BND.US,5,20230522,161000,72.81,72.82,72.73,72.73,34988,0
BND.US,5,20230522,161500,72.755,72.755,72.7,72.725,47100,0
BND.US,5,20230522,162000,72.73,72.745,72.72,72.73,19566,0
BND.US,5,20230522,162500,72.73,72.7779,72.7,72.71,135563,0
BND.US,5,20230522,163000,72.72,72.735,72.7141,72.7315,50679,0
BND.US,5,20230522,163500,72.735,72.735,72.71,72.71,32260,0
BND.US,5,20230522,164000,72.7108,72.72,72.7,72.705,31959,0
BND.US,5,20230522,164500,72.7,72.71,72.69,72.6992,30166,0
BND.US,5,20230522,165000,72.695,72.7055,72.68,72.69,22902,0
BND.US,5,20230522,165500,72.6937,72.7,72.65,72.65,33944,0
BND.US,5,20230522,170000,72.6499,72.68,72.6499,72.675,36411,0
BND.US,5,20230522,170500,72.6745,72.68,72.67,72.68,39221,0
BND.US,5,20230522,171000,72.6799,72.68,72.6445,72.6499,38652,0
BND.US,5,20230522,171500,72.644,72.65,72.64,72.65,29449,0
BND.US,5,20230522,172000,72.65,72.67,72.65,72.67,22447,0
BND.US,5,20230522,172500,72.675,72.675,72.66,72.665,26866,0
BND.US,5,20230522,173000,72.665,72.6755,72.65,72.655,30725,0
BND.US,5,20230522,173500,72.66,72.66,72.635,72.64,36770,0
BND.US,5,20230522,174000,72.645,72.645,72.625,72.635,45999,0
BND.US,5,20230522,174500,72.635,72.65,72.635,72.645,26015,0
BND.US,5,20230522,175000,72.645,72.65,72.635,72.64,66131,0
BND.US,5,20230522,175500,72.64,72.646,72.625,72.625,46047,0
BND.US,5,20230522,180000,72.6262,72.63,72.6139,72.625,41199,0
BND.US,5,20230522,180500,72.625,72.63,72.62,72.625,60255,0
BND.US,5,20230522,181000,72.63,72.6358,72.62,72.6245,37050,0
BND.US,5,20230522,181500,72.625,72.6458,72.62,72.645,27350,0
BND.US,5,20230522,182000,72.6493,72.66,72.645,72.66,33374,0
BND.US,5,20230522,182500,72.6592,72.67,72.6501,72.67,64453,0
BND.US,5,20230522,183000,72.6691,72.68,72.66,72.665,63723,0
BND.US,5,20230522,183500,72.665,72.665,72.65,72.656,42969,0
BND.US,5,20230522,184000,72.655,72.67,72.654,72.67,60944,0
BND.US,5,20230522,184500,72.665,72.6781,72.661,72.67,13651,0
BND.US,5,20230522,185000,72.68,72.69,72.67,72.6701,105335,0
BND.US,5,20230522,185500,72.675,72.68,72.67,72.678,22989,0
BND.US,5,20230522,190000,72.68,72.68,72.66,72.6744,37780,0
BND.US,5,20230522,190500,72.675,72.6756,72.665,72.67,40031,0
BND.US,5,20230522,191000,72.675,72.715,72.67,72.71,117846,0
BND.US,5,20230522,191500,72.715,72.73,72.681,72.681,21587,0
BND.US,5,20230522,192000,72.685,72.709,72.675,72.6859,21098,0
BND.US,5,20230522,192500,72.685,72.7099,72.685,72.7,19736,0
BND.US,5,20230522,193000,72.705,72.71,72.6914,72.705,14781,0
BND.US,5,20230522,193500,72.705,72.71,72.69,72.69,23144,0
BND.US,5,20230522,194000,72.695,72.71,72.69,72.71,51143,0
BND.US,5,20230522,194500,72.7,72.72,72.7,72.715,20509,0
BND.US,5,20230522,195000,72.715,72.73,72.7118,72.715,29625,0
BND.US,5,20230522,195500,72.7137,72.73,72.71,72.719,85860,0
BND.US,5,20230522,200000,72.715,72.7299,72.715,72.72,24831,0
