<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDW.US,5,20230522,153000,68.29,68.29,68.225,68.24,9461,0
BNDW.US,5,20230522,153500,68.24,68.24,68.2123,68.2123,570,0
BNDW.US,5,20230522,154000,68.22,68.22,68.22,68.22,100,0
BNDW.US,5,20230522,160500,68.235,68.33,68.235,68.33,200,0
BNDW.US,5,20230522,161500,68.23,68.23,68.23,68.23,100,0
BNDW.US,5,20230522,162500,68.26,68.26,68.25,68.25,200,0
BNDW.US,5,20230522,165500,68.23,68.23,68.21,68.21,375,0
BNDW.US,5,20230522,170000,68.215,68.215,68.215,68.215,144,0
BNDW.US,5,20230522,171000,68.21,68.21,68.21,68.21,146,0
BNDW.US,5,20230522,172000,68.2,68.21,68.2,68.21,467,0
BNDW.US,5,20230522,173500,68.21,68.21,68.21,68.21,300,0
BNDW.US,5,20230522,174000,68.18,68.18,68.18,68.18,100,0
BNDW.US,5,20230522,180000,68.182,68.182,68.182,68.182,838,0
BNDW.US,5,20230522,180500,68.17,68.19,68.17,68.19,290,0
BNDW.US,5,20230522,182000,68.22,68.22,68.22,68.22,200,0
BNDW.US,5,20230522,183000,68.22,68.22,68.22,68.22,100,0
BNDW.US,5,20230522,183500,68.2184,68.2184,68.2184,68.2184,168,0
BNDW.US,5,20230522,185500,68.2258,68.2258,68.2258,68.2258,474,0
BNDW.US,5,20230522,190000,68.2,68.2,68.2,68.2,100,0
BNDW.US,5,20230522,190500,68.2,68.2,68.2,68.2,1370,0
BNDW.US,5,20230522,192000,68.225,68.225,68.225,68.225,293,0
BNDW.US,5,20230522,194000,68.21,68.21,68.21,68.21,100,0
BNDW.US,5,20230522,195500,68.23,68.23,68.23,68.23,146,0
BNDW.US,5,20230522,200000,68.2498,68.25,68.24,68.24,683,0
BNDW.US,5,20230522,201000,68.23,68.23,68.23,68.23,100,0
BNDW.US,5,20230522,202000,68.23,68.23,68.23,68.23,458,0
BNDW.US,5,20230522,204000,68.22,68.22,68.22,68.22,100,0
BNDW.US,5,20230522,204500,68.2105,68.2105,68.2105,68.2105,150,0
BNDW.US,5,20230522,210000,68.2,68.2,68.2,68.2,100,0
BNDW.US,5,20230522,212500,68.205,68.205,68.205,68.205,2027,0
BNDW.US,5,20230522,213000,68.21,68.22,68.2049,68.2049,436,0
BNDW.US,5,20230522,213500,68.21,68.21,68.2099,68.2099,330,0
BNDW.US,5,20230522,214000,68.19,68.19,68.19,68.19,100,0
BNDW.US,5,20230522,215000,68.19,68.2055,68.19,68.2055,455,0
BNDW.US,5,20230522,215500,68.19,68.195,68.18,68.18,2202,0
BNDW.US,5,20230523,153000,68.15,68.15,68.12,68.12,6365,0
BNDW.US,5,20230523,154500,68.12,68.12,68.12,68.12,100,0
BNDW.US,5,20230523,161000,68.1072,68.14,68.1072,68.14,2114,0
BNDW.US,5,20230523,162000,68.149,68.149,68.14,68.14,328,0
BNDW.US,5,20230523,170000,68.13,68.13,68.13,68.13,100,0
BNDW.US,5,20230523,172000,68.13,68.13,68.13,68.13,170,0
BNDW.US,5,20230523,173000,68.149,68.149,68.13,68.13,638,0
BNDW.US,5,20230523,175000,68.13,68.13,68.13,68.13,100,0
BNDW.US,5,20230523,180000,68.13,68.13,68.12,68.12,300,0
BNDW.US,5,20230523,180500,68.1272,68.1272,68.1272,68.1272,122,0
BNDW.US,5,20230523,181500,68.13,68.13,68.13,68.13,100,0
BNDW.US,5,20230523,183000,68.16,68.16,68.16,68.16,1456,0
BNDW.US,5,20230523,184500,68.18,68.18,68.18,68.18,115,0
BNDW.US,5,20230523,185000,68.17,68.17,68.17,68.17,100,0
BNDW.US,5,20230523,191000,68.155,68.155,68.155,68.155,410,0
BNDW.US,5,20230523,191500,68.17,68.18,68.1627,68.1627,2379,0
BNDW.US,5,20230523,192000,68.16,68.16,68.16,68.16,100,0
BNDW.US,5,20230523,193500,68.197,68.197,68.197,68.197,136,0
BNDW.US,5,20230523,195000,68.18,68.18,68.18,68.18,100,0
