<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDX.US,5,20230522,153000,48.55,48.55,48.51,48.545,30783,0
BNDX.US,5,20230522,153500,48.545,48.56,48.545,48.545,8020,0
BNDX.US,5,20230522,154000,48.54,48.549,48.54,48.545,6828,0
BNDX.US,5,20230522,154500,48.545,48.58,48.545,48.58,11415,0
BNDX.US,5,20230522,155000,48.575,48.585,48.565,48.565,18640,0
BNDX.US,5,20230522,155500,48.565,48.57,48.5628,48.565,15978,0
BNDX.US,5,20230522,160000,48.5687,48.58,48.5604,48.5699,74043,0
BNDX.US,5,20230522,160500,48.57,48.66,48.5642,48.63,14309,0
BNDX.US,5,20230522,161000,48.61,48.62,48.6,48.605,6084,0
BNDX.US,5,20230522,161500,48.6087,48.6087,48.575,48.586,13903,0
BNDX.US,5,20230522,162000,48.59,48.595,48.5713,48.5717,12138,0
BNDX.US,5,20230522,162500,48.58,48.6,48.57,48.575,20489,0
BNDX.US,5,20230522,163000,48.58,48.59,48.5799,48.585,101282,0
BNDX.US,5,20230522,163500,48.5801,48.59,48.58,48.585,7828,0
BNDX.US,5,20230522,164000,48.585,48.6,48.583,48.5942,13406,0
BNDX.US,5,20230522,164500,48.6,48.61,48.595,48.595,9822,0
BNDX.US,5,20230522,165000,48.6,48.6,48.57,48.575,13832,0
BNDX.US,5,20230522,165500,48.575,48.58,48.57,48.57,6903,0
BNDX.US,5,20230522,170000,48.57,48.58,48.56,48.58,7244,0
BNDX.US,5,20230522,170500,48.57,48.58,48.57,48.5799,8886,0
BNDX.US,5,20230522,171000,48.575,48.58,48.57,48.575,25593,0
BNDX.US,5,20230522,171500,48.575,48.58,48.572,48.575,3480,0
BNDX.US,5,20230522,172000,48.575,48.58,48.57,48.57,10744,0
BNDX.US,5,20230522,172500,48.575,48.58,48.57,48.5799,12538,0
BNDX.US,5,20230522,173000,48.575,48.58,48.5701,48.575,4782,0
BNDX.US,5,20230522,173500,48.575,48.58,48.57,48.57,10118,0
BNDX.US,5,20230522,174000,48.575,48.575,48.56,48.57,21467,0
BNDX.US,5,20230522,174500,48.5658,48.57,48.5615,48.565,24823,0
BNDX.US,5,20230522,175000,48.565,48.57,48.5616,48.565,5579,0
BNDX.US,5,20230522,175500,48.5615,48.57,48.56,48.565,14774,0
BNDX.US,5,20230522,180000,48.565,48.57,48.56,48.57,36857,0
BNDX.US,5,20230522,180500,48.565,48.57,48.5609,48.57,51218,0
BNDX.US,5,20230522,181000,48.57,48.59,48.57,48.585,72629,0
BNDX.US,5,20230522,181500,48.585,48.59,48.58,48.585,14343,0
BNDX.US,5,20230522,182000,48.585,48.59,48.585,48.585,31866,0
BNDX.US,5,20230522,182500,48.585,48.59,48.58,48.585,35869,0
BNDX.US,5,20230522,183000,48.585,48.59,48.5818,48.585,22727,0
BNDX.US,5,20230522,183500,48.585,48.59,48.58,48.585,20634,0
