<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOTZ.US,5,20230522,153000,26.6,26.6,26.38,26.5201,48623,0
BOTZ.US,5,20230522,153500,26.54,26.57,26.52,26.57,16744,0
BOTZ.US,5,20230522,154000,26.5614,26.61,26.5614,26.58,22418,0
BOTZ.US,5,20230522,154500,26.58,26.639,26.55,26.63,50170,0
BOTZ.US,5,20230522,155000,26.6393,26.68,26.635,26.6791,15236,0
BOTZ.US,5,20230522,155500,26.675,26.7069,26.675,26.7,33831,0
BOTZ.US,5,20230522,160000,26.6928,26.7217,26.69,26.705,29131,0
BOTZ.US,5,20230522,160500,26.7,26.715,26.64,26.64,42680,0
BOTZ.US,5,20230522,161000,26.645,26.7388,26.645,26.7359,12461,0
BOTZ.US,5,20230522,161500,26.73,26.76,26.72,26.75,16280,0
BOTZ.US,5,20230522,162000,26.76,26.77,26.7301,26.77,26500,0
BOTZ.US,5,20230522,162500,26.76,26.77,26.75,26.755,17680,0
BOTZ.US,5,20230522,163000,26.755,26.775,26.755,26.765,12856,0
BOTZ.US,5,20230522,163500,26.76,26.775,26.76,26.775,14685,0
BOTZ.US,5,20230522,164000,26.77,26.78,26.75,26.76,30316,0
BOTZ.US,5,20230522,164500,26.755,26.7654,26.7417,26.76,25300,0
BOTZ.US,5,20230522,165000,26.75,26.7571,26.7213,26.745,28922,0
BOTZ.US,5,20230522,165500,26.7485,26.77,26.73,26.77,12442,0
BOTZ.US,5,20230522,170000,26.78,26.8,26.78,26.798,7410,0
BOTZ.US,5,20230522,170500,26.8,26.81,26.785,26.785,22035,0
BOTZ.US,5,20230522,171000,26.783,26.79,26.77,26.775,15731,0
BOTZ.US,5,20230522,171500,26.77,26.78,26.77,26.775,14005,0
BOTZ.US,5,20230522,172000,26.775,26.8097,26.77,26.8097,20609,0
BOTZ.US,5,20230522,172500,26.805,26.81,26.795,26.81,32451,0
BOTZ.US,5,20230522,173000,26.805,26.81,26.795,26.795,5721,0
BOTZ.US,5,20230522,173500,26.7901,26.805,26.785,26.785,9775,0
BOTZ.US,5,20230522,174000,26.785,26.7899,26.7717,26.78,8081,0
BOTZ.US,5,20230522,174500,26.78,26.79,26.7711,26.785,11229,0
BOTZ.US,5,20230522,175000,26.79,26.81,26.79,26.8037,7876,0
BOTZ.US,5,20230522,175500,26.805,26.84,26.8,26.825,33814,0
BOTZ.US,5,20230522,180000,26.825,26.84,26.8201,26.8317,11889,0
BOTZ.US,5,20230522,180500,26.8395,26.8395,26.825,26.835,5070,0
BOTZ.US,5,20230522,181000,26.84,26.85,26.8301,26.845,11321,0
BOTZ.US,5,20230522,181500,26.84,26.8499,26.825,26.84,5886,0
BOTZ.US,5,20230522,182000,26.85,26.85,26.805,26.805,9895,0
BOTZ.US,5,20230522,182500,26.809,26.835,26.8,26.82,11917,0
BOTZ.US,5,20230522,183000,26.815,26.8282,26.8001,26.8025,11287,0
BOTZ.US,5,20230522,183500,26.8099,26.8299,26.805,26.8199,6933,0
BOTZ.US,5,20230522,184000,26.815,26.82,26.815,26.819,3347,0
BOTZ.US,5,20230522,184500,26.82,26.835,26.8101,26.83,4720,0
BOTZ.US,5,20230522,185000,26.82,26.8299,26.82,26.825,2860,0
BOTZ.US,5,20230522,185500,26.83,26.84,26.8201,26.835,38291,0
BOTZ.US,5,20230522,190000,26.84,26.855,26.835,26.845,4792,0
BOTZ.US,5,20230522,190500,26.845,26.86,26.84,26.85,7856,0
BOTZ.US,5,20230522,191000,26.85,26.86,26.82,26.829,18326,0
BOTZ.US,5,20230522,191500,26.8299,26.8299,26.81,26.8291,6653,0
BOTZ.US,5,20230522,192000,26.835,26.8459,26.834,26.845,5966,0
BOTZ.US,5,20230522,192500,26.84,26.85,26.84,26.845,2220,0
BOTZ.US,5,20230522,193000,26.849,26.88,26.845,26.87,8039,0
BOTZ.US,5,20230522,193500,26.87,26.875,26.8613,26.8613,4375,0
BOTZ.US,5,20230522,194000,26.8659,26.89,26.8659,26.88,13828,0
BOTZ.US,5,20230522,194500,26.875,26.88,26.865,26.865,9239,0
BOTZ.US,5,20230522,195000,26.8601,26.88,26.8601,26.87,6481,0
BOTZ.US,5,20230522,195500,26.875,26.89,26.8617,26.865,12411,0
BOTZ.US,5,20230522,200000,26.87,26.88,26.865,26.8797,37572,0
BOTZ.US,5,20230522,200500,26.88,26.89,26.875,26.88,15967,0
BOTZ.US,5,20230522,201000,26.88,26.88,26.8615,26.865,9902,0
BOTZ.US,5,20230522,201500,26.865,26.89,26.8601,26.885,4215,0
