<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCN.US,5,20230522,153000,21.13,21.13,21.1297,21.1297,4879,0
BSCN.US,5,20230522,153500,21.12,21.12,21.12,21.12,859,0
BSCN.US,5,20230522,154000,21.13,21.13,21.13,21.13,1168,0
BSCN.US,5,20230522,155500,21.125,21.125,21.1209,21.1209,6871,0
BSCN.US,5,20230522,160000,21.125,21.13,21.12,21.12,791,0
BSCN.US,5,20230522,160500,21.1283,21.13,21.12,21.12,1938,0
BSCN.US,5,20230522,161000,21.1295,21.1295,21.12,21.12,4611,0
BSCN.US,5,20230522,161500,21.12,21.1281,21.12,21.1281,673,0
BSCN.US,5,20230522,162000,21.12,21.125,21.12,21.125,2890,0
BSCN.US,5,20230522,162500,21.1205,21.1205,21.1205,21.1205,978,0
BSCN.US,5,20230522,163000,21.12,21.1201,21.12,21.12,2355,0
BSCN.US,5,20230522,163500,21.124,21.124,21.12,21.12,4300,0
BSCN.US,5,20230522,164500,21.1287,21.1287,21.12,21.12,1293,0
BSCN.US,5,20230522,165000,21.12,21.12,21.12,21.12,1500,0
BSCN.US,5,20230522,165500,21.125,21.125,21.12,21.12,492,0
BSCN.US,5,20230522,170500,21.125,21.125,21.12,21.12,3555,0
BSCN.US,5,20230522,171000,21.125,21.13,21.12,21.12,3104,0
BSCN.US,5,20230522,171500,21.123,21.1283,21.12,21.1202,12983,0
BSCN.US,5,20230522,172000,21.12,21.125,21.12,21.125,9665,0
BSCN.US,5,20230522,172500,21.1253,21.13,21.12,21.13,1710,0
BSCN.US,5,20230522,173000,21.12,21.13,21.12,21.125,3578,0
BSCN.US,5,20230522,173500,21.125,21.125,21.12,21.12,800,0
BSCN.US,5,20230522,174000,21.125,21.13,21.12,21.12,1363,0
BSCN.US,5,20230522,174500,21.1249,21.1249,21.12,21.122,6534,0
BSCN.US,5,20230522,175000,21.12,21.12,21.12,21.12,300,0
BSCN.US,5,20230522,175500,21.12,21.12,21.12,21.12,5430,0
BSCN.US,5,20230522,180000,21.12,21.1232,21.12,21.12,1500,0
BSCN.US,5,20230522,180500,21.12,21.1232,21.12,21.12,2817,0
BSCN.US,5,20230522,181000,21.125,21.125,21.12,21.12,1831,0
BSCN.US,5,20230522,181500,21.12,21.13,21.12,21.12,4694,0
BSCN.US,5,20230522,182000,21.12,21.13,21.12,21.12,4943,0
BSCN.US,5,20230522,182500,21.12,21.12,21.11,21.12,8045,0
BSCN.US,5,20230522,183000,21.12,21.12,21.115,21.115,1150,0
BSCN.US,5,20230522,183500,21.115,21.12,21.1115,21.115,8649,0
BSCN.US,5,20230522,184000,21.115,21.1195,21.115,21.115,3428,0
BSCN.US,5,20230522,184500,21.115,21.12,21.1116,21.115,7991,0
BSCN.US,5,20230522,185000,21.115,21.115,21.115,21.115,613,0
BSCN.US,5,20230522,185500,21.115,21.12,21.115,21.115,16179,0
BSCN.US,5,20230522,190000,21.115,21.12,21.115,21.115,3781,0
BSCN.US,5,20230522,190500,21.1199,21.12,21.115,21.1199,2054,0
BSCN.US,5,20230522,191000,21.115,21.12,21.115,21.12,1532,0
BSCN.US,5,20230522,191500,21.115,21.12,21.115,21.115,3499,0
BSCN.US,5,20230522,192000,21.115,21.12,21.115,21.1199,4449,0
BSCN.US,5,20230522,192500,21.11,21.1154,21.11,21.115,1682,0
BSCN.US,5,20230522,193000,21.115,21.12,21.11,21.12,11233,0
BSCN.US,5,20230522,193500,21.12,21.12,21.115,21.115,2808,0
BSCN.US,5,20230522,194000,21.116,21.12,21.115,21.12,3801,0
BSCN.US,5,20230522,194500,21.1177,21.12,21.115,21.115,7599,0
