<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCO.US,5,20230522,153000,20.59,20.59,20.58,20.58,13254,0
BSCO.US,5,20230522,153500,20.57,20.572,20.57,20.572,975,0
BSCO.US,5,20230522,154000,20.575,20.58,20.575,20.575,1191,0
BSCO.US,5,20230522,155000,20.5708,20.5708,20.5701,20.5701,3411,0
BSCO.US,5,20230522,155500,20.57,20.57,20.57,20.57,168,0
BSCO.US,5,20230522,160000,20.575,20.575,20.57,20.57,1357,0
BSCO.US,5,20230522,160500,20.57,20.58,20.57,20.58,5378,0
BSCO.US,5,20230522,161500,20.5704,20.5765,20.5704,20.5765,377,0
BSCO.US,5,20230522,162000,20.58,20.58,20.57,20.575,3406,0
BSCO.US,5,20230522,162500,20.575,20.575,20.57,20.575,4897,0
BSCO.US,5,20230522,163000,20.575,20.5789,20.575,20.5789,5259,0
BSCO.US,5,20230522,164500,20.58,20.58,20.57,20.57,7900,0
BSCO.US,5,20230522,165000,20.57,20.575,20.57,20.5703,12182,0
BSCO.US,5,20230522,165500,20.575,20.575,20.5701,20.575,502,0
BSCO.US,5,20230522,170000,20.5708,20.5708,20.5708,20.5708,4929,0
BSCO.US,5,20230522,170500,20.5741,20.58,20.5741,20.575,4126,0
BSCO.US,5,20230522,171000,20.575,20.58,20.5708,20.5785,2358,0
BSCO.US,5,20230522,171500,20.5783,20.5799,20.57,20.57,1539,0
BSCO.US,5,20230522,172000,20.57,20.575,20.57,20.575,1438,0
BSCO.US,5,20230522,172500,20.5763,20.5763,20.57,20.5701,1132,0
BSCO.US,5,20230522,173000,20.5755,20.5755,20.57,20.57,4160,0
BSCO.US,5,20230522,173500,20.58,20.58,20.57,20.575,2458,0
BSCO.US,5,20230522,174000,20.575,20.575,20.57,20.575,2840,0
BSCO.US,5,20230522,174500,20.5745,20.58,20.57,20.575,2580,0
BSCO.US,5,20230522,175000,20.57,20.575,20.57,20.575,1855,0
BSCO.US,5,20230522,175500,20.57,20.5707,20.57,20.5707,389,0
BSCO.US,5,20230522,180000,20.575,20.575,20.57,20.575,2076,0
BSCO.US,5,20230522,180500,20.5701,20.58,20.5701,20.58,1691,0
BSCO.US,5,20230522,181000,20.57,20.575,20.57,20.575,1585,0
BSCO.US,5,20230522,181500,20.5707,20.58,20.57,20.575,4702,0
BSCO.US,5,20230522,182000,20.57,20.57,20.57,20.57,600,0
BSCO.US,5,20230522,182500,20.5717,20.58,20.57,20.57,820,0
BSCO.US,5,20230522,183000,20.57,20.5709,20.57,20.5706,7669,0
BSCO.US,5,20230522,183500,20.574,20.58,20.57,20.57,8150,0
BSCO.US,5,20230522,184000,20.57,20.57,20.56,20.57,3548,0
BSCO.US,5,20230522,184500,20.565,20.57,20.561,20.565,9737,0
BSCO.US,5,20230522,185000,20.56,20.57,20.56,20.57,633,0
BSCO.US,5,20230522,185500,20.565,20.57,20.565,20.565,809,0
BSCO.US,5,20230522,190000,20.5679,20.57,20.56,20.56,12178,0
BSCO.US,5,20230522,190500,20.5692,20.57,20.56,20.56,5481,0
BSCO.US,5,20230522,191000,20.565,20.57,20.56,20.56,4600,0
BSCO.US,5,20230522,191500,20.565,20.565,20.565,20.565,100,0
BSCO.US,5,20230522,192000,20.57,20.57,20.56,20.57,1164,0
