<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCP.US,5,20230522,153000,20.2,20.2,20.1975,20.1975,7113,0
BSCP.US,5,20230522,153500,20.19,20.2,20.19,20.2,1367,0
BSCP.US,5,20230522,154000,20.2,20.21,20.2,20.205,3432,0
BSCP.US,5,20230522,154500,20.2,20.2,20.2,20.2,100,0
BSCP.US,5,20230522,155000,20.2099,20.2099,20.2,20.2,737,0
BSCP.US,5,20230522,155500,20.2084,20.2084,20.2,20.2,2605,0
BSCP.US,5,20230522,160000,20.2079,20.2079,20.2,20.2,1186,0
BSCP.US,5,20230522,160500,20.2084,20.21,20.205,20.21,3053,0
BSCP.US,5,20230522,161000,20.205,20.205,20.205,20.205,100,0
BSCP.US,5,20230522,161500,20.205,20.21,20.2,20.21,986,0
BSCP.US,5,20230522,162000,20.2,20.205,20.2,20.205,716,0
BSCP.US,5,20230522,162500,20.2,20.2075,20.2,20.2075,300,0
BSCP.US,5,20230522,163000,20.205,20.21,20.2,20.2,1463,0
BSCP.US,5,20230522,163500,20.2,20.21,20.2,20.205,9302,0
BSCP.US,5,20230522,164000,20.2,20.205,20.2,20.2,400,0
BSCP.US,5,20230522,164500,20.2,20.2099,20.2,20.2099,893,0
BSCP.US,5,20230522,165500,20.21,20.21,20.2,20.205,2194,0
BSCP.US,5,20230522,170000,20.2,20.21,20.2,20.2,699,0
BSCP.US,5,20230522,170500,20.205,20.206,20.205,20.205,1737,0
BSCP.US,5,20230522,171000,20.205,20.21,20.2,20.2,3286,0
BSCP.US,5,20230522,171500,20.21,20.21,20.1914,20.195,5149,0
BSCP.US,5,20230522,172000,20.2,20.2,20.195,20.195,700,0
BSCP.US,5,20230522,172500,20.195,20.1963,20.19,20.195,3287,0
BSCP.US,5,20230522,173000,20.19,20.1901,20.19,20.19,1514,0
BSCP.US,5,20230522,173500,20.19,20.19,20.19,20.19,100,0
BSCP.US,5,20230522,174000,20.195,20.2,20.19,20.19,1729,0
BSCP.US,5,20230522,174500,20.1903,20.1983,20.19,20.1923,1931,0
BSCP.US,5,20230522,175000,20.19,20.1945,20.19,20.19,810,0
BSCP.US,5,20230522,175500,20.19,20.19,20.19,20.19,100,0
BSCP.US,5,20230522,180000,20.195,20.195,20.19,20.19,650,0
BSCP.US,5,20230522,180500,20.1933,20.1933,20.1929,20.1929,1192,0
BSCP.US,5,20230522,181000,20.195,20.1959,20.19,20.19,1154,0
BSCP.US,5,20230522,181500,20.19,20.2,20.19,20.2,1749,0
BSCP.US,5,20230522,182000,20.2,20.2,20.195,20.2,2414,0
BSCP.US,5,20230522,182500,20.195,20.195,20.195,20.195,389,0
BSCP.US,5,20230522,183000,20.2,20.2,20.195,20.195,2201,0
BSCP.US,5,20230522,183500,20.195,20.2,20.1933,20.1957,1088,0
BSCP.US,5,20230522,184000,20.195,20.2,20.195,20.195,1700,0
