<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCQ.US,5,20230522,153000,19.02,19.02,19.02,19.02,3332,0
BSCQ.US,5,20230522,153500,19.02,19.025,19.02,19.02,700,0
BSCQ.US,5,20230522,154000,19.0263,19.04,19.0263,19.038,1186,0
BSCQ.US,5,20230522,154500,19.035,19.035,19.035,19.035,100,0
BSCQ.US,5,20230522,155500,19.03,19.03,19.03,19.03,885,0
BSCQ.US,5,20230522,160000,19.035,19.035,19.03,19.035,932,0
BSCQ.US,5,20230522,160500,19.0383,19.055,19.03,19.055,2309,0
BSCQ.US,5,20230522,161000,19.05,19.05,19.05,19.05,700,0
BSCQ.US,5,20230522,161500,19.03,19.0377,19.03,19.0377,997,0
BSCQ.US,5,20230522,162000,19.04,19.04,19.035,19.035,743,0
BSCQ.US,5,20230522,162500,19.04,19.04,19.035,19.0399,1550,0
BSCQ.US,5,20230522,163000,19.03,19.03,19.03,19.03,494,0
BSCQ.US,5,20230522,163500,19.035,19.035,19.035,19.035,800,0
BSCQ.US,5,20230522,164000,19.035,19.035,19.035,19.035,100,0
BSCQ.US,5,20230522,164500,19.04,19.04,19.035,19.035,1450,0
BSCQ.US,5,20230522,165000,19.035,19.04,19.03,19.04,16007,0
BSCQ.US,5,20230522,165500,19.035,19.04,19.03,19.03,2417,0
BSCQ.US,5,20230522,170000,19.035,19.035,19.03,19.035,1288,0
BSCQ.US,5,20230522,170500,19.035,19.04,19.0308,19.035,12749,0
BSCQ.US,5,20230522,171000,19.035,19.0397,19.0305,19.035,4047,0
BSCQ.US,5,20230522,171500,19.0399,19.0399,19.03,19.035,3826,0
BSCQ.US,5,20230522,172000,19.035,19.035,19.035,19.035,800,0
BSCQ.US,5,20230522,172500,19.0333,19.035,19.03,19.035,710,0
BSCQ.US,5,20230522,173000,19.0325,19.035,19.03,19.035,1926,0
BSCQ.US,5,20230522,173500,19.035,19.035,19.0325,19.035,1000,0
BSCQ.US,5,20230522,174000,19.0325,19.035,19.03,19.03,1364,0
BSCQ.US,5,20230522,174500,19.03,19.03,19.03,19.03,400,0
BSCQ.US,5,20230522,175000,19.03,19.035,19.03,19.03,1000,0
BSCQ.US,5,20230522,175500,19.03,19.0374,19.03,19.035,1500,0
BSCQ.US,5,20230522,180000,19.03,19.0369,19.03,19.03,1600,0
BSCQ.US,5,20230522,180500,19.03,19.035,19.03,19.03,1684,0
BSCQ.US,5,20230522,181000,19.035,19.035,19.03,19.03,2105,0
BSCQ.US,5,20230522,181500,19.03,19.0368,19.03,19.0368,1710,0
BSCQ.US,5,20230522,182000,19.0325,19.035,19.03,19.03,1265,0
BSCQ.US,5,20230522,182500,19.035,19.035,19.035,19.035,900,0
BSCQ.US,5,20230522,183000,19.035,19.035,19.035,19.035,1000,0
BSCQ.US,5,20230522,183500,19.035,19.035,19.03,19.03,1599,0
BSCQ.US,5,20230522,184000,19.0333,19.035,19.0333,19.035,507,0
BSCQ.US,5,20230522,184500,19.035,19.035,19.03,19.035,6201,0
BSCQ.US,5,20230522,185000,19.035,19.035,19.035,19.035,1376,0
BSCQ.US,5,20230522,185500,19.035,19.04,19.035,19.035,13107,0
BSCQ.US,5,20230522,190000,19.035,19.0396,19.03,19.035,10706,0
BSCQ.US,5,20230522,190500,19.035,19.0399,19.03,19.035,1600,0
BSCQ.US,5,20230522,191000,19.035,19.04,19.03,19.035,6296,0
BSCQ.US,5,20230522,191500,19.04,19.04,19.03,19.035,5008,0
BSCQ.US,5,20230522,192000,19.035,19.04,19.035,19.035,5318,0
BSCQ.US,5,20230522,192500,19.035,19.04,19.03,19.04,1051,0
BSCQ.US,5,20230522,193000,19.04,19.04,19.03,19.0374,3306,0
BSCQ.US,5,20230522,193500,19.04,19.04,19.035,19.04,4590,0
