<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCR.US,5,20230522,153000,19.13,19.13,19.13,19.13,2608,0
BSCR.US,5,20230522,153500,19.13,19.1327,19.13,19.1327,500,0
BSCR.US,5,20230522,154000,19.1306,19.138,19.1306,19.138,1028,0
BSCR.US,5,20230522,160500,19.14,19.155,19.14,19.155,700,0
BSCR.US,5,20230522,161000,19.15,19.15,19.15,19.15,350,0
BSCR.US,5,20230522,161500,19.147,19.147,19.147,19.147,196,0
BSCR.US,5,20230522,162000,19.14,19.145,19.14,19.145,576,0
BSCR.US,5,20230522,162500,19.145,19.145,19.14,19.14,700,0
BSCR.US,5,20230522,163000,19.13,19.14,19.13,19.1357,2128,0
BSCR.US,5,20230522,164000,19.1338,19.135,19.13,19.13,570,0
BSCR.US,5,20230522,165500,19.14,19.14,19.135,19.135,1665,0
BSCR.US,5,20230522,170500,19.1341,19.136,19.1308,19.135,11362,0
BSCR.US,5,20230522,171000,19.135,19.135,19.1336,19.1336,608,0
BSCR.US,5,20230522,171500,19.1303,19.1303,19.1303,19.1303,224,0
BSCR.US,5,20230522,172000,19.135,19.135,19.135,19.135,100,0
BSCR.US,5,20230522,172500,19.1307,19.1307,19.1307,19.1307,109,0
BSCR.US,5,20230522,173000,19.14,19.14,19.1308,19.1308,770,0
BSCR.US,5,20230522,174000,19.14,19.14,19.14,19.14,653,0
BSCR.US,5,20230522,174500,19.14,19.14,19.14,19.14,107,0
BSCR.US,5,20230522,175000,19.135,19.135,19.135,19.135,727,0
BSCR.US,5,20230522,175500,19.135,19.1358,19.135,19.1358,736,0
BSCR.US,5,20230522,180500,19.135,19.135,19.135,19.135,100,0
BSCR.US,5,20230522,181000,19.125,19.125,19.125,19.125,1915,0
BSCR.US,5,20230522,181500,19.125,19.125,19.125,19.125,777,0
BSCR.US,5,20230522,183000,19.13,19.13,19.1295,19.13,500,0
BSCR.US,5,20230522,183500,19.135,19.135,19.1304,19.1304,528,0
BSCR.US,5,20230522,184000,19.135,19.135,19.135,19.135,269,0
BSCR.US,5,20230522,184500,19.135,19.135,19.135,19.135,200,0
BSCR.US,5,20230522,185000,19.139,19.139,19.135,19.135,800,0
BSCR.US,5,20230522,185500,19.135,19.14,19.135,19.135,11879,0
BSCR.US,5,20230522,190000,19.135,19.135,19.1305,19.135,9153,0
BSCR.US,5,20230522,190500,19.139,19.139,19.1305,19.135,900,0
BSCR.US,5,20230522,191000,19.135,19.14,19.13,19.14,490,0
BSCR.US,5,20230522,191500,19.145,19.145,19.142,19.142,235,0
BSCR.US,5,20230522,192000,19.145,19.145,19.145,19.145,3062,0
BSCR.US,5,20230522,192500,19.14,19.145,19.14,19.145,1150,0
BSCR.US,5,20230522,193000,19.145,19.145,19.145,19.145,100,0
BSCR.US,5,20230522,193500,19.145,19.145,19.145,19.145,709,0
BSCR.US,5,20230522,194000,19.145,19.15,19.145,19.15,4651,0
BSCR.US,5,20230522,194500,19.14,19.1499,19.14,19.1499,8508,0
BSCR.US,5,20230522,195000,19.145,19.145,19.145,19.145,2302,0
BSCR.US,5,20230522,195500,19.148,19.15,19.145,19.145,700,0
BSCR.US,5,20230522,200000,19.145,19.145,19.1423,19.1423,220,0
BSCR.US,5,20230522,200500,19.145,19.145,19.145,19.145,2914,0
BSCR.US,5,20230522,201000,19.145,19.15,19.1434,19.145,1078,0
BSCR.US,5,20230522,202000,19.145,19.145,19.145,19.145,100,0
BSCR.US,5,20230522,202500,19.145,19.1462,19.1401,19.1462,780,0
BSCR.US,5,20230522,203000,19.1445,19.146,19.14,19.14,1371,0
BSCR.US,5,20230522,203500,19.145,19.145,19.145,19.145,363,0
BSCR.US,5,20230522,204000,19.1407,19.1493,19.1401,19.1493,1953,0
BSCR.US,5,20230522,204500,19.1401,19.1401,19.14,19.14,389,0
BSCR.US,5,20230522,205000,19.146,19.146,19.146,19.146,365,0
BSCR.US,5,20230522,205500,19.15,19.15,19.145,19.145,822,0
BSCR.US,5,20230522,210000,19.145,19.145,19.145,19.145,1354,0
BSCR.US,5,20230522,210500,19.145,19.145,19.145,19.145,100,0
BSCR.US,5,20230522,211000,19.145,19.149,19.145,19.149,500,0
BSCR.US,5,20230522,211500,19.145,19.145,19.1412,19.1427,7261,0
BSCR.US,5,20230522,212000,19.145,19.145,19.145,19.145,200,0
BSCR.US,5,20230522,212500,19.1417,19.145,19.14,19.14,2646,0
BSCR.US,5,20230522,213000,19.145,19.145,19.141,19.145,3820,0
BSCR.US,5,20230522,213500,19.145,19.145,19.14,19.141,1700,0
BSCR.US,5,20230522,214000,19.145,19.145,19.14,19.14,5981,0
BSCR.US,5,20230522,214500,19.1459,19.1459,19.13,19.135,8571,0
BSCR.US,5,20230522,215000,19.135,19.1355,19.13,19.135,6188,0
BSCR.US,5,20230522,215500,19.13,19.13,19.12,19.12,4600,0
BSCR.US,5,20230523,153000,19.12,19.12,19.1101,19.1101,5188,0
BSCR.US,5,20230523,154000,19.12,19.12,19.12,19.12,151,0
BSCR.US,5,20230523,154500,19.12,19.12,19.1099,19.1099,1055,0
BSCR.US,5,20230523,155500,19.105,19.11,19.105,19.105,9732,0
BSCR.US,5,20230523,160500,19.1154,19.1154,19.115,19.115,13244,0
BSCR.US,5,20230523,161000,19.115,19.115,19.115,19.115,697,0
BSCR.US,5,20230523,161500,19.12,19.125,19.1199,19.1242,5514,0
BSCR.US,5,20230523,162000,19.13,19.13,19.125,19.1263,31920,0
BSCR.US,5,20230523,162500,19.129,19.13,19.1201,19.125,3765,0
