<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCS.US,5,20230522,153000,19.83,19.83,19.83,19.83,2625,0
BSCS.US,5,20230522,153500,19.83,19.83,19.83,19.83,4820,0
BSCS.US,5,20230522,154000,19.8304,19.84,19.83,19.835,20887,0
BSCS.US,5,20230522,160000,19.835,19.835,19.835,19.835,1300,0
BSCS.US,5,20230522,160500,19.84,19.87,19.84,19.85,3764,0
BSCS.US,5,20230522,161500,19.8317,19.835,19.8317,19.835,200,0
BSCS.US,5,20230522,162500,19.835,19.835,19.83,19.835,300,0
BSCS.US,5,20230522,163000,19.8341,19.8341,19.8341,19.8341,560,0
BSCS.US,5,20230522,165500,19.835,19.835,19.83,19.83,1458,0
BSCS.US,5,20230522,170000,19.825,19.825,19.825,19.825,700,0
BSCS.US,5,20230522,170500,19.825,19.83,19.8208,19.83,9772,0
BSCS.US,5,20230522,171000,19.825,19.825,19.825,19.825,100,0
BSCS.US,5,20230522,171500,19.825,19.825,19.825,19.825,100,0
BSCS.US,5,20230522,172000,19.82,19.82,19.82,19.82,400,0
BSCS.US,5,20230522,172500,19.825,19.825,19.825,19.825,105,0
BSCS.US,5,20230522,173000,19.8201,19.8201,19.8201,19.8201,885,0
BSCS.US,5,20230522,175000,19.82,19.825,19.82,19.82,800,0
BSCS.US,5,20230522,181000,19.825,19.825,19.82,19.82,480,0
BSCS.US,5,20230522,181500,19.815,19.82,19.815,19.8197,2840,0
BSCS.US,5,20230522,182500,19.8101,19.8101,19.8101,19.8101,227,0
BSCS.US,5,20230522,183000,19.81,19.81,19.81,19.81,200,0
BSCS.US,5,20230522,183500,19.815,19.815,19.8101,19.8101,1828,0
BSCS.US,5,20230522,184000,19.82,19.82,19.82,19.82,100,0
BSCS.US,5,20230522,185000,19.82,19.82,19.8199,19.82,1602,0
BSCS.US,5,20230522,185500,19.83,19.83,19.83,19.83,441,0
BSCS.US,5,20230522,190000,19.83,19.83,19.82,19.825,10147,0
BSCS.US,5,20230522,190500,19.835,19.835,19.835,19.835,500,0
BSCS.US,5,20230522,191000,19.83,19.83,19.83,19.83,400,0
BSCS.US,5,20230522,191500,19.83,19.83,19.83,19.83,100,0
BSCS.US,5,20230522,193500,19.84,19.84,19.84,19.84,301,0
BSCS.US,5,20230522,194000,19.8385,19.845,19.8385,19.845,3125,0
BSCS.US,5,20230522,195000,19.845,19.845,19.845,19.845,300,0
BSCS.US,5,20230522,195500,19.8493,19.8493,19.8493,19.8493,565,0
