<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCT.US,5,20230522,153000,18.04,18.04,18.01,18.01,1697,0
BSCT.US,5,20230522,153500,18.0127,18.0127,18.012,18.012,379,0
BSCT.US,5,20230522,154000,18.018,18.018,18.018,18.018,514,0
BSCT.US,5,20230522,160000,18.0129,18.02,18.0129,18.02,1192,0
BSCT.US,5,20230522,161000,18.04,18.04,18.04,18.04,300,0
BSCT.US,5,20230522,161500,18.02,18.02,18,18.02,3100,0
BSCT.US,5,20230522,170500,18.0113,18.0193,18.0108,18.0193,10615,0
BSCT.US,5,20230522,172500,18.015,18.015,18.0106,18.0106,550,0
BSCT.US,5,20230522,173000,18.0107,18.0107,18.0107,18.0107,941,0
BSCT.US,5,20230522,174000,17.99,17.99,17.99,17.99,130,0
BSCT.US,5,20230522,180500,18,18,18,18,2750,0
BSCT.US,5,20230522,181000,18.0005,18.0005,18.0005,18.0005,420,0
BSCT.US,5,20230522,183000,18.0017,18.0017,18.0017,18.0017,200,0
BSCT.US,5,20230522,183500,18.0037,18.0037,18.0037,18.0037,1658,0
BSCT.US,5,20230522,190000,18,18.0027,18,18.0018,400,0
BSCT.US,5,20230522,191000,18.01,18.01,18.01,18.01,100,0
BSCT.US,5,20230522,191500,18.02,18.02,18.02,18.02,200,0
BSCT.US,5,20230522,194000,18.025,18.025,18.02,18.025,2650,0
BSCT.US,5,20230522,200500,18.025,18.025,18.025,18.025,500,0
BSCT.US,5,20230522,201000,18.0201,18.0201,18.0201,18.0201,191,0
BSCT.US,5,20230522,202500,18.03,18.03,18.0217,18.025,2406,0
BSCT.US,5,20230522,203000,18.02,18.02,18.02,18.02,121,0
BSCT.US,5,20230522,203500,18.03,18.03,18.03,18.03,281,0
BSCT.US,5,20230522,204000,18.03,18.03,18.03,18.03,1370,0
BSCT.US,5,20230522,205000,18.025,18.025,18.025,18.025,200,0
BSCT.US,5,20230522,205500,18.03,18.03,18.03,18.03,927,0
BSCT.US,5,20230522,210000,18.0287,18.0287,18.0287,18.0287,553,0
BSCT.US,5,20230522,211000,18.0225,18.0225,18.0225,18.0225,500,0
BSCT.US,5,20230522,211500,18.0201,18.0201,18.0201,18.0201,120,0
BSCT.US,5,20230522,212000,18.025,18.025,18.025,18.025,700,0
BSCT.US,5,20230522,214000,18.025,18.025,18.025,18.025,500,0
BSCT.US,5,20230522,214500,18.022,18.0227,18.02,18.0227,653,0
BSCT.US,5,20230522,215500,18.02,18.02,18.01,18.01,600,0
BSCT.US,5,20230523,154500,17.995,17.995,17.995,17.995,525,0
BSCT.US,5,20230523,155000,18,18,17.99,17.99,800,0
BSCT.US,5,20230523,160500,17.999,18,17.9916,17.9916,3233,0
BSCT.US,5,20230523,161000,17.99,17.99,17.98,17.98,1407,0
BSCT.US,5,20230523,161500,17.995,18,17.995,18,1200,0
BSCT.US,5,20230523,162000,18.005,18.01,18.005,18.01,3635,0
BSCT.US,5,20230523,162500,18.009,18.01,18.009,18.01,3153,0
BSCT.US,5,20230523,163500,18,18,17.99,17.99,26176,0
BSCT.US,5,20230523,164000,17.995,17.995,17.995,17.995,100,0
BSCT.US,5,20230523,165000,17.99,18,17.99,18,200,0
BSCT.US,5,20230523,165500,18.0056,18.0056,18.0056,18.0056,157,0
BSCT.US,5,20230523,170000,18.01,18.01,18.0095,18.0096,4221,0
BSCT.US,5,20230523,170500,18,18.0071,17.99,17.99,2950,0
BSCT.US,5,20230523,172000,18.015,18.015,18.01,18.01,215,0
BSCT.US,5,20230523,172500,18.01,18.01,18.01,18.01,100,0
BSCT.US,5,20230523,173500,18.01,18.02,18.01,18.02,320,0
