<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCU.US,5,20230522,153000,16.16,16.16,16.16,16.16,300,0
BSCU.US,5,20230522,160000,16.175,16.175,16.172,16.172,4800,0
BSCU.US,5,20230522,161000,16.19,16.2,16.19,16.19,2775,0
BSCU.US,5,20230522,161500,16.169,16.1899,16.169,16.1899,2082,0
BSCU.US,5,20230522,162000,16.18,16.19,16.18,16.18,4100,0
BSCU.US,5,20230522,162500,16.17,16.17,16.165,16.17,8250,0
BSCU.US,5,20230522,163000,16.1695,16.1695,16.1695,16.1695,1910,0
BSCU.US,5,20230522,163500,16.17,16.17,16.165,16.17,6300,0
BSCU.US,5,20230522,164000,16.17,16.17,16.17,16.17,6420,0
BSCU.US,5,20230522,164500,16.165,16.169,16.165,16.169,4900,0
BSCU.US,5,20230522,165000,16.17,16.17,16.165,16.17,6700,0
BSCU.US,5,20230522,165500,16.17,16.17,16.17,16.17,100,0
BSCU.US,5,20230522,170000,16.1698,16.1698,16.16,16.165,8015,0
BSCU.US,5,20230522,170500,16.165,16.165,16.163,16.165,7900,0
BSCU.US,5,20230522,171000,16.165,16.165,16.165,16.165,4400,0
BSCU.US,5,20230522,171500,16.1691,16.1691,16.1691,16.1691,5400,0
BSCU.US,5,20230522,172000,16.165,16.165,16.165,16.165,3100,0
BSCU.US,5,20230522,172500,16.1621,16.169,16.1621,16.165,5428,0
BSCU.US,5,20230522,173000,16.165,16.165,16.165,16.165,1134,0
BSCU.US,5,20230522,173500,16.165,16.165,16.165,16.165,6200,0
BSCU.US,5,20230522,174000,16.165,16.165,16.165,16.165,810,0
BSCU.US,5,20230522,180000,16.165,16.165,16.165,16.165,447,0
BSCU.US,5,20230522,181500,16.1637,16.165,16.1637,16.165,1031,0
BSCU.US,5,20230522,182000,16.165,16.18,16.165,16.165,14375,0
BSCU.US,5,20230522,182500,16.1601,16.1601,16.1601,16.1601,164,0
BSCU.US,5,20230522,185000,16.165,16.165,16.165,16.165,200,0
BSCU.US,5,20230522,190000,16.165,16.165,16.165,16.165,600,0
BSCU.US,5,20230522,190500,16.165,16.165,16.165,16.165,683,0
BSCU.US,5,20230522,192500,16.1689,16.1689,16.1689,16.1689,510,0
BSCU.US,5,20230522,193500,16.17,16.17,16.17,16.17,500,0
BSCU.US,5,20230522,194000,16.175,16.175,16.175,16.175,925,0
BSCU.US,5,20230522,194500,16.175,16.175,16.175,16.175,100,0
BSCU.US,5,20230522,201000,16.17,16.17,16.17,16.17,212,0
BSCU.US,5,20230522,202500,16.175,16.175,16.175,16.175,2430,0
BSCU.US,5,20230522,203000,16.17,16.17,16.17,16.17,100,0
BSCU.US,5,20230522,203500,16.175,16.1775,16.175,16.1775,300,0
BSCU.US,5,20230522,204000,16.1701,16.1701,16.1701,16.1701,1489,0
BSCU.US,5,20230522,210000,16.175,16.175,16.175,16.175,900,0
BSCU.US,5,20230522,212000,16.17,16.17,16.17,16.17,600,0
BSCU.US,5,20230522,213500,16.16,16.16,16.16,16.16,1200,0
BSCU.US,5,20230522,214000,16.16,16.1696,16.156,16.1696,12210,0
BSCU.US,5,20230522,214500,16.16,16.169,16.16,16.169,3267,0
BSCU.US,5,20230523,153000,16.15,16.15,16.15,16.15,10100,0
BSCU.US,5,20230523,153500,16.145,16.145,16.145,16.145,100,0
BSCU.US,5,20230523,155000,16.1413,16.1413,16.1413,16.1413,105,0
BSCU.US,5,20230523,160000,16.145,16.145,16.145,16.145,4475,0
BSCU.US,5,20230523,160500,16.15,16.16,16.14,16.1425,3903,0
BSCU.US,5,20230523,161500,16.14,16.15,16.14,16.1401,1783,0
BSCU.US,5,20230523,162000,16.154,16.16,16.14,16.14,2040,0
BSCU.US,5,20230523,162500,16.14,16.16,16.14,16.16,1831,0
BSCU.US,5,20230523,163000,16.15,16.15,16.14,16.14,400,0
BSCU.US,5,20230523,163500,16.14,16.14,16.14,16.14,100,0
BSCU.US,5,20230523,164000,16.14,16.15,16.14,16.14,4500,0
BSCU.US,5,20230523,164500,16.1496,16.15,16.14,16.14,1500,0
BSCU.US,5,20230523,165000,16.14,16.14,16.14,16.14,100,0
BSCU.US,5,20230523,165500,16.1424,16.1424,16.1424,16.1424,650,0
BSCU.US,5,20230523,170500,16.1425,16.1425,16.14,16.14,423,0
BSCU.US,5,20230523,171500,16.145,16.145,16.145,16.145,100,0
BSCU.US,5,20230523,172000,16.15,16.15,16.15,16.15,100,0
BSCU.US,5,20230523,173000,16.15,16.155,16.15,16.155,1504,0
BSCU.US,5,20230523,173500,16.15,16.15,16.14,16.14,342,0
BSCU.US,5,20230523,174000,16.145,16.145,16.145,16.145,747,0
BSCU.US,5,20230523,175500,16.14,16.14,16.14,16.14,100,0
BSCU.US,5,20230523,180000,16.14,16.14,16.14,16.14,100,0
BSCU.US,5,20230523,180500,16.15,16.15,16.15,16.15,200,0
BSCU.US,5,20230523,181000,16.15,16.1599,16.14,16.15,2054,0
BSCU.US,5,20230523,182000,16.15,16.15,16.15,16.15,2200,0
BSCU.US,5,20230523,182500,16.15,16.15,16.15,16.15,1200,0
BSCU.US,5,20230523,183000,16.15,16.159,16.15,16.159,477,0
BSCU.US,5,20230523,183500,16.15,16.15,16.15,16.15,100,0
BSCU.US,5,20230523,184000,16.16,16.16,16.1593,16.1593,1213,0
BSCU.US,5,20230523,190000,16.16,16.16,16.16,16.16,100,0
BSCU.US,5,20230523,191000,16.16,16.16,16.16,16.16,700,0
BSCU.US,5,20230523,191500,16.15,16.16,16.15,16.16,4831,0
BSCU.US,5,20230523,192000,16.16,16.16,16.16,16.16,953,0
BSCU.US,5,20230523,192500,16.17,16.17,16.15,16.16,438,0
BSCU.US,5,20230523,194500,16.16,16.16,16.16,16.16,100,0
BSCU.US,5,20230523,200500,16.16,16.16,16.15,16.15,203,0
BSCU.US,5,20230523,201000,16.15,16.15,16.15,16.15,100,0
BSCU.US,5,20230523,201500,16.16,16.16,16.16,16.16,100,0
BSCU.US,5,20230523,202500,16.1627,16.18,16.1627,16.18,989,0
BSCU.US,5,20230523,203000,16.17,16.18,16.16,16.18,745,0
BSCU.US,5,20230523,203500,16.175,16.19,16.175,16.1899,700,0
BSCU.US,5,20230523,204000,16.18,16.18,16.18,16.18,1654,0
BSCU.US,5,20230523,204500,16.18,16.18,16.18,16.18,4300,0
BSCU.US,5,20230523,205000,16.1898,16.1898,16.1898,16.1898,185,0
BSCU.US,5,20230523,205500,16.18,16.18,16.18,16.18,334,0
BSCU.US,5,20230523,210000,16.17,16.1741,16.17,16.1741,307,0
BSCU.US,5,20230523,210500,16.18,16.18,16.17,16.18,400,0
BSCU.US,5,20230523,211000,16.18,16.18,16.18,16.18,500,0
BSCU.US,5,20230523,211500,16.17,16.17,16.17,16.17,100,0
BSCU.US,5,20230523,213000,16.17,16.17,16.17,16.17,200,0
BSCU.US,5,20230523,213500,16.17,16.18,16.17,16.179,1412,0
BSCU.US,5,20230523,214000,16.175,16.175,16.175,16.175,300,0
BSCU.US,5,20230523,214500,16.17,16.1701,16.17,16.1701,303,0
BSCU.US,5,20230523,215000,16.175,16.1799,16.1717,16.1717,2786,0
BSCU.US,5,20230523,215500,16.175,16.175,16.16,16.16,634,0
BSCU.US,5,20230524,153000,16.1781,16.1781,16.1781,16.1781,113,0
BSCU.US,5,20230524,154500,16.18,16.18,16.175,16.175,566,0
BSCU.US,5,20230524,155500,16.1729,16.1729,16.1729,16.1729,1235,0
BSCU.US,5,20230524,160000,16.17,16.175,16.17,16.17,610,0
