<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJN.US,5,20230522,153000,23.48,23.48,23.48,23.48,2113,0
BSJN.US,5,20230522,154000,23.48,23.48,23.4701,23.4701,2100,0
BSJN.US,5,20230522,155000,23.48,23.4899,23.48,23.4899,1250,0
BSJN.US,5,20230522,160500,23.47,23.47,23.47,23.47,100,0
BSJN.US,5,20230522,161500,23.4704,23.48,23.4704,23.48,394,0
BSJN.US,5,20230522,162500,23.4711,23.475,23.4711,23.475,1234,0
BSJN.US,5,20230522,163000,23.475,23.475,23.475,23.475,334,0
BSJN.US,5,20230522,163500,23.475,23.475,23.475,23.475,100,0
BSJN.US,5,20230522,165500,23.475,23.475,23.475,23.475,400,0
BSJN.US,5,20230522,170000,23.48,23.48,23.48,23.48,5056,0
BSJN.US,5,20230522,170500,23.475,23.475,23.4708,23.4708,910,0
BSJN.US,5,20230522,171000,23.475,23.475,23.475,23.475,100,0
BSJN.US,5,20230522,172500,23.475,23.475,23.475,23.475,300,0
BSJN.US,5,20230522,174000,23.475,23.475,23.475,23.475,100,0
BSJN.US,5,20230522,175000,23.475,23.475,23.475,23.475,100,0
BSJN.US,5,20230522,175500,23.475,23.475,23.475,23.475,100,0
BSJN.US,5,20230522,180000,23.475,23.485,23.475,23.485,4306,0
BSJN.US,5,20230522,180500,23.485,23.485,23.485,23.485,351,0
BSJN.US,5,20230522,182000,23.485,23.4861,23.485,23.4861,492,0
BSJN.US,5,20230522,182500,23.4845,23.4845,23.4845,23.4845,287,0
BSJN.US,5,20230522,183000,23.4897,23.4897,23.4897,23.4897,326,0
BSJN.US,5,20230522,183500,23.48,23.48,23.48,23.48,2032,0
BSJN.US,5,20230522,184000,23.485,23.485,23.485,23.485,570,0
BSJN.US,5,20230522,184500,23.485,23.485,23.485,23.485,799,0
BSJN.US,5,20230522,185000,23.4899,23.4899,23.4899,23.4899,610,0
BSJN.US,5,20230522,190500,23.4801,23.4801,23.4801,23.4801,919,0
BSJN.US,5,20230522,191000,23.49,23.49,23.49,23.49,100,0
BSJN.US,5,20230522,191500,23.485,23.49,23.485,23.49,1406,0
BSJN.US,5,20230522,192000,23.4802,23.49,23.4802,23.49,1079,0
BSJN.US,5,20230522,193000,23.4847,23.49,23.4847,23.49,307,0
BSJN.US,5,20230522,195000,23.485,23.485,23.485,23.485,400,0
BSJN.US,5,20230522,195500,23.4866,23.4866,23.4866,23.4866,713,0
BSJN.US,5,20230522,200000,23.485,23.485,23.485,23.485,100,0
BSJN.US,5,20230522,200500,23.485,23.485,23.4835,23.4835,1207,0
BSJN.US,5,20230522,201500,23.485,23.485,23.485,23.485,200,0
BSJN.US,5,20230522,202000,23.485,23.485,23.485,23.485,200,0
BSJN.US,5,20230522,202500,23.485,23.485,23.485,23.485,415,0
BSJN.US,5,20230522,203000,23.485,23.485,23.48,23.482,807,0
BSJN.US,5,20230522,203500,23.49,23.49,23.49,23.49,350,0
BSJN.US,5,20230522,204000,23.485,23.485,23.485,23.485,316,0
BSJN.US,5,20230522,205500,23.4861,23.4861,23.4861,23.4861,200,0
BSJN.US,5,20230522,210000,23.485,23.485,23.485,23.485,100,0
BSJN.US,5,20230522,211000,23.4894,23.51,23.48,23.5,138406,0
BSJN.US,5,20230522,211500,23.5025,23.5032,23.5,23.5,5158,0
BSJN.US,5,20230522,212500,23.5,23.5002,23.49,23.49,1615,0
BSJN.US,5,20230522,213500,23.481,23.51,23.481,23.51,14300,0
BSJN.US,5,20230522,214000,23.51,23.51,23.5,23.51,2884,0
BSJN.US,5,20230522,214500,23.501,23.501,23.501,23.501,200,0
BSJN.US,5,20230522,215000,23.51,23.51,23.5,23.5,2200,0
BSJN.US,5,20230522,215500,23.5,23.51,23.5,23.51,984,0
BSJN.US,5,20230523,153000,23.48,23.5,23.48,23.5,1893,0
BSJN.US,5,20230523,153500,23.4811,23.4811,23.4811,23.4811,256,0
BSJN.US,5,20230523,154500,23.48,23.5,23.4795,23.495,12651,0
BSJN.US,5,20230523,155000,23.4999,23.4999,23.4999,23.4999,161,0
BSJN.US,5,20230523,155500,23.495,23.495,23.495,23.495,231,0
BSJN.US,5,20230523,160500,23.5,23.5,23.5,23.5,100,0
BSJN.US,5,20230523,161000,23.49,23.49,23.49,23.49,283,0
BSJN.US,5,20230523,161500,23.4818,23.5,23.4818,23.5,1027,0
BSJN.US,5,20230523,162000,23.49,23.49,23.48,23.4874,3382,0
