<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJO.US,5,20230522,153000,22.34,22.35,22.34,22.35,732,0
BSJO.US,5,20230522,153500,22.365,22.365,22.365,22.365,10200,0
BSJO.US,5,20230522,154000,22.36,22.36,22.36,22.36,100,0
BSJO.US,5,20230522,154500,22.36,22.36,22.35,22.35,540,0
BSJO.US,5,20230522,155000,22.35,22.36,22.35,22.355,3563,0
BSJO.US,5,20230522,155500,22.3401,22.345,22.3401,22.345,1445,0
BSJO.US,5,20230522,160000,22.34,22.36,22.34,22.35,2167,0
BSJO.US,5,20230522,160500,22.359,22.359,22.35,22.35,251,0
BSJO.US,5,20230522,161500,22.3423,22.36,22.3423,22.36,312,0
BSJO.US,5,20230522,162500,22.3501,22.36,22.3501,22.3566,2535,0
BSJO.US,5,20230522,163000,22.3511,22.3511,22.3511,22.3511,230,0
BSJO.US,5,20230522,163500,22.35,22.355,22.35,22.3501,2450,0
BSJO.US,5,20230522,164000,22.35,22.35,22.35,22.35,300,0
BSJO.US,5,20230522,164500,22.3333,22.3333,22.3325,22.3325,4770,0
BSJO.US,5,20230522,165000,22.335,22.335,22.335,22.335,300,0
BSJO.US,5,20230522,165500,22.34,22.34,22.3398,22.3398,200,0
BSJO.US,5,20230522,170000,22.34,22.36,22.34,22.34,857,0
BSJO.US,5,20230522,170500,22.3518,22.3518,22.3518,22.3518,376,0
BSJO.US,5,20230522,172000,22.35,22.35,22.35,22.35,100,0
BSJO.US,5,20230522,172500,22.3599,22.3599,22.3599,22.3599,344,0
BSJO.US,5,20230522,173000,22.3525,22.3525,22.3525,22.3525,226,0
BSJO.US,5,20230522,174000,22.355,22.355,22.355,22.355,1351,0
BSJO.US,5,20230522,175000,22.355,22.36,22.355,22.3599,600,0
BSJO.US,5,20230522,175500,22.36,22.37,22.36,22.36,8918,0
BSJO.US,5,20230522,180500,22.36,22.36,22.36,22.36,360,0
BSJO.US,5,20230522,182000,22.35,22.35,22.35,22.35,512,0
BSJO.US,5,20230522,183000,22.36,22.36,22.36,22.36,638,0
BSJO.US,5,20230522,183500,22.3501,22.3501,22.3501,22.3501,119,0
BSJO.US,5,20230522,184000,22.355,22.36,22.355,22.3552,500,0
BSJO.US,5,20230522,184500,22.36,22.36,22.36,22.36,3679,0
BSJO.US,5,20230522,185000,22.36,22.36,22.355,22.36,1714,0
BSJO.US,5,20230522,190500,22.355,22.355,22.355,22.355,645,0
BSJO.US,5,20230522,191500,22.355,22.355,22.355,22.355,200,0
BSJO.US,5,20230522,192000,22.36,22.36,22.36,22.36,100,0
BSJO.US,5,20230522,193000,22.36,22.3727,22.36,22.3727,1058,0
BSJO.US,5,20230522,194000,22.38,22.387,22.38,22.387,2800,0
BSJO.US,5,20230522,194500,22.3837,22.3837,22.3837,22.3837,709,0
BSJO.US,5,20230522,195500,22.38,22.38,22.3794,22.3799,1778,0
BSJO.US,5,20230522,200500,22.38,22.38,22.38,22.38,1061,0
BSJO.US,5,20230522,201500,22.38,22.38,22.375,22.375,6643,0
BSJO.US,5,20230522,203000,22.3701,22.38,22.3701,22.38,1024,0
BSJO.US,5,20230522,203500,22.375,22.375,22.3706,22.3706,546,0
BSJO.US,5,20230522,204000,22.375,22.375,22.375,22.375,151,0
BSJO.US,5,20230522,204500,22.3757,22.3757,22.3757,22.3757,106,0
BSJO.US,5,20230522,205000,22.38,22.39,22.38,22.39,900,0
BSJO.US,5,20230522,210000,22.38,22.38,22.38,22.38,100,0
BSJO.US,5,20230522,210500,22.3899,22.39,22.3899,22.39,1608,0
BSJO.US,5,20230522,211000,22.385,22.39,22.385,22.39,800,0
BSJO.US,5,20230522,211500,22.38,22.385,22.38,22.385,1307,0
BSJO.US,5,20230522,212000,22.38,22.38,22.38,22.38,600,0
BSJO.US,5,20230522,212500,22.376,22.376,22.37,22.3717,525,0
BSJO.US,5,20230522,213000,22.375,22.38,22.375,22.38,1500,0
BSJO.US,5,20230522,213500,22.38,22.38,22.3766,22.38,2100,0
BSJO.US,5,20230522,214000,22.385,22.385,22.385,22.385,800,0
BSJO.US,5,20230522,214500,22.385,22.39,22.38,22.38,1900,0
BSJO.US,5,20230522,215000,22.385,22.3879,22.3701,22.3701,3750,0
BSJO.US,5,20230522,215500,22.375,22.38,22.3746,22.38,4601,0
BSJO.US,5,20230523,153000,22.35,22.35,22.35,22.35,1474,0
BSJO.US,5,20230523,154000,22.34,22.34,22.34,22.34,100,0
BSJO.US,5,20230523,154500,22.35,22.35,22.35,22.35,100,0
BSJO.US,5,20230523,155000,22.35,22.35,22.3445,22.3445,570,0
BSJO.US,5,20230523,155500,22.3401,22.346,22.3401,22.346,508,0
BSJO.US,5,20230523,160000,22.34,22.34,22.34,22.34,100,0
BSJO.US,5,20230523,161000,22.34,22.34,22.34,22.34,100,0
BSJO.US,5,20230523,161500,22.34,22.35,22.3379,22.35,416,0
BSJO.US,5,20230523,162000,22.36,22.36,22.36,22.36,102,0
BSJO.US,5,20230523,162500,22.35,22.35,22.3433,22.3433,1187,0
BSJO.US,5,20230523,163000,22.348,22.348,22.34,22.34,1000,0
BSJO.US,5,20230523,165000,22.355,22.36,22.355,22.36,800,0
BSJO.US,5,20230523,170000,22.36,22.36,22.36,22.36,450,0
BSJO.US,5,20230523,170500,22.36,22.36,22.35,22.35,600,0
BSJO.US,5,20230523,171000,22.36,22.37,22.36,22.365,784,0
BSJO.US,5,20230523,171500,22.365,22.365,22.365,22.365,100,0
BSJO.US,5,20230523,172000,22.36,22.365,22.36,22.365,1100,0
BSJO.US,5,20230523,172500,22.365,22.365,22.36,22.365,657,0
BSJO.US,5,20230523,173000,22.37,22.37,22.36,22.36,924,0
BSJO.US,5,20230523,173500,22.3601,22.3688,22.3601,22.3688,914,0
BSJO.US,5,20230523,174000,22.365,22.365,22.365,22.365,100,0
BSJO.US,5,20230523,174500,22.36,22.3656,22.36,22.3656,623,0
BSJO.US,5,20230523,175000,22.3605,22.3605,22.3605,22.3605,119,0
BSJO.US,5,20230523,175500,22.365,22.37,22.365,22.3669,2550,0
BSJO.US,5,20230523,180500,22.37,22.37,22.369,22.369,207,0
BSJO.US,5,20230523,181000,22.365,22.365,22.35,22.36,6606,0
BSJO.US,5,20230523,182500,22.36,22.36,22.355,22.36,15960,0
BSJO.US,5,20230523,183000,22.355,22.36,22.355,22.36,10136,0
BSJO.US,5,20230523,183500,22.355,22.355,22.3246,22.33,3497,0
BSJO.US,5,20230523,185000,22.33,22.33,22.33,22.33,100,0
BSJO.US,5,20230523,185500,22.33,22.34,22.33,22.34,300,0
BSJO.US,5,20230523,190000,22.3299,22.3299,22.3299,22.3299,225,0
BSJO.US,5,20230523,190500,22.3289,22.3289,22.3289,22.3289,403,0
BSJO.US,5,20230523,191000,22.33,22.335,22.33,22.3306,327,0
BSJO.US,5,20230523,191500,22.34,22.34,22.34,22.34,2021,0
BSJO.US,5,20230523,192000,22.34,22.34,22.34,22.34,496,0
BSJO.US,5,20230523,192500,22.325,22.325,22.325,22.325,100,0
BSJO.US,5,20230523,193000,22.32,22.32,22.3157,22.3157,300,0
BSJO.US,5,20230523,195500,22.32,22.32,22.32,22.32,100,0
BSJO.US,5,20230523,200500,22.32,22.33,22.32,22.33,600,0
BSJO.US,5,20230523,201000,22.3298,22.3298,22.3298,22.3298,208,0
