<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJP.US,5,20230522,153000,22.3299,22.3299,22.32,22.32,740,0
BSJP.US,5,20230522,155000,22.33,22.33,22.321,22.321,4628,0
BSJP.US,5,20230522,155500,22.32,22.32,22.32,22.32,262,0
BSJP.US,5,20230522,160000,22.31,22.31,22.31,22.31,178,0
BSJP.US,5,20230522,160500,22.3247,22.3247,22.3,22.3,1251,0
BSJP.US,5,20230522,161000,22.31,22.31,22.31,22.31,336,0
BSJP.US,5,20230522,161500,22.3204,22.33,22.3204,22.33,1518,0
BSJP.US,5,20230522,162000,22.33,22.34,22.33,22.34,2000,0
BSJP.US,5,20230522,162500,22.335,22.335,22.335,22.335,865,0
BSJP.US,5,20230522,163500,22.3396,22.345,22.3394,22.3401,5315,0
BSJP.US,5,20230522,164000,22.34,22.34,22.34,22.34,100,0
BSJP.US,5,20230522,164500,22.32,22.32,22.32,22.32,500,0
BSJP.US,5,20230522,165000,22.32,22.32,22.32,22.32,100,0
BSJP.US,5,20230522,165500,22.33,22.33,22.324,22.33,332,0
BSJP.US,5,20230522,170000,22.3301,22.3301,22.3301,22.3301,758,0
BSJP.US,5,20230522,170500,22.34,22.3408,22.34,22.3408,576,0
BSJP.US,5,20230522,171000,22.3375,22.34,22.3375,22.34,349,0
BSJP.US,5,20230522,171500,22.335,22.339,22.335,22.339,200,0
BSJP.US,5,20230522,172000,22.34,22.34,22.34,22.34,300,0
BSJP.US,5,20230522,173000,22.3396,22.355,22.3391,22.35,31346,0
BSJP.US,5,20230522,174000,22.3475,22.3499,22.345,22.345,2231,0
BSJP.US,5,20230522,174500,22.345,22.345,22.345,22.345,100,0
BSJP.US,5,20230522,175000,22.3459,22.35,22.3459,22.348,1524,0
BSJP.US,5,20230522,175500,22.35,22.36,22.35,22.36,4472,0
BSJP.US,5,20230522,180000,22.35,22.35,22.35,22.35,100,0
BSJP.US,5,20230522,180500,22.35,22.3501,22.35,22.3501,4234,0
BSJP.US,5,20230522,181000,22.3521,22.355,22.3521,22.355,234,0
BSJP.US,5,20230522,182000,22.34,22.34,22.34,22.34,646,0
BSJP.US,5,20230522,182500,22.358,22.36,22.357,22.357,900,0
BSJP.US,5,20230522,183000,22.36,22.36,22.36,22.36,457,0
BSJP.US,5,20230522,184000,22.355,22.355,22.355,22.355,100,0
BSJP.US,5,20230522,184500,22.355,22.359,22.3428,22.3428,658,0
BSJP.US,5,20230522,185500,22.36,22.36,22.359,22.36,1762,0
BSJP.US,5,20230522,191000,22.36,22.36,22.36,22.36,200,0
BSJP.US,5,20230522,192000,22.3575,22.36,22.3501,22.3501,2171,0
BSJP.US,5,20230522,193000,22.36,22.3796,22.36,22.3796,6590,0
BSJP.US,5,20230522,194500,22.3737,22.3737,22.3737,22.3737,708,0
BSJP.US,5,20230522,195500,22.375,22.375,22.3725,22.375,1175,0
BSJP.US,5,20230522,200500,22.37,22.3765,22.37,22.3765,500,0
BSJP.US,5,20230522,201000,22.375,22.375,22.375,22.375,100,0
BSJP.US,5,20230522,202000,22.38,22.38,22.38,22.38,6043,0
BSJP.US,5,20230522,202500,22.38,22.38,22.3763,22.3763,300,0
BSJP.US,5,20230522,203000,22.38,22.38,22.3717,22.3717,1095,0
BSJP.US,5,20230522,203500,22.3706,22.3706,22.3706,22.3706,225,0
BSJP.US,5,20230522,204500,22.3701,22.3701,22.3701,22.3701,106,0
BSJP.US,5,20230522,205000,22.38,22.3839,22.38,22.3839,296,0
BSJP.US,5,20230522,205500,22.38,22.3877,22.38,22.3821,930,0
BSJP.US,5,20230522,210000,22.3798,22.3798,22.3701,22.3701,994,0
BSJP.US,5,20230522,211500,22.37,22.3799,22.37,22.375,1925,0
BSJP.US,5,20230522,212000,22.37,22.37,22.37,22.37,200,0
BSJP.US,5,20230522,212500,22.36,22.365,22.36,22.365,1073,0
BSJP.US,5,20230522,213000,22.36,22.37,22.36,22.37,1200,0
BSJP.US,5,20230522,213500,22.365,22.375,22.365,22.375,838,0
BSJP.US,5,20230522,214000,22.376,22.376,22.376,22.376,100,0
BSJP.US,5,20230522,214500,22.38,22.38,22.37,22.37,300,0
BSJP.US,5,20230522,215000,22.3692,22.37,22.3692,22.37,2100,0
BSJP.US,5,20230522,215500,22.36,22.37,22.36,22.37,2627,0
BSJP.US,5,20230523,153000,22.36,22.36,22.32,22.32,2971,0
BSJP.US,5,20230523,154500,22.35,22.35,22.35,22.35,100,0
BSJP.US,5,20230523,155000,22.34,22.3487,22.34,22.3487,270,0
BSJP.US,5,20230523,155500,22.346,22.359,22.345,22.345,6409,0
BSJP.US,5,20230523,160000,22.35,22.35,22.35,22.35,271,0
BSJP.US,5,20230523,161000,22.35,22.35,22.35,22.35,100,0
BSJP.US,5,20230523,162000,22.3411,22.3411,22.3411,22.3411,104,0
BSJP.US,5,20230523,162500,22.35,22.35,22.34,22.34,1874,0
BSJP.US,5,20230523,163000,22.34,22.35,22.34,22.35,1000,0
BSJP.US,5,20230523,165000,22.345,22.3496,22.345,22.3496,1781,0
BSJP.US,5,20230523,165500,22.3496,22.35,22.3496,22.35,6550,0
BSJP.US,5,20230523,171000,22.36,22.37,22.3501,22.3501,809,0
BSJP.US,5,20230523,171500,22.35,22.35,22.35,22.35,671,0
BSJP.US,5,20230523,172000,22.35,22.35,22.34,22.34,660,0
BSJP.US,5,20230523,172500,22.3517,22.3517,22.35,22.35,557,0
BSJP.US,5,20230523,173000,22.35,22.3535,22.35,22.3535,374,0
BSJP.US,5,20230523,173500,22.364,22.364,22.364,22.364,926,0
BSJP.US,5,20230523,174000,22.365,22.365,22.365,22.365,100,0
BSJP.US,5,20230523,174500,22.366,22.3699,22.366,22.3699,624,0
BSJP.US,5,20230523,175000,22.37,22.37,22.37,22.37,100,0
BSJP.US,5,20230523,175500,22.37,22.37,22.363,22.3691,1006,0
BSJP.US,5,20230523,180500,22.36,22.36,22.36,22.36,100,0
BSJP.US,5,20230523,181000,22.355,22.3571,22.35,22.35,5154,0
BSJP.US,5,20230523,181500,22.3504,22.3504,22.35,22.35,526,0
BSJP.US,5,20230523,182000,22.3453,22.3453,22.3453,22.3453,895,0
BSJP.US,5,20230523,182500,22.3458,22.36,22.345,22.355,16769,0
BSJP.US,5,20230523,183000,22.35,22.35,22.34,22.345,15041,0
BSJP.US,5,20230523,183500,22.345,22.345,22.328,22.33,1200,0
BSJP.US,5,20230523,185500,22.33,22.33,22.325,22.33,1100,0
BSJP.US,5,20230523,190000,22.339,22.339,22.339,22.339,1300,0
BSJP.US,5,20230523,191000,22.34,22.34,22.34,22.34,100,0
BSJP.US,5,20230523,191500,22.33,22.3388,22.33,22.3388,2716,0
BSJP.US,5,20230523,192500,22.33,22.33,22.33,22.33,200,0
BSJP.US,5,20230523,193000,22.31,22.32,22.31,22.3199,400,0
BSJP.US,5,20230523,194000,22.329,22.33,22.325,22.325,1508,0
BSJP.US,5,20230523,194500,22.329,22.329,22.32,22.32,749,0
BSJP.US,5,20230523,195000,22.32,22.32,22.319,22.319,1000,0
BSJP.US,5,20230523,195500,22.3191,22.3191,22.3191,22.3191,448,0
BSJP.US,5,20230523,201000,22.315,22.3175,22.31,22.31,473,0
BSJP.US,5,20230523,201500,22.315,22.319,22.31,22.31,900,0
BSJP.US,5,20230523,202000,22.3186,22.3186,22.312,22.312,663,0
BSJP.US,5,20230523,202500,22.305,22.305,22.305,22.305,100,0
BSJP.US,5,20230523,203500,22.305,22.305,22.302,22.302,715,0
BSJP.US,5,20230523,204000,22.305,22.3099,22.305,22.3099,4263,0
BSJP.US,5,20230523,204500,22.305,22.3075,22.305,22.3075,381,0
BSJP.US,5,20230523,205000,22.305,22.31,22.305,22.305,2758,0
BSJP.US,5,20230523,205500,22.305,22.305,22.305,22.305,6528,0
BSJP.US,5,20230523,210000,22.305,22.305,22.305,22.305,1470,0
BSJP.US,5,20230523,211000,22.305,22.305,22.305,22.305,1000,0
BSJP.US,5,20230523,211500,22.3,22.308,22.3,22.305,853,0
BSJP.US,5,20230523,212000,22.305,22.305,22.305,22.305,597,0
BSJP.US,5,20230523,212500,22.3,22.3,22.3,22.3,100,0
BSJP.US,5,20230523,213000,22.3032,22.3032,22.3032,22.3032,241,0
BSJP.US,5,20230523,213500,22.305,22.305,22.3,22.3,300,0
