<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJQ.US,5,20230522,153000,22.59,22.59,22.59,22.59,152,0
BSJQ.US,5,20230522,155000,22.5892,22.5892,22.5892,22.5892,260,0
BSJQ.US,5,20230522,155500,22.58,22.58,22.57,22.57,200,0
BSJQ.US,5,20230522,160000,22.5795,22.58,22.5795,22.58,261,0
BSJQ.US,5,20230522,160500,22.58,22.58,22.58,22.58,100,0
BSJQ.US,5,20230522,161000,22.56,22.56,22.56,22.56,100,0
BSJQ.US,5,20230522,162000,22.605,22.605,22.605,22.605,202,0
BSJQ.US,5,20230522,162500,22.6199,22.6199,22.5997,22.5997,1388,0
BSJQ.US,5,20230522,164500,22.595,22.595,22.595,22.595,500,0
BSJQ.US,5,20230522,165000,22.5978,22.5978,22.59,22.59,200,0
BSJQ.US,5,20230522,165500,22.59,22.59,22.59,22.59,328,0
BSJQ.US,5,20230522,170000,22.6,22.6,22.6,22.6,749,0
BSJQ.US,5,20230522,170500,22.61,22.6108,22.61,22.6108,469,0
BSJQ.US,5,20230522,171000,22.61,22.61,22.61,22.61,125,0
BSJQ.US,5,20230522,171500,22.6022,22.6022,22.6022,22.6022,190,0
BSJQ.US,5,20230522,172000,22.6174,22.6174,22.6174,22.6174,2000,0
BSJQ.US,5,20230522,172500,22.6,22.6,22.6,22.6,277,0
BSJQ.US,5,20230522,174000,22.61,22.61,22.61,22.61,1106,0
BSJQ.US,5,20230522,174500,22.6181,22.6181,22.6181,22.6181,105,0
BSJQ.US,5,20230522,181000,22.6259,22.6259,22.6259,22.6259,133,0
BSJQ.US,5,20230522,181500,22.6233,22.625,22.6222,22.625,1243,0
BSJQ.US,5,20230522,182000,22.6299,22.6299,22.6299,22.6299,407,0
BSJQ.US,5,20230522,183000,22.625,22.625,22.625,22.625,1534,0
BSJQ.US,5,20230522,185500,22.6292,22.6292,22.6292,22.6292,1643,0
BSJQ.US,5,20230522,190000,22.63,22.63,22.63,22.63,100,0
BSJQ.US,5,20230522,190500,22.63,22.63,22.63,22.63,100,0
BSJQ.US,5,20230522,191000,22.64,22.64,22.63,22.63,800,0
BSJQ.US,5,20230522,191500,22.63,22.63,22.62,22.62,620,0
BSJQ.US,5,20230522,192000,22.61,22.6101,22.61,22.6101,2154,0
BSJQ.US,5,20230522,193000,22.62,22.6464,22.62,22.6464,1790,0
BSJQ.US,5,20230522,194000,22.6499,22.6499,22.645,22.645,485,0
BSJQ.US,5,20230522,194500,22.65,22.65,22.65,22.65,700,0
BSJQ.US,5,20230522,195500,22.64,22.64,22.64,22.64,1085,0
BSJQ.US,5,20230522,201000,22.645,22.645,22.64,22.64,590,0
BSJQ.US,5,20230522,203000,22.6494,22.6494,22.6494,22.6494,111,0
