<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJR.US,5,20230522,153000,21.48,21.48,21.48,21.48,1265,0
BSJR.US,5,20230522,155000,21.4601,21.4601,21.4601,21.4601,273,0
BSJR.US,5,20230522,155500,21.46,21.4673,21.46,21.4601,630,0
BSJR.US,5,20230522,160000,21.47,21.47,21.47,21.47,269,0
BSJR.US,5,20230522,160500,21.47,21.47,21.465,21.465,600,0
BSJR.US,5,20230522,162000,21.4999,21.5,21.499,21.499,318,0
BSJR.US,5,20230522,162500,21.4999,21.5,21.4933,21.4933,1300,0
BSJR.US,5,20230522,163000,21.5,21.505,21.5,21.5025,1500,0
BSJR.US,5,20230522,164500,21.505,21.505,21.505,21.505,500,0
BSJR.US,5,20230522,170000,21.51,21.51,21.5,21.505,987,0
BSJR.US,5,20230522,171500,21.5,21.5,21.5,21.5,500,0
BSJR.US,5,20230522,174000,21.519,21.52,21.518,21.518,5650,0
BSJR.US,5,20230522,174500,21.51,21.51,21.51,21.51,100,0
BSJR.US,5,20230522,175500,21.51,21.52,21.51,21.52,1708,0
BSJR.US,5,20230522,181000,21.515,21.515,21.515,21.515,400,0
BSJR.US,5,20230522,183000,21.515,21.52,21.515,21.52,475,0
BSJR.US,5,20230522,185500,21.52,21.53,21.5199,21.53,3000,0
BSJR.US,5,20230522,191000,21.519,21.52,21.519,21.52,200,0
BSJR.US,5,20230522,192000,21.52,21.52,21.5199,21.5199,746,0
BSJR.US,5,20230522,194000,21.5341,21.5341,21.5341,21.5341,463,0
BSJR.US,5,20230522,210000,21.5401,21.5401,21.5401,21.5401,117,0
BSJR.US,5,20230522,211500,21.559,21.56,21.548,21.548,1300,0
BSJR.US,5,20230522,212000,21.5445,21.5445,21.5445,21.5445,500,0
BSJR.US,5,20230522,212500,21.5201,21.5201,21.5201,21.5201,128,0
BSJR.US,5,20230522,213500,21.539,21.54,21.539,21.5399,500,0
BSJR.US,5,20230522,214500,21.539,21.54,21.539,21.5399,1700,0
BSJR.US,5,20230522,215000,21.529,21.529,21.529,21.529,100,0
BSJR.US,5,20230523,153000,21.5,21.5,21.5,21.5,241,0
BSJR.US,5,20230523,155500,21.489,21.49,21.4601,21.4601,4710,0
BSJR.US,5,20230523,162500,21.46,21.47,21.46,21.4633,1330,0
BSJR.US,5,20230523,163000,21.4693,21.4693,21.4693,21.4693,500,0
BSJR.US,5,20230523,171000,21.4601,21.4601,21.4601,21.4601,192,0
BSJR.US,5,20230523,172500,21.4617,21.4617,21.4617,21.4617,370,0
BSJR.US,5,20230523,175500,21.49,21.49,21.4835,21.4835,628,0
BSJR.US,5,20230523,180000,21.48,21.48,21.475,21.475,200,0
BSJR.US,5,20230523,181000,21.469,21.48,21.469,21.47,4571,0
BSJR.US,5,20230523,182500,21.465,21.465,21.465,21.465,1380,0
BSJR.US,5,20230523,183500,21.4601,21.4601,21.439,21.4399,1433,0
BSJR.US,5,20230523,191500,21.438,21.438,21.438,21.438,1586,0
BSJR.US,5,20230523,194000,21.43,21.43,21.43,21.43,100,0
BSJR.US,5,20230523,201500,21.419,21.42,21.419,21.4199,2168,0
BSJR.US,5,20230523,202000,21.405,21.41,21.405,21.4099,3700,0
BSJR.US,5,20230523,203000,21.39,21.4,21.39,21.4,769,0
