<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJS.US,5,20230522,153000,20.85,20.85,20.78,20.78,1402,0
BSJS.US,5,20230522,162500,20.86,20.87,20.8398,20.8398,1900,0
BSJS.US,5,20230522,165500,20.78,20.78,20.78,20.78,102,0
BSJS.US,5,20230522,170000,20.78,20.78,20.78,20.78,792,0
BSJS.US,5,20230522,171000,20.86,20.86,20.86,20.86,200,0
BSJS.US,5,20230522,172000,20.87,20.87,20.86,20.86,200,0
BSJS.US,5,20230522,174000,20.9,20.9099,20.845,20.9,6179,0
BSJS.US,5,20230522,181000,20.89,20.89,20.89,20.89,100,0
BSJS.US,5,20230522,183000,20.89,20.91,20.89,20.91,490,0
BSJS.US,5,20230522,190500,20.89,20.89,20.89,20.89,100,0
BSJS.US,5,20230522,193500,20.91,20.91,20.91,20.91,100,0
BSJS.US,5,20230522,200500,20.91,20.91,20.91,20.91,100,0
BSJS.US,5,20230522,201000,20.88,20.88,20.86,20.86,400,0
BSJS.US,5,20230522,202500,20.9098,20.9098,20.9098,20.9098,177,0
BSJS.US,5,20230522,205000,20.9,20.9,20.9,20.9,500,0
BSJS.US,5,20230522,205500,20.9,20.9,20.9,20.9,100,0
BSJS.US,5,20230522,210000,20.9,20.9,20.9,20.9,100,0
BSJS.US,5,20230522,211000,20.9,20.9,20.9,20.9,100,0
BSJS.US,5,20230522,211500,20.9,20.9,20.9,20.9,100,0
BSJS.US,5,20230522,212000,20.9,20.9,20.89,20.89,300,0
BSJS.US,5,20230522,213000,20.92,20.92,20.92,20.92,100,0
BSJS.US,5,20230522,213500,20.92,20.93,20.92,20.93,200,0
BSJS.US,5,20230522,214000,20.92,20.92,20.92,20.92,100,0
BSJS.US,5,20230522,214500,20.92,20.92,20.92,20.92,200,0
BSJS.US,5,20230522,215000,20.93,20.93,20.93,20.93,100,0
BSJS.US,5,20230522,215500,20.95,20.95,20.93,20.93,900,0
BSJS.US,5,20230523,162500,20.85,20.85,20.81,20.81,867,0
BSJS.US,5,20230523,163000,20.8899,20.8899,20.8899,20.8899,500,0
BSJS.US,5,20230523,171000,20.85,20.85,20.85,20.85,192,0
BSJS.US,5,20230523,180000,20.82,20.82,20.82,20.82,100,0
