<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMN.US,5,20230522,153000,25.02,25.02,25.02,25.02,400,0
BSMN.US,5,20230522,165000,25.03,25.03,25.01,25.01,1413,0
BSMN.US,5,20230522,181500,25.0395,25.0395,25.0395,25.0395,441,0
BSMN.US,5,20230522,182500,25.03,25.03,25.03,25.03,300,0
BSMN.US,5,20230522,184000,25.0101,25.0101,25.01,25.01,486,0
BSMN.US,5,20230522,200000,25.01,25.01,25.01,25.01,3826,0
BSMN.US,5,20230522,213000,25.03,25.03,25.03,25.03,126,0
BSMN.US,5,20230522,215500,25.01,25.01,25.01,25.01,170,0
BSMN.US,5,20230523,153000,25.09,25.09,25.01,25.01,10868,0
BSMN.US,5,20230523,153500,25.0599,25.0599,25.01,25.01,537,0
BSMN.US,5,20230523,154000,25.01,25.01,25.01,25.01,1100,0
BSMN.US,5,20230523,162500,25.015,25.015,25.011,25.011,280,0
BSMN.US,5,20230523,173500,25.0101,25.0101,25.01,25.0101,1424,0
BSMN.US,5,20230523,182500,25.01,25.01,25.01,25.01,300,0
BSMN.US,5,20230523,185000,25.02,25.02,25.015,25.015,939,0
BSMN.US,5,20230523,192000,25.0199,25.0199,25.0199,25.0199,630,0
BSMN.US,5,20230523,213500,25.02,25.02,25.01,25.01,1667,0
BSMN.US,5,20230523,215000,25.015,25.015,25.015,25.015,600,0
BSMN.US,5,20230523,215500,25.015,25.015,25.015,25.015,100,0
BSMN.US,5,20230524,153000,25.02,25.02,25.02,25.02,118,0
BSMN.US,5,20230524,155500,25.01,25.01,25.01,25.01,500,0
BSMN.US,5,20230524,161500,25,25,25,25,600,0
BSMN.US,5,20230524,164500,25,25,25,25,600,0
BSMN.US,5,20230524,172000,25,25,25,25,700,0
BSMN.US,5,20230524,173000,25.02,25.02,25.02,25.02,100,0
BSMN.US,5,20230524,174500,25.015,25.03,25,25,3014,0
BSMN.US,5,20230524,182500,25,25,25,25,600,0
BSMN.US,5,20230524,183500,25.03,25.03,25.03,25.03,160,0
BSMN.US,5,20230524,190000,25.015,25.015,25,25.015,900,0
BSMN.US,5,20230524,191000,25,25,25,25,700,0
BSMN.US,5,20230524,193500,25.001,25.001,25.001,25.001,505,0
BSMN.US,5,20230524,194000,25.01,25.01,25.01,25.01,300,0
BSMN.US,5,20230524,195000,25,25,25,25,400,0
BSMN.US,5,20230524,195500,25.001,25.005,25,25,2038,0
BSMN.US,5,20230524,201000,25,25,25,25,400,0
BSMN.US,5,20230524,201500,25,25.005,25,25,2420,0
BSMN.US,5,20230524,202000,25,25,25,25,12505,0
BSMN.US,5,20230524,203000,25.005,25.005,25,25,400,0
BSMN.US,5,20230524,204000,25.005,25.005,25,25,500,0
BSMN.US,5,20230524,204500,25,25.005,25,25,600,0
BSMN.US,5,20230524,205000,25.01,25.03,25.01,25.03,1650,0
BSMN.US,5,20230524,205500,25.01,25.0101,25.01,25.01,488,0
BSMN.US,5,20230524,210500,25.01,25.01,25.01,25.01,500,0
BSMN.US,5,20230524,211500,25,25,25,25,100,0
BSMN.US,5,20230524,212000,25.005,25.005,25,25,400,0
BSMN.US,5,20230524,212500,25,25,25,25,100,0
BSMN.US,5,20230524,213000,25,25.005,25,25,12910,0
BSMN.US,5,20230524,213500,25.005,25.005,25,25,400,0
BSMN.US,5,20230524,214000,25.005,25.005,25,25,400,0
BSMN.US,5,20230524,214500,25,25.005,25,25,700,0
BSMN.US,5,20230524,215000,25,25.01,25,25.0099,2900,0
BSMN.US,5,20230524,215500,25.005,25.005,24.99,24.99,1840,0
BSMN.US,5,20230525,181500,25.0199,25.0199,25.0199,25.0199,600,0
BSMN.US,5,20230525,185500,25.015,25.015,25.015,25.015,2389,0
BSMN.US,5,20230525,200500,25.015,25.015,25.015,25.015,447,0
BSMN.US,5,20230525,203500,25.015,25.015,25.015,25.015,315,0
BSMN.US,5,20230525,204500,25.0107,25.0164,25.0107,25.0164,554,0
BSMN.US,5,20230525,215000,25.02,25.04,25.02,25.04,2167,0
BSMN.US,5,20230525,215500,25.04,25.04,25.04,25.04,100,0
BSMN.US,5,20230526,153000,25.08,25.08,25.08,25.08,1287,0
BSMN.US,5,20230526,161500,25.0571,25.0571,25.0571,25.0571,2700,0
BSMN.US,5,20230526,175500,25.0303,25.0303,25.0303,25.0303,1000,0
BSMN.US,5,20230526,194000,25.03,25.0301,25.03,25.0301,622,0
BSMN.US,5,20230526,195000,25.0301,25.0301,25.03,25.03,222,0
BSMN.US,5,20230526,200500,25.0527,25.0527,25.0527,25.0527,596,0
BSMN.US,5,20230530,155000,25.0799,25.0799,25.0799,25.0799,300,0
BSMN.US,5,20230530,160000,25.0799,25.0799,25.0799,25.0799,129,0
BSMN.US,5,20230530,172000,25.0799,25.08,25.0799,25.08,796,0
BSMN.US,5,20230530,173500,25.0799,25.08,25.0751,25.0751,486,0
BSMN.US,5,20230530,174500,25.05,25.05,25.05,25.05,100,0
BSMN.US,5,20230530,204500,25.0799,25.08,25.0799,25.08,330,0
BSMN.US,5,20230530,205000,25.08,25.08,25.08,25.08,100,0
