<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMO.US,5,20230522,165000,24.618,24.618,24.618,24.618,1297,0
BSMO.US,5,20230522,165500,24.605,24.605,24.5901,24.5901,608,0
BSMO.US,5,20230522,172000,24.59,24.5901,24.59,24.59,1400,0
BSMO.US,5,20230522,175000,24.59,24.5901,24.59,24.5901,400,0
BSMO.US,5,20230522,181500,24.6011,24.6011,24.6011,24.6011,449,0
BSMO.US,5,20230522,184000,24.59,24.5901,24.59,24.5901,474,0
BSMO.US,5,20230522,184500,24.6116,24.6116,24.6116,24.6116,159,0
BSMO.US,5,20230522,210000,24.61,24.61,24.61,24.61,608,0
BSMO.US,5,20230522,213000,24.6099,24.6099,24.58,24.58,1228,0
BSMO.US,5,20230523,153000,24.65,24.65,24.5706,24.5706,11318,0
BSMO.US,5,20230523,160500,24.571,24.571,24.571,24.571,2410,0
BSMO.US,5,20230523,162500,24.57,24.5701,24.57,24.57,300,0
BSMO.US,5,20230523,173500,24.571,24.571,24.57,24.5701,1342,0
BSMO.US,5,20230523,174500,24.6036,24.6036,24.6036,24.6036,159,0
BSMO.US,5,20230523,182500,24.59,24.59,24.57,24.57,1177,0
BSMO.US,5,20230523,185500,24.59,24.59,24.57,24.57,970,0
BSMO.US,5,20230523,192000,24.6099,24.6099,24.6099,24.6099,750,0
BSMO.US,5,20230523,193000,24.58,24.58,24.58,24.58,400,0
BSMO.US,5,20230523,203000,24.571,24.571,24.57,24.571,914,0
BSMO.US,5,20230523,210000,24.59,24.61,24.59,24.59,2000,0
BSMO.US,5,20230523,215500,24.609,24.609,24.609,24.609,100,0
BSMO.US,5,20230524,162500,24.609,24.61,24.609,24.6099,400,0
BSMO.US,5,20230524,164000,24.5945,24.5945,24.5945,24.5945,152,0
BSMO.US,5,20230524,165500,24.61,24.61,24.61,24.61,100,0
BSMO.US,5,20230524,172000,24.59,24.59,24.59,24.59,349,0
BSMO.US,5,20230524,174500,24.61,24.61,24.57,24.57,3568,0
BSMO.US,5,20230524,190500,24.6,24.6,24.6,24.6,100,0
BSMO.US,5,20230524,195500,24.585,24.585,24.56,24.56,3218,0
BSMO.US,5,20230524,201500,24.572,24.572,24.572,24.572,1126,0
