<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMP.US,5,20230522,163000,24.23,24.24,24.2299,24.24,1255,0
BSMP.US,5,20230522,165000,24.239,24.24,24.239,24.2399,636,0
BSMP.US,5,20230522,181500,24.21,24.23,24.21,24.23,644,0
BSMP.US,5,20230522,184000,24.2101,24.2101,24.21,24.21,478,0
BSMP.US,5,20230522,185500,24.24,24.24,24.2399,24.2399,2424,0
BSMP.US,5,20230522,190500,24.23,24.23,24.23,24.23,100,0
BSMP.US,5,20230522,200000,24.22,24.23,24.22,24.23,3714,0
BSMP.US,5,20230522,201000,24.219,24.22,24.219,24.2199,2464,0
BSMP.US,5,20230522,210000,24.22,24.22,24.22,24.22,564,0
BSMP.US,5,20230522,212500,24.21,24.21,24.21,24.21,335,0
BSMP.US,5,20230522,213000,24.2,24.2,24.2,24.2,131,0
BSMP.US,5,20230523,153000,24.24,24.24,24.24,24.24,1872,0
BSMP.US,5,20230523,154000,24.22,24.22,24.2199,24.2199,200,0
BSMP.US,5,20230523,155000,24.21,24.21,24.21,24.21,300,0
BSMP.US,5,20230523,160500,24.19,24.19,24.19,24.19,2249,0
BSMP.US,5,20230523,162500,24.19,24.1901,24.19,24.1901,582,0
BSMP.US,5,20230523,173500,24.2,24.2001,24.2,24.2001,974,0
BSMP.US,5,20230523,182500,24.21,24.21,24.21,24.21,331,0
BSMP.US,5,20230523,185000,24.22,24.22,24.22,24.22,876,0
BSMP.US,5,20230523,192000,24.219,24.22,24.219,24.22,700,0
BSMP.US,5,20230523,200000,24.205,24.205,24.205,24.205,413,0
BSMP.US,5,20230523,201000,24.2,24.2,24.2,24.2,6560,0
BSMP.US,5,20230523,203000,24.205,24.205,24.2,24.2033,956,0
BSMP.US,5,20230523,205000,24.21,24.21,24.21,24.21,100,0
BSMP.US,5,20230523,210000,24.1949,24.1949,24.1949,24.1949,1321,0
BSMP.US,5,20230523,210500,24.21,24.21,24.21,24.21,100,0
BSMP.US,5,20230523,215000,24.19,24.19,24.19,24.19,290,0
BSMP.US,5,20230523,215500,24.21,24.21,24.19,24.19,856,0
BSMP.US,5,20230524,172000,24.175,24.175,24.175,24.175,355,0
BSMP.US,5,20230524,174000,24.19,24.19,24.19,24.19,100,0
BSMP.US,5,20230524,174500,24.19,24.19,24.19,24.19,1711,0
BSMP.US,5,20230524,184500,24.16,24.1601,24.16,24.1601,584,0
BSMP.US,5,20230524,200000,24.18,24.18,24.18,24.18,100,0
BSMP.US,5,20230524,201500,24.1618,24.1618,24.1618,24.1618,1152,0
BSMP.US,5,20230524,205000,24.189,24.19,24.1601,24.19,4026,0
BSMP.US,5,20230524,205500,24.1701,24.1701,24.17,24.17,300,0
BSMP.US,5,20230524,210000,24.18,24.18,24.18,24.18,1257,0
BSMP.US,5,20230524,210500,24.18,24.18,24.18,24.18,200,0
BSMP.US,5,20230524,215500,24.16,24.16,24.16,24.16,102,0
BSMP.US,5,20230525,161500,24.1699,24.17,24.1699,24.1699,514,0
BSMP.US,5,20230525,164500,24.1786,24.1786,24.17,24.17,2793,0
BSMP.US,5,20230525,181500,24.1665,24.1665,24.1665,24.1665,620,0
BSMP.US,5,20230525,185500,24.171,24.2,24.1703,24.1999,7026,0
BSMP.US,5,20230525,192000,24.19,24.19,24.19,24.19,10150,0
BSMP.US,5,20230525,193000,24.18,24.1801,24.18,24.1801,1200,0
BSMP.US,5,20230525,193500,24.18,24.18,24.18,24.18,1000,0
BSMP.US,5,20230525,194000,24.18,24.18,24.18,24.18,900,0
BSMP.US,5,20230525,194500,24.18,24.185,24.18,24.185,1932,0
BSMP.US,5,20230525,195000,24.18,24.18,24.18,24.18,700,0
BSMP.US,5,20230525,195500,24.18,24.18,24.18,24.18,700,0
BSMP.US,5,20230525,200500,24.18,24.1801,24.18,24.1801,800,0
BSMP.US,5,20230525,202000,24.18,24.18,24.18,24.18,100,0
BSMP.US,5,20230525,202500,24.18,24.18,24.18,24.18,400,0
BSMP.US,5,20230525,203000,24.18,24.18,24.18,24.18,800,0
BSMP.US,5,20230525,203500,24.18,24.1801,24.18,24.1801,600,0
BSMP.US,5,20230525,204500,24.18,24.18,24.18,24.18,163,0
BSMP.US,5,20230525,214000,24.18,24.18,24.18,24.18,100,0
BSMP.US,5,20230525,215000,24.18,24.18,24.17,24.17,404,0
BSMP.US,5,20230525,215500,24.17,24.17,24.16,24.16,1200,0
BSMP.US,5,20230526,153000,24.22,24.22,24.209,24.209,1185,0
BSMP.US,5,20230526,154500,24.195,24.21,24.195,24.21,1971,0
BSMP.US,5,20230526,155000,24.18,24.18,24.18,24.18,1951,0
BSMP.US,5,20230526,161500,24.1801,24.1801,24.1801,24.1801,2000,0
BSMP.US,5,20230526,165000,24.1879,24.1879,24.18,24.18,793,0
BSMP.US,5,20230526,171500,24.17,24.17,24.15,24.15,800,0
BSMP.US,5,20230526,172000,24.15,24.15,24.15,24.15,1400,0
BSMP.US,5,20230526,172500,24.15,24.15,24.15,24.15,1400,0
BSMP.US,5,20230526,173000,24.15,24.15,24.15,24.15,900,0
BSMP.US,5,20230526,183500,24.15,24.15,24.15,24.15,1326,0
BSMP.US,5,20230526,194000,24.17,24.17,24.16,24.1601,468,0
BSMP.US,5,20230526,195000,24.16,24.19,24.16,24.19,314,0
BSMP.US,5,20230526,205000,24.19,24.19,24.19,24.19,100,0
BSMP.US,5,20230526,205500,24.19,24.2,24.19,24.2,4121,0
BSMP.US,5,20230526,215000,24.2,24.2,24.2,24.2,156,0
BSMP.US,5,20230530,153000,24.22,24.24,24.22,24.24,4305,0
BSMP.US,5,20230530,153500,24.2299,24.23,24.2299,24.23,2886,0
BSMP.US,5,20230530,155000,24.23,24.23,24.219,24.219,900,0
BSMP.US,5,20230530,160000,24.229,24.23,24.229,24.2299,332,0
BSMP.US,5,20230530,161500,24.215,24.215,24.215,24.215,359,0
BSMP.US,5,20230530,164500,24.249,24.249,24.249,24.249,103,0
BSMP.US,5,20230530,173500,24.25,24.25,24.2499,24.2499,200,0
BSMP.US,5,20230530,174500,24.235,24.235,24.235,24.235,1487,0
BSMP.US,5,20230530,185500,24.25,24.25,24.2472,24.2472,928,0
BSMP.US,5,20230530,194000,24.245,24.268,24.245,24.268,4200,0
BSMP.US,5,20230530,194500,24.2587,24.2587,24.2587,24.2587,4000,0
BSMP.US,5,20230530,201500,24.27,24.27,24.27,24.27,305,0
BSMP.US,5,20230530,205000,24.27,24.27,24.27,24.27,531,0
BSMP.US,5,20230530,210500,24.2411,24.2411,24.2411,24.2411,225,0
BSMP.US,5,20230530,212500,24.255,24.255,24.255,24.255,1558,0
BSMP.US,5,20230531,153000,24.29,24.3,24.29,24.3,4758,0
BSMP.US,5,20230531,153500,24.28,24.28,24.28,24.28,100,0
BSMP.US,5,20230531,164000,24.281,24.281,24.281,24.281,118,0
BSMP.US,5,20230531,165500,24.29,24.29,24.29,24.29,171,0
BSMP.US,5,20230531,172500,24.3,24.3,24.3,24.3,500,0
BSMP.US,5,20230531,180000,24.28,24.28,24.28,24.28,400,0
BSMP.US,5,20230531,194500,24.28,24.28,24.09,24.24,45837,0
BSMP.US,5,20230531,195000,24.24,24.24,24.23,24.23,2400,0
BSMP.US,5,20230531,195500,24.2301,24.2301,24.2301,24.2301,250,0
BSMP.US,5,20230531,201000,24.24,24.24,24.24,24.24,100,0
BSMP.US,5,20230531,202000,24.25,24.26,24.24,24.24,2500,0
BSMP.US,5,20230531,202500,24.26,24.26,24.26,24.26,700,0
BSMP.US,5,20230531,203000,24.26,24.26,24.26,24.26,800,0
BSMP.US,5,20230531,203500,24.26,24.26,24.26,24.26,600,0
BSMP.US,5,20230531,204000,24.26,24.29,24.26,24.29,5429,0
BSMP.US,5,20230531,210000,24.2699,24.29,24.2699,24.2699,924,0
BSMP.US,5,20230601,155000,24.32,24.32,24.305,24.305,2500,0
BSMP.US,5,20230601,161500,24.319,24.32,24.319,24.32,1000,0
BSMP.US,5,20230601,170500,24.291,24.291,24.29,24.29,310,0
BSMP.US,5,20230601,172500,24.319,24.32,24.305,24.32,4700,0
BSMP.US,5,20230601,173000,24.32,24.32,24.32,24.32,4300,0
BSMP.US,5,20230601,173500,24.319,24.33,24.319,24.33,4600,0
BSMP.US,5,20230601,183500,24.32,24.32,24.32,24.32,1553,0
BSMP.US,5,20230601,184000,24.3073,24.3073,24.3073,24.3073,1440,0
BSMP.US,5,20230601,184500,24.3033,24.3033,24.3033,24.3033,453,0
BSMP.US,5,20230601,190000,24.3,24.3,24.3,24.3,137,0
BSMP.US,5,20230601,190500,24.319,24.32,24.319,24.32,400,0
BSMP.US,5,20230601,192500,24.3,24.3,24.3,24.3,100,0
BSMP.US,5,20230601,205000,24.315,24.33,24.315,24.3199,2372,0
BSMP.US,5,20230601,211000,24.329,24.33,24.329,24.3299,3164,0
BSMP.US,5,20230601,211500,24.3001,24.3001,24.3001,24.3001,188,0
BSMP.US,5,20230601,212500,24.3,24.3,24.3,24.3,100,0
BSMP.US,5,20230601,213000,24.31,24.31,24.31,24.31,414,0
BSMP.US,5,20230601,213500,24.3,24.3,24.3,24.3,100,0
BSMP.US,5,20230601,214500,24.319,24.32,24.3,24.3,1100,0
BSMP.US,5,20230601,215000,24.3,24.3,24.3,24.3,100,0
BSMP.US,5,20230602,155000,24.307,24.307,24.307,24.307,573,0
BSMP.US,5,20230602,163000,24.296,24.296,24.296,24.296,682,0
BSMP.US,5,20230602,164000,24.2999,24.3,24.2999,24.3,408,0
BSMP.US,5,20230602,171500,24.299,24.3,24.299,24.3,550,0
BSMP.US,5,20230602,172500,24.3,24.3,24.3,24.3,174,0
BSMP.US,5,20230602,173000,24.3,24.3,24.2935,24.2981,4336,0
BSMP.US,5,20230602,180500,24.2884,24.2884,24.2884,24.2884,160,0
BSMP.US,5,20230602,183000,24.29,24.3,24.2867,24.2867,836,0
BSMP.US,5,20230602,185500,24.29,24.29,24.29,24.29,159,0
BSMP.US,5,20230602,191500,24.299,24.3,24.299,24.2999,500,0
BSMP.US,5,20230602,194000,24.3,24.3,24.2999,24.2999,300,0
BSMP.US,5,20230602,201500,24.2601,24.2601,24.2601,24.2601,100,0
BSMP.US,5,20230602,204000,24.29,24.29,24.275,24.275,1298,0
BSMP.US,5,20230602,205500,24.29,24.29,24.2899,24.2899,714,0
BSMP.US,5,20230602,215500,24.29,24.29,24.29,24.29,294,0
BSMP.US,5,20230605,153000,24.28,24.28,24.28,24.28,271,0
BSMP.US,5,20230605,173000,24.3,24.3,24.3,24.3,1100,0
BSMP.US,5,20230605,174000,24.299,24.3,24.299,24.2999,784,0
BSMP.US,5,20230605,182500,24.29,24.295,24.27,24.2701,4391,0
BSMP.US,5,20230605,183500,24.296,24.296,24.296,24.296,123,0
BSMP.US,5,20230605,185000,24.31,24.31,24.2801,24.2801,353,0
BSMP.US,5,20230605,190000,24.309,24.309,24.309,24.309,100,0
BSMP.US,5,20230605,191000,24.31,24.31,24.295,24.295,2838,0
BSMP.US,5,20230605,193000,24.31,24.31,24.3099,24.3099,204,0
BSMP.US,5,20230605,193500,24.304,24.304,24.304,24.304,700,0
BSMP.US,5,20230605,210500,24.315,24.315,24.315,24.315,100,0
