<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMQ.US,5,20230522,160000,23.39,23.39,23.39,23.39,200,0
BSMQ.US,5,20230522,160500,23.39,23.39,23.39,23.39,100,0
BSMQ.US,5,20230522,162500,23.37,23.37,23.37,23.37,400,0
BSMQ.US,5,20230522,181500,23.3506,23.3506,23.3506,23.3506,480,0
BSMQ.US,5,20230522,184000,23.35,23.3501,23.35,23.3501,480,0
BSMQ.US,5,20230522,202000,23.365,23.365,23.3545,23.3545,2767,0
BSMQ.US,5,20230522,210000,23.37,23.37,23.37,23.37,640,0
BSMQ.US,5,20230522,215500,23.34,23.34,23.34,23.34,103,0
BSMQ.US,5,20230523,160500,23.34,23.34,23.31,23.31,2323,0
BSMQ.US,5,20230523,162500,23.34,23.3401,23.34,23.3401,606,0
BSMQ.US,5,20230523,173500,23.34,23.3401,23.34,23.3401,1008,0
BSMQ.US,5,20230523,182500,23.358,23.358,23.345,23.345,914,0
BSMQ.US,5,20230523,192500,23.35,23.35,23.35,23.35,340,0
BSMQ.US,5,20230523,200500,23.345,23.345,23.345,23.345,400,0
BSMQ.US,5,20230523,201000,23.3401,23.3401,23.34,23.34,312,0
BSMQ.US,5,20230523,203000,23.3201,23.3201,23.3201,23.3201,440,0
BSMQ.US,5,20230523,210000,23.3273,23.3273,23.3273,23.3273,1371,0
BSMQ.US,5,20230523,215500,23.32,23.32,23.32,23.32,127,0
BSMQ.US,5,20230524,155000,23.321,23.321,23.321,23.321,319,0
BSMQ.US,5,20230524,171000,23.32,23.32,23.3,23.3,300,0
BSMQ.US,5,20230524,171500,23.3,23.3,23.3,23.3,400,0
BSMQ.US,5,20230524,172000,23.2948,23.2948,23.2948,23.2948,367,0
BSMQ.US,5,20230524,172500,23.305,23.305,23.29,23.29,600,0
BSMQ.US,5,20230524,173500,23.29,23.29,23.29,23.29,600,0
BSMQ.US,5,20230524,174000,23.29,23.29,23.29,23.29,300,0
BSMQ.US,5,20230524,174500,23.29,23.29,23.29,23.29,100,0
BSMQ.US,5,20230524,175000,23.29,23.29,23.29,23.29,100,0
BSMQ.US,5,20230524,184500,23.2701,23.2701,23.27,23.27,602,0
BSMQ.US,5,20230524,200500,23.29,23.29,23.29,23.29,301,0
BSMQ.US,5,20230524,201500,23.2812,23.2812,23.2812,23.2812,1185,0
BSMQ.US,5,20230524,205000,23.295,23.31,23.295,23.31,3867,0
BSMQ.US,5,20230524,205500,23.31,23.31,23.28,23.2801,21512,0
BSMQ.US,5,20230524,210000,23.3,23.31,23.3,23.31,500,0
BSMQ.US,5,20230524,215500,23.28,23.28,23.28,23.28,100,0
BSMQ.US,5,20230525,161500,23.3,23.3,23.2999,23.2999,430,0
BSMQ.US,5,20230525,181500,23.299,23.3,23.299,23.3,643,0
BSMQ.US,5,20230525,182000,23.29,23.29,23.29,23.29,100,0
BSMQ.US,5,20230525,185500,23.319,23.33,23.319,23.33,3698,0
BSMQ.US,5,20230525,200500,23.3001,23.3001,23.3001,23.3001,462,0
BSMQ.US,5,20230525,215000,23.309,23.309,23.309,23.309,100,0
BSMQ.US,5,20230526,153000,23.33,23.33,23.33,23.33,318,0
BSMQ.US,5,20230526,165000,23.3102,23.3102,23.3102,23.3102,197,0
BSMQ.US,5,20230526,171500,23.315,23.315,23.31,23.31,2239,0
BSMQ.US,5,20230526,172000,23.315,23.315,23.315,23.315,109,0
BSMQ.US,5,20230526,181500,23.319,23.319,23.2907,23.2907,3700,0
BSMQ.US,5,20230526,194000,23.3001,23.3001,23.3,23.3,594,0
BSMQ.US,5,20230526,195000,23.3,23.33,23.3,23.33,324,0
BSMQ.US,5,20230526,205500,23.33,23.33,23.33,23.33,2100,0
BSMQ.US,5,20230526,215500,23.33,23.33,23.33,23.33,100,0
BSMQ.US,5,20230530,153000,23.358,23.37,23.358,23.37,4200,0
