<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMR.US,5,20230522,181500,23.42,23.42,23.42,23.42,484,0
BSMR.US,5,20230522,184000,23.4262,23.4262,23.4262,23.4262,243,0
BSMR.US,5,20230522,185500,23.46,23.47,23.4599,23.4599,2322,0
BSMR.US,5,20230522,202000,23.46,23.46,23.4587,23.4587,2758,0
BSMR.US,5,20230522,210000,23.46,23.46,23.46,23.46,638,0
BSMR.US,5,20230523,162500,23.421,23.421,23.421,23.421,335,0
BSMR.US,5,20230523,163000,23.4201,23.4201,23.4201,23.4201,2500,0
BSMR.US,5,20230523,173500,23.4,23.4007,23.4,23.4,1208,0
BSMR.US,5,20230523,174000,23.4138,23.4138,23.4138,23.4138,146,0
BSMR.US,5,20230523,185000,23.419,23.42,23.419,23.42,900,0
BSMR.US,5,20230523,192500,23.41,23.41,23.4,23.4,2140,0
BSMR.US,5,20230523,203000,23.3801,23.3801,23.3801,23.3801,272,0
BSMR.US,5,20230523,210000,23.4,23.4,23.4,23.4,1300,0
BSMR.US,5,20230523,213500,23.4,23.4,23.4,23.4,295,0
BSMR.US,5,20230524,160500,23.39,23.39,23.39,23.39,1377,0
BSMR.US,5,20230524,164000,23.37,23.37,23.37,23.37,200,0
BSMR.US,5,20230524,164500,23.37,23.37,23.35,23.35,500,0
BSMR.US,5,20230524,171000,23.37,23.39,23.35,23.37,1007,0
BSMR.US,5,20230524,172000,23.35,23.3511,23.35,23.3511,764,0
BSMR.US,5,20230524,173000,23.35,23.35,23.35,23.35,554,0
BSMR.US,5,20230524,174000,23.34,23.35,23.32,23.32,2200,0
BSMR.US,5,20230524,175000,23.34,23.34,23.33,23.33,600,0
BSMR.US,5,20230524,175500,23.33,23.33,23.33,23.33,100,0
BSMR.US,5,20230524,180000,23.32,23.32,23.32,23.32,100,0
BSMR.US,5,20230524,180500,23.32,23.32,23.32,23.32,200,0
BSMR.US,5,20230524,181000,23.32,23.32,23.32,23.32,100,0
BSMR.US,5,20230524,183000,23.31,23.31,23.31,23.31,2274,0
BSMR.US,5,20230524,184500,23.3277,23.3277,23.3277,23.3277,192,0
BSMR.US,5,20230524,190000,23.32,23.32,23.32,23.32,700,0
BSMR.US,5,20230524,193500,23.32,23.32,23.32,23.32,100,0
BSMR.US,5,20230524,194000,23.32,23.32,23.32,23.32,900,0
BSMR.US,5,20230524,195000,23.32,23.32,23.32,23.32,700,0
BSMR.US,5,20230524,200500,23.33,23.33,23.33,23.33,300,0
BSMR.US,5,20230524,201500,23.32,23.333,23.32,23.32,1884,0
BSMR.US,5,20230524,202000,23.34,23.34,23.32,23.32,892,0
BSMR.US,5,20230524,203000,23.32,23.32,23.32,23.32,1200,0
BSMR.US,5,20230524,203500,23.32,23.32,23.32,23.32,1000,0
BSMR.US,5,20230524,204000,23.32,23.32,23.32,23.32,400,0
BSMR.US,5,20230524,205000,23.335,23.335,23.335,23.335,1715,0
BSMR.US,5,20230524,205500,23.3262,23.3262,23.3262,23.3262,158,0
BSMR.US,5,20230524,210000,23.33,23.33,23.33,23.33,1197,0
BSMR.US,5,20230524,210500,23.33,23.33,23.33,23.33,165,0
BSMR.US,5,20230525,164000,23.35,23.36,23.35,23.36,2863,0
BSMR.US,5,20230525,181500,23.349,23.35,23.34,23.35,620,0
BSMR.US,5,20230525,185500,23.381,23.381,23.381,23.381,2591,0
BSMR.US,5,20230525,193500,23.375,23.39,23.375,23.39,4500,0
BSMR.US,5,20230525,200500,23.36,23.3601,23.36,23.3601,888,0
BSMR.US,5,20230526,153000,23.41,23.41,23.4012,23.4012,599,0
BSMR.US,5,20230526,162000,23.419,23.419,23.419,23.419,120,0
BSMR.US,5,20230526,165000,23.3803,23.3803,23.3803,23.3803,196,0
BSMR.US,5,20230526,171500,23.39,23.41,23.37,23.37,3978,0
BSMR.US,5,20230526,172000,23.4,23.4,23.4,23.4,107,0
BSMR.US,5,20230526,194000,23.392,23.392,23.392,23.392,325,0
BSMR.US,5,20230526,195000,23.3918,23.3918,23.3918,23.3918,120,0
BSMR.US,5,20230526,195500,23.41,23.41,23.41,23.41,125,0
BSMR.US,5,20230526,205500,23.395,23.395,23.395,23.395,4275,0
BSMR.US,5,20230526,215000,23.39,23.39,23.39,23.39,165,0
BSMR.US,5,20230530,160000,23.43,23.43,23.4299,23.4299,368,0
BSMR.US,5,20230530,164500,23.4485,23.4485,23.4485,23.4485,113,0
BSMR.US,5,20230530,173500,23.4583,23.4583,23.4583,23.4583,140,0
BSMR.US,5,20230530,194500,23.48,23.48,23.48,23.48,100,0
BSMR.US,5,20230530,195000,23.4757,23.4757,23.4757,23.4757,353,0
BSMR.US,5,20230530,205000,23.48,23.48,23.48,23.48,342,0
BSMR.US,5,20230530,210500,23.48,23.48,23.48,23.48,229,0
BSMR.US,5,20230530,212500,23.45,23.465,23.45,23.4642,2844,0
BSMR.US,5,20230531,162000,23.505,23.505,23.505,23.505,1000,0
BSMR.US,5,20230531,165500,23.5001,23.5001,23.5001,23.5001,173,0
BSMR.US,5,20230531,180000,23.4904,23.4904,23.4904,23.4904,423,0
BSMR.US,5,20230531,194500,23.5,23.5001,23.5,23.5001,866,0
BSMR.US,5,20230531,203000,23.51,23.51,23.51,23.51,20250,0
BSMR.US,5,20230531,204000,23.51,23.51,23.51,23.51,5900,0
BSMR.US,5,20230531,213000,23.51,23.51,23.51,23.51,24950,0
BSMR.US,5,20230531,215500,23.515,23.515,23.515,23.515,100,0
BSMR.US,5,20230601,153000,23.59,23.59,23.59,23.59,1050,0
BSMR.US,5,20230601,183500,23.545,23.545,23.545,23.545,200,0
BSMR.US,5,20230601,184000,23.55,23.56,23.5483,23.5483,1351,0
BSMR.US,5,20230601,205000,23.5421,23.5421,23.5421,23.5421,1276,0
BSMR.US,5,20230601,211000,23.58,23.58,23.5571,23.5571,426,0
BSMR.US,5,20230601,211500,23.555,23.58,23.555,23.5799,1260,0
BSMR.US,5,20230601,212500,23.555,23.555,23.555,23.555,100,0
BSMR.US,5,20230601,213000,23.555,23.555,23.555,23.555,100,0
BSMR.US,5,20230601,215500,23.555,23.555,23.555,23.555,100,0
BSMR.US,5,20230602,164500,23.52,23.52,23.5195,23.5195,1005,0
BSMR.US,5,20230602,170500,23.524,23.524,23.524,23.524,1200,0
BSMR.US,5,20230602,172500,23.53,23.53,23.53,23.53,182,0
BSMR.US,5,20230602,180500,23.5,23.5,23.5,23.5,168,0
BSMR.US,5,20230602,183000,23.51,23.51,23.5067,23.51,1280,0
BSMR.US,5,20230602,185500,23.495,23.495,23.495,23.495,165,0
BSMR.US,5,20230602,200000,23.5025,23.5025,23.5025,23.5025,250,0
BSMR.US,5,20230602,204000,23.49,23.49,23.49,23.49,723,0
BSMR.US,5,20230602,213500,23.4998,23.4998,23.4998,23.4998,250,0
BSMR.US,5,20230602,215500,23.5,23.5,23.5,23.5,100,0
BSMR.US,5,20230605,163000,23.51,23.51,23.51,23.51,1373,0
BSMR.US,5,20230605,170000,23.52,23.53,23.52,23.53,500,0
BSMR.US,5,20230605,173000,23.518,23.518,23.518,23.518,1000,0
BSMR.US,5,20230605,190000,23.54,23.54,23.515,23.515,1406,0
BSMR.US,5,20230605,191000,23.53,23.56,23.513,23.513,4312,0
BSMR.US,5,20230605,193500,23.52,23.52,23.52,23.52,106,0
BSMR.US,5,20230605,210500,23.525,23.525,23.525,23.525,686,0
BSMR.US,5,20230606,153000,23.5894,23.618,23.5894,23.6036,1900,0
BSMR.US,5,20230606,175000,23.57,23.58,23.57,23.58,1319,0
BSMR.US,5,20230606,175500,23.58,23.58,23.58,23.58,3174,0
BSMR.US,5,20230606,180500,23.58,23.58,23.58,23.58,600,0
BSMR.US,5,20230606,184000,23.5699,23.5699,23.5699,23.5699,952,0
BSMR.US,5,20230606,214000,23.5799,23.5799,23.5799,23.5799,1111,0
BSMR.US,5,20230607,155500,23.58,23.58,23.58,23.58,500,0
BSMR.US,5,20230607,173500,23.57,23.57,23.5667,23.5692,3772,0
BSMR.US,5,20230607,182500,23.57,23.57,23.5697,23.5697,2547,0
BSMR.US,5,20230607,191500,23.57,23.57,23.565,23.565,6040,0
BSMR.US,5,20230607,200500,23.565,23.568,23.565,23.568,1231,0
BSMR.US,5,20230607,215000,23.5333,23.5333,23.5333,23.5333,447,0
BSMR.US,5,20230608,164000,23.55,23.55,23.54,23.54,53792,0
BSMR.US,5,20230608,165500,23.5708,23.58,23.565,23.574,7189,0
BSMR.US,5,20230608,170500,23.565,23.574,23.565,23.571,360,0
BSMR.US,5,20230608,171500,23.57,23.58,23.57,23.58,850,0
BSMR.US,5,20230608,185500,23.5584,23.5584,23.5584,23.5584,685,0
BSMR.US,5,20230608,190500,23.58,23.58,23.58,23.58,100,0
BSMR.US,5,20230608,194000,23.5664,23.5664,23.5664,23.5664,110,0
BSMR.US,5,20230608,205500,23.565,23.565,23.565,23.565,382,0
BSMR.US,5,20230608,213000,23.58,23.58,23.58,23.58,100,0
BSMR.US,5,20230608,214000,23.565,23.58,23.565,23.565,2200,0
BSMR.US,5,20230608,214500,23.565,23.565,23.565,23.565,305,0
BSMR.US,5,20230608,215000,23.58,23.58,23.58,23.58,100,0
BSMR.US,5,20230608,215500,23.59,23.59,23.56,23.56,1000,0
BSMR.US,5,20230609,161000,23.57,23.57,23.54,23.54,1909,0
BSMR.US,5,20230609,163000,23.555,23.555,23.555,23.555,300,0
BSMR.US,5,20230609,170500,23.555,23.555,23.54,23.54,300,0
BSMR.US,5,20230609,171000,23.54,23.54,23.54,23.54,800,0
BSMR.US,5,20230609,171500,23.53,23.53,23.53,23.53,863,0
BSMR.US,5,20230609,175500,23.55,23.55,23.55,23.55,1226,0
BSMR.US,5,20230609,180000,23.55,23.55,23.55,23.55,2100,0
BSMR.US,5,20230609,191000,23.53,23.55,23.53,23.55,5598,0
BSMR.US,5,20230609,202000,23.53,23.53,23.53,23.53,426,0
BSMR.US,5,20230609,204500,23.5405,23.5405,23.5405,23.5405,108,0
BSMR.US,5,20230609,213000,23.55,23.57,23.55,23.55,3000,0
BSMR.US,5,20230609,214500,23.5541,23.5541,23.5541,23.5541,2430,0
BSMR.US,5,20230612,153000,23.63,23.63,23.63,23.63,1186,0
BSMR.US,5,20230612,154000,23.565,23.565,23.565,23.565,100,0
BSMR.US,5,20230612,163000,23.59,23.59,23.57,23.575,1100,0
BSMR.US,5,20230612,163500,23.56,23.56,23.56,23.56,100,0
BSMR.US,5,20230612,164000,23.5501,23.5501,23.5501,23.5501,103,0
BSMR.US,5,20230612,173500,23.56,23.56,23.56,23.56,324,0
BSMR.US,5,20230612,182500,23.56,23.56,23.56,23.56,100,0
BSMR.US,5,20230612,184500,23.56,23.57,23.56,23.5605,1501,0
BSMR.US,5,20230612,185000,23.57,23.57,23.565,23.565,1795,0
