<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMS.US,5,20230522,165000,23.2086,23.2086,23.2086,23.2086,1418,0
BSMS.US,5,20230522,181500,23.19,23.19,23.19,23.19,493,0
BSMS.US,5,20230522,204000,23.2,23.21,23.2,23.21,1640,0
BSMS.US,5,20230523,162500,23.18,23.1801,23.18,23.1801,746,0
BSMS.US,5,20230523,163000,23.195,23.195,23.1701,23.1812,4019,0
BSMS.US,5,20230523,173500,23.17,23.1701,23.13,23.13,710,0
BSMS.US,5,20230523,191500,23.16,23.16,23.16,23.16,100,0
BSMS.US,5,20230523,192500,23.15,23.15,23.14,23.14,5400,0
BSMS.US,5,20230523,203000,23.13,23.1409,23.13,23.13,930,0
BSMS.US,5,20230523,210000,23.145,23.145,23.145,23.145,1379,0
BSMS.US,5,20230523,211500,23.16,23.16,23.16,23.16,100,0
BSMS.US,5,20230523,213000,23.16,23.16,23.16,23.16,100,0
BSMS.US,5,20230523,213500,23.1301,23.1301,23.1301,23.1301,293,0
BSMS.US,5,20230523,214500,23.145,23.145,23.145,23.145,100,0
BSMS.US,5,20230523,215500,23.145,23.145,23.145,23.145,100,0
BSMS.US,5,20230524,153000,23.16,23.16,23.16,23.16,446,0
BSMS.US,5,20230524,171000,23.12,23.12,23.12,23.12,158,0
BSMS.US,5,20230524,200500,23.1,23.1,23.1,23.1,309,0
BSMS.US,5,20230525,165500,23.0746,23.0746,23.06,23.06,620,0
BSMS.US,5,20230525,181500,23.075,23.075,23.075,23.075,650,0
BSMS.US,5,20230525,193500,23.119,23.119,23.119,23.119,1175,0
BSMS.US,5,20230525,200500,23.12,23.12,23.12,23.12,436,0
BSMS.US,5,20230525,204500,23.105,23.105,23.105,23.105,432,0
BSMS.US,5,20230526,162000,23.159,23.159,23.159,23.159,121,0
BSMS.US,5,20230526,171500,23.12,23.14,23.09,23.09,4147,0
BSMS.US,5,20230526,172000,23.13,23.13,23.13,23.13,110,0
BSMS.US,5,20230526,181500,23.11,23.11,23.07,23.07,3700,0
BSMS.US,5,20230526,185000,23.13,23.13,23.13,23.13,100,0
BSMS.US,5,20230526,195500,23.125,23.125,23.125,23.125,125,0
BSMS.US,5,20230530,160000,23.155,23.155,23.155,23.155,618,0
BSMS.US,5,20230530,162500,23.1999,23.1999,23.1999,23.1999,158,0
BSMS.US,5,20230530,185500,23.205,23.205,23.205,23.205,698,0
BSMS.US,5,20230530,210500,23.2,23.2,23.2,23.2,250,0
BSMS.US,5,20230530,211000,23.21,23.22,23.21,23.215,9851,0
BSMS.US,5,20230530,211500,23.21,23.21,23.21,23.21,100,0
BSMS.US,5,20230530,212500,23.21,23.21,23.2,23.2,2635,0
BSMS.US,5,20230530,213500,23.21,23.21,23.21,23.21,100,0
BSMS.US,5,20230530,215000,23.21,23.21,23.21,23.21,300,0
BSMS.US,5,20230530,215500,23.21,23.21,23.21,23.21,100,0
BSMS.US,5,20230531,154000,23.25,23.25,23.25,23.25,1500,0
BSMS.US,5,20230531,154500,23.26,23.26,23.25,23.25,4400,0
BSMS.US,5,20230531,155000,23.25,23.25,23.25,23.25,1600,0
BSMS.US,5,20230531,164000,23.23,23.23,23.2,23.2,3860,0
BSMS.US,5,20230531,194500,23.25,23.2501,23.25,23.2501,874,0
BSMS.US,5,20230531,202000,23.25,23.25,23.24,23.24,4600,0
BSMS.US,5,20230531,203000,23.25,23.25,23.25,23.25,10775,0
BSMS.US,5,20230531,213000,23.25,23.25,23.25,23.25,25160,0
BSMS.US,5,20230601,161500,23.32,23.32,23.32,23.32,100,0
BSMS.US,5,20230601,182000,23.3099,23.3099,23.3099,23.3099,144,0
BSMS.US,5,20230601,191000,23.29,23.31,23.29,23.31,2597,0
BSMS.US,5,20230601,192500,23.304,23.304,23.304,23.304,1000,0
BSMS.US,5,20230601,205000,23.3099,23.3099,23.3099,23.3099,1290,0
BSMS.US,5,20230601,211000,23.28,23.28,23.28,23.28,300,0
BSMS.US,5,20230601,211500,23.28,23.295,23.28,23.295,559,0
BSMS.US,5,20230602,154000,23.27,23.2701,23.27,23.2701,924,0
BSMS.US,5,20230602,171000,23.24,23.24,23.24,23.24,216,0
BSMS.US,5,20230602,180500,23.2495,23.2495,23.2495,23.2495,171,0
BSMS.US,5,20230602,183000,23.2499,23.2499,23.2499,23.2499,490,0
BSMS.US,5,20230602,192000,23.25,23.26,23.25,23.26,4000,0
BSMS.US,5,20230602,195000,23.25,23.25,23.2499,23.2499,462,0
BSMS.US,5,20230602,213500,23.2314,23.2314,23.2314,23.2314,250,0
BSMS.US,5,20230605,155500,23.2001,23.2001,23.2001,23.2001,927,0
BSMS.US,5,20230605,182500,23.2899,23.2899,23.2899,23.2899,672,0
BSMS.US,5,20230605,190000,23.285,23.285,23.285,23.285,774,0
BSMS.US,5,20230605,191000,23.29,23.3,23.2899,23.2899,4354,0
BSMS.US,5,20230605,194000,23.28,23.28,23.28,23.28,107,0
BSMS.US,5,20230606,153000,23.348,23.35,23.348,23.3499,2150,0
BSMS.US,5,20230606,175000,23.32,23.33,23.32,23.33,400,0
BSMS.US,5,20230606,180500,23.34,23.34,23.34,23.34,4230,0
BSMS.US,5,20230606,181500,23.33,23.34,23.33,23.34,500,0
BSMS.US,5,20230606,182000,23.33,23.33,23.33,23.33,100,0
BSMS.US,5,20230606,192500,23.3189,23.3189,23.3189,23.3189,125,0
BSMS.US,5,20230606,193500,23.3102,23.3102,23.3102,23.3102,185,0
BSMS.US,5,20230606,214000,23.33,23.34,23.3299,23.3299,2136,0
BSMS.US,5,20230607,172000,23.31,23.31,23.31,23.31,858,0
BSMS.US,5,20230607,173500,23.3099,23.3099,23.3099,23.3099,300,0
BSMS.US,5,20230607,182500,23.31,23.31,23.305,23.305,1998,0
BSMS.US,5,20230607,184500,23.3,23.3,23.25,23.25,5872,0
BSMS.US,5,20230607,190000,23.25,23.25,23.25,23.25,100,0
BSMS.US,5,20230607,191500,23.25,23.28,23.25,23.28,4035,0
BSMS.US,5,20230607,192500,23.25,23.25,23.21,23.21,3023,0
BSMS.US,5,20230607,194000,23.26,23.26,23.26,23.26,100,0
BSMS.US,5,20230607,195500,23.26,23.26,23.26,23.26,100,0
BSMS.US,5,20230607,200500,23.275,23.275,23.275,23.275,1247,0
BSMS.US,5,20230608,164000,23.33,23.33,23.33,23.33,19193,0
BSMS.US,5,20230608,170000,23.33,23.33,23.33,23.33,9429,0
BSMS.US,5,20230608,170500,23.315,23.315,23.315,23.315,325,0
BSMS.US,5,20230608,171500,23.315,23.33,23.315,23.315,3400,0
BSMS.US,5,20230608,194000,23.3399,23.34,23.3399,23.34,222,0
BSMS.US,5,20230608,205500,23.3101,23.3101,23.3101,23.3101,386,0
BSMS.US,5,20230608,212500,23.325,23.325,23.325,23.325,1000,0
BSMS.US,5,20230608,213000,23.325,23.325,23.325,23.325,728,0
BSMS.US,5,20230608,214500,23.34,23.34,23.34,23.34,1200,0
BSMS.US,5,20230608,215500,23.34,23.37,23.335,23.37,10100,0
BSMS.US,5,20230609,161000,23.3003,23.3003,23.3003,23.3003,2030,0
BSMS.US,5,20230609,164000,23.2903,23.2915,23.2903,23.2915,299,0
BSMS.US,5,20230609,170500,23.305,23.305,23.305,23.305,200,0
BSMS.US,5,20230609,171000,23.29,23.32,23.29,23.32,900,0
BSMS.US,5,20230609,171500,23.33,23.33,23.29,23.29,1000,0
BSMS.US,5,20230609,172000,23.32,23.32,23.32,23.32,100,0
BSMS.US,5,20230609,172500,23.32,23.32,23.32,23.32,300,0
BSMS.US,5,20230609,173500,23.32,23.32,23.32,23.32,700,0
BSMS.US,5,20230609,174000,23.32,23.32,23.32,23.32,600,0
