<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMT.US,5,20230522,181500,22.801,22.801,22.8,22.8,500,0
BSMT.US,5,20230522,185500,22.83,22.87,22.8299,22.8299,2568,0
BSMT.US,5,20230522,191000,22.85,22.9,22.85,22.9,2536,0
BSMT.US,5,20230522,210000,22.83,22.83,22.83,22.83,655,0
BSMT.US,5,20230523,153000,22.85,22.85,22.85,22.85,216,0
BSMT.US,5,20230523,163000,22.8101,22.8101,22.8101,22.8101,2539,0
BSMT.US,5,20230523,173500,22.81,22.8101,22.79,22.79,700,0
BSMT.US,5,20230523,203000,22.78,22.78,22.77,22.77,443,0
BSMT.US,5,20230523,210000,22.79,22.79,22.7899,22.7899,2808,0
BSMT.US,5,20230523,213500,22.7701,22.7701,22.7701,22.7701,297,0
BSMT.US,5,20230523,215000,22.7868,22.7868,22.7868,22.7868,200,0
BSMT.US,5,20230523,215500,22.7868,22.79,22.78,22.78,1000,0
BSMT.US,5,20230524,171500,22.7499,22.7499,22.7499,22.7499,417,0
BSMT.US,5,20230524,210000,22.73,22.73,22.73,22.73,615,0
BSMT.US,5,20230524,212000,22.72,22.72,22.72,22.72,400,0
BSMT.US,5,20230524,212500,22.72,22.72,22.72,22.72,700,0
BSMT.US,5,20230524,213000,22.72,22.72,22.72,22.72,400,0
BSMT.US,5,20230524,214500,22.73,22.73,22.73,22.73,100,0
BSMT.US,5,20230524,215000,22.73,22.73,22.73,22.73,200,0
BSMT.US,5,20230524,215500,22.73,22.73,22.73,22.73,100,0
BSMT.US,5,20230525,164000,22.68,22.695,22.68,22.68,1384,0
BSMT.US,5,20230525,181500,22.72,22.72,22.72,22.72,661,0
BSMT.US,5,20230525,190500,22.7383,22.7383,22.7383,22.7383,100,0
BSMT.US,5,20230525,193500,22.74,22.74,22.72,22.72,1686,0
BSMT.US,5,20230525,200500,22.7152,22.7152,22.7152,22.7152,424,0
BSMT.US,5,20230525,210000,22.74,22.74,22.74,22.74,200,0
BSMT.US,5,20230525,211500,22.73,22.73,22.73,22.73,100,0
BSMT.US,5,20230525,214500,22.73,22.73,22.73,22.73,159,0
BSMT.US,5,20230526,153000,22.72,22.72,22.72,22.72,176,0
BSMT.US,5,20230526,160500,22.76,22.76,22.76,22.76,2866,0
BSMT.US,5,20230526,165500,22.76,22.76,22.76,22.76,200,0
BSMT.US,5,20230526,171000,22.765,22.765,22.765,22.765,100,0
BSMT.US,5,20230526,172000,22.77,22.77,22.77,22.77,900,0
BSMT.US,5,20230526,172500,22.775,22.775,22.775,22.775,100,0
BSMT.US,5,20230526,193000,22.78,22.83,22.78,22.82,1400,0
BSMT.US,5,20230526,205500,22.79,22.82,22.79,22.82,2067,0
BSMT.US,5,20230530,160000,22.7983,22.7983,22.7983,22.7983,118,0
BSMT.US,5,20230530,161500,22.8,22.8,22.8,22.8,100,0
BSMT.US,5,20230530,162500,22.84,22.84,22.84,22.84,169,0
BSMT.US,5,20230530,185500,22.86,22.905,22.86,22.87,709,0
BSMT.US,5,20230530,202500,22.8301,22.8301,22.83,22.8301,1024,0
BSMT.US,5,20230530,205000,22.86,22.86,22.86,22.86,176,0
BSMT.US,5,20230530,210000,22.87,22.87,22.8645,22.8645,714,0
BSMT.US,5,20230530,210500,22.8555,22.8555,22.8555,22.8555,252,0
BSMT.US,5,20230530,211000,22.88,22.98,22.8783,22.89,18181,0
BSMT.US,5,20230530,212500,22.871,22.871,22.87,22.87,1709,0
BSMT.US,5,20230530,213500,22.8774,22.8774,22.8774,22.8774,440,0
BSMT.US,5,20230531,194500,22.9,22.9,22.9,22.9,440,0
BSMT.US,5,20230531,204000,22.91,22.96,22.91,22.96,2671,0
BSMT.US,5,20230531,210500,22.895,22.895,22.895,22.895,600,0
BSMT.US,5,20230531,213500,22.91,22.91,22.91,22.91,100,0
BSMT.US,5,20230531,215500,22.92,22.92,22.92,22.92,120,0
BSMT.US,5,20230601,161500,22.951,22.951,22.951,22.951,100,0
BSMT.US,5,20230601,182000,22.9499,22.9499,22.9499,22.9499,146,0
BSMT.US,5,20230601,191000,22.95,22.99,22.9499,22.99,2434,0
BSMT.US,5,20230601,194500,22.95,22.95,22.95,22.95,100,0
BSMT.US,5,20230601,201000,22.96,22.96,22.96,22.96,100,0
BSMT.US,5,20230601,202000,22.935,22.9519,22.935,22.9519,247,0
BSMT.US,5,20230601,203000,22.96,22.96,22.9599,22.9599,500,0
BSMT.US,5,20230601,205000,22.96,22.96,22.96,22.96,100,0
BSMT.US,5,20230601,211000,22.96,22.96,22.96,22.96,100,0
BSMT.US,5,20230601,212500,22.945,22.96,22.945,22.945,500,0
BSMT.US,5,20230601,214000,22.96,22.96,22.945,22.945,200,0
BSMT.US,5,20230601,215000,22.96,22.96,22.96,22.96,200,0
