<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMU.US,5,20230522,180000,21.78,21.78,21.78,21.78,100,0
BSMU.US,5,20230522,183500,21.74,21.74,21.74,21.74,452,0
BSMU.US,5,20230522,191000,21.78,21.82,21.78,21.82,2760,0
BSMU.US,5,20230522,205000,21.77,21.77,21.77,21.77,200,0
BSMU.US,5,20230522,210000,21.769,21.78,21.769,21.78,687,0
BSMU.US,5,20230522,211500,21.78,21.78,21.78,21.78,200,0
BSMU.US,5,20230522,212000,21.765,21.78,21.765,21.78,300,0
BSMU.US,5,20230522,214000,21.765,21.765,21.765,21.765,300,0
BSMU.US,5,20230522,215000,21.77,21.77,21.765,21.765,300,0
BSMU.US,5,20230522,215500,21.765,21.8,21.765,21.78,1887,0
BSMU.US,5,20230523,173500,21.71,21.7101,21.71,21.71,1090,0
BSMU.US,5,20230523,203000,21.74,21.74,21.74,21.74,178,0
BSMU.US,5,20230523,204500,21.725,21.725,21.725,21.725,2690,0
BSMU.US,5,20230523,210000,21.7399,21.7399,21.7399,21.7399,1470,0
BSMU.US,5,20230523,213500,21.7299,21.7299,21.72,21.72,295,0
BSMU.US,5,20230524,173000,21.67,21.67,21.67,21.67,100,0
BSMU.US,5,20230524,192500,21.65,21.65,21.65,21.65,100,0
BSMU.US,5,20230524,203000,21.665,21.665,21.665,21.665,100,0
BSMU.US,5,20230524,204000,21.665,21.665,21.665,21.665,200,0
BSMU.US,5,20230524,205000,21.665,21.665,21.665,21.665,200,0
BSMU.US,5,20230524,205500,21.67,21.67,21.66,21.66,200,0
BSMU.US,5,20230524,210000,21.66,21.66,21.66,21.66,600,0
BSMU.US,5,20230525,181500,21.61,21.61,21.61,21.61,693,0
BSMU.US,5,20230525,193500,21.6497,21.6497,21.6497,21.6497,1880,0
BSMU.US,5,20230525,200500,21.62,21.6201,21.61,21.61,896,0
BSMU.US,5,20230525,204000,21.66,21.71,21.6599,21.6599,4212,0
BSMU.US,5,20230526,153000,21.72,21.72,21.72,21.72,2089,0
BSMU.US,5,20230526,161000,21.68,21.68,21.68,21.68,3010,0
BSMU.US,5,20230526,162000,21.6999,21.6999,21.6999,21.6999,129,0
BSMU.US,5,20230526,172000,21.68,21.69,21.68,21.68,2600,0
BSMU.US,5,20230526,181000,21.7,21.7,21.69,21.69,300,0
BSMU.US,5,20230526,195500,21.69,21.69,21.69,21.69,100,0
BSMU.US,5,20230526,205500,21.7,21.74,21.7,21.74,2300,0
BSMU.US,5,20230526,212000,21.7,21.7,21.7,21.7,100,0
BSMU.US,5,20230526,215500,21.7,21.7,21.7,21.7,100,0
BSMU.US,5,20230530,160000,21.7,21.7,21.7,21.7,119,0
BSMU.US,5,20230530,162500,21.735,21.735,21.735,21.735,177,0
BSMU.US,5,20230530,185500,21.78,21.78,21.765,21.765,1190,0
BSMU.US,5,20230530,194500,21.79,21.85,21.79,21.85,5000,0
BSMU.US,5,20230530,195000,21.8,21.8,21.8,21.8,100,0
BSMU.US,5,20230530,205000,21.77,21.77,21.77,21.77,184,0
BSMU.US,5,20230530,211000,21.79,21.879,21.7789,21.879,17558,0
BSMU.US,5,20230530,213500,21.8,21.8,21.775,21.775,968,0
BSMU.US,5,20230531,194500,21.84,21.84,21.84,21.84,465,0
BSMU.US,5,20230531,204000,21.84,21.88,21.84,21.88,2800,0
BSMU.US,5,20230531,210500,21.84,21.85,21.8399,21.8399,1200,0
BSMU.US,5,20230601,153500,21.9,21.9,21.8999,21.8999,1000,0
BSMU.US,5,20230601,160500,21.89,21.89,21.89,21.89,100,0
BSMU.US,5,20230601,161500,21.89,21.89,21.89,21.89,105,0
BSMU.US,5,20230601,182000,21.86,21.86,21.86,21.86,100,0
BSMU.US,5,20230601,203000,21.87,21.87,21.87,21.87,200,0
BSMU.US,5,20230601,204000,21.88,21.88,21.88,21.88,300,0
BSMU.US,5,20230601,204500,21.87,21.87,21.87,21.87,300,0
BSMU.US,5,20230601,205000,21.88,21.88,21.88,21.88,400,0
BSMU.US,5,20230601,205500,21.88,21.88,21.88,21.88,200,0
BSMU.US,5,20230601,213000,21.85,21.85,21.85,21.85,100,0
BSMU.US,5,20230601,214500,21.84,21.84,21.84,21.84,100,0
BSMU.US,5,20230601,215000,21.84,21.84,21.84,21.84,100,0
BSMU.US,5,20230601,215500,21.84,21.88,21.84,21.88,393,0
BSMU.US,5,20230602,212000,21.82,21.82,21.78,21.78,468,0
BSMU.US,5,20230602,213500,21.82,21.82,21.8199,21.8199,600,0
BSMU.US,5,20230605,182500,21.835,21.835,21.832,21.832,704,0
