<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTEC.US,5,20230522,153000,36.75,36.78,36.75,36.78,303,0
BTEC.US,5,20230522,153500,37.21,37.21,37.21,37.21,1239,0
BTEC.US,5,20230522,163500,37.37,37.37,37.37,37.37,1000,0
BTEC.US,5,20230522,164500,37.38,37.38,37.38,37.38,200,0
BTEC.US,5,20230522,183500,37.5489,37.5489,37.5489,37.5489,600,0
BTEC.US,5,20230522,192500,37.51,37.51,37.51,37.51,1589,0
BTEC.US,5,20230522,195000,37.47,37.58,37.47,37.58,200,0
BTEC.US,5,20230522,203500,37.58,37.58,37.58,37.58,513,0
BTEC.US,5,20230522,212000,37.401,37.4475,37.4,37.4475,1000,0
BTEC.US,5,20230523,153000,37.59,37.59,37.59,37.59,100,0
BTEC.US,5,20230524,161000,36.5397,36.5397,36.51,36.51,658,0
BTEC.US,5,20230524,203000,36.48,36.48,36.48,36.48,100,0
BTEC.US,5,20230525,190000,35.3904,35.43,35.38,35.38,1012,0
BTEC.US,5,20230525,195500,35.6359,35.6359,35.6359,35.6359,632,0
BTEC.US,5,20230525,200000,35.7399,35.74,35.7399,35.74,280,0
BTEC.US,5,20230525,213000,35.6998,35.6998,35.6998,35.6998,184,0
BTEC.US,5,20230525,214000,35.7198,35.7198,35.7198,35.7198,141,0
BTEC.US,5,20230526,153000,35.49,35.58,35.49,35.58,220,0
BTEC.US,5,20230526,193500,35.7141,35.7141,35.7141,35.7141,400,0
BTEC.US,5,20230526,195000,35.63,35.63,35.63,35.63,100,0
BTEC.US,5,20230526,205000,35.7701,35.7701,35.7701,35.7701,100,0
BTEC.US,5,20230530,173500,35.48,35.48,35.48,35.48,400,0
BTEC.US,5,20230530,191000,35.5,35.5146,35.45,35.5146,838,0
BTEC.US,5,20230530,192500,35.41,35.41,35.41,35.41,700,0
BTEC.US,5,20230530,212000,35.42,35.42,35.42,35.42,100,0
BTEC.US,5,20230531,153000,35.17,35.17,35.17,35.17,501,0
BTEC.US,5,20230531,173500,35.2704,35.2704,35.2704,35.2704,700,0
BTEC.US,5,20230531,174000,35.3304,35.3304,35.3304,35.3304,600,0
BTEC.US,5,20230531,193000,35.51,35.51,35.51,35.51,100,0
BTEC.US,5,20230531,201500,35.7059,35.7059,35.7059,35.7059,105,0
BTEC.US,5,20230601,153500,35.5218,35.5218,35.5218,35.5218,600,0
BTEC.US,5,20230601,165000,36.1024,36.1024,36.1024,36.1024,110,0
BTEC.US,5,20230601,211500,36.1901,36.1901,36.19,36.19,300,0
BTEC.US,5,20230601,214000,36.02,36.02,36.02,36.02,200,0
BTEC.US,5,20230602,153000,36.27,36.42,36.27,36.42,300,0
BTEC.US,5,20230602,173500,36.4393,36.4393,36.4393,36.4393,2498,0
BTEC.US,5,20230602,192000,36.65,36.65,36.65,36.65,835,0
BTEC.US,5,20230605,161000,36.8819,36.8819,36.8819,36.8819,132,0
BTEC.US,5,20230605,171500,36.99,36.99,36.99,36.99,3199,0
BTEC.US,5,20230605,193500,37.1082,37.1082,37.1082,37.1082,1543,0
BTEC.US,5,20230605,211000,36.89,36.89,36.89,36.89,100,0
BTEC.US,5,20230606,153000,36.37,36.9094,36.37,36.9094,837,0
BTEC.US,5,20230606,153500,36.79,36.79,36.79,36.79,100,0
BTEC.US,5,20230606,154000,36.79,36.79,36.79,36.79,149,0
BTEC.US,5,20230606,154500,36.83,36.83,36.83,36.83,100,0
BTEC.US,5,20230606,160500,36.88,36.88,36.88,36.88,400,0
BTEC.US,5,20230606,173000,37.19,37.19,37.19,37.19,102,0
BTEC.US,5,20230606,191500,37.2699,37.2699,37.225,37.225,3766,0
BTEC.US,5,20230606,214500,37.2799,37.2799,37.2799,37.2799,161,0
BTEC.US,5,20230607,153000,37.53,37.53,37.53,37.53,137,0
BTEC.US,5,20230607,171000,37.3,37.3,37.3,37.3,161,0
BTEC.US,5,20230607,180500,37.28,37.28,37.28,37.28,198,0
BTEC.US,5,20230607,192000,37.2699,37.2699,37.2699,37.2699,427,0
BTEC.US,5,20230608,202500,37.2489,37.2489,37.2489,37.2489,194,0
BTEC.US,5,20230609,153000,37.2563,37.2563,37.2563,37.2563,250,0
BTEC.US,5,20230609,173500,37.0238,37.0238,37.0238,37.0238,151,0
BTEC.US,5,20230609,193500,37.06,37.06,37.06,37.06,171,0
BTEC.US,5,20230609,213500,36.87,36.87,36.87,36.87,100,0
BTEC.US,5,20230612,153000,36.97,37.02,36.92,36.945,1735,0
BTEC.US,5,20230612,154500,37.25,37.25,37.25,37.25,100,0
BTEC.US,5,20230614,165500,37.901,37.9467,37.901,37.9467,328,0
BTEC.US,5,20230614,180500,37.85,37.85,37.85,37.85,135,0
BTEC.US,5,20230614,200500,37.5,37.5,37.5,37.5,150,0
BTEC.US,5,20230614,213500,37.6135,37.6135,37.6135,37.6135,385,0
BTEC.US,5,20230614,214500,37.52,37.52,37.52,37.52,200,0
BTEC.US,5,20230615,185000,37.61,37.61,37.61,37.61,165,0
BTEC.US,5,20230615,195000,37.6074,37.6074,37.6074,37.6074,188,0
BTEC.US,5,20230615,195500,37.63,37.63,37.63,37.63,480,0
BTEC.US,5,20230615,202000,37.7,37.7,37.7,37.7,112,0
BTEC.US,5,20230615,213000,37.7053,37.7053,37.7053,37.7053,210,0
BTEC.US,5,20230616,160500,37.814,37.814,37.814,37.814,100,0
BTEC.US,5,20230616,185500,37.4397,37.4397,37.4397,37.4397,200,0
BTEC.US,5,20230620,171500,37.025,37.025,37.025,37.025,208,0
