<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUG.US,5,20230522,153000,23.06,23.17,23,23.145,18107,0
BUG.US,5,20230522,153500,23.16,23.2006,23.155,23.2006,2300,0
BUG.US,5,20230522,154000,23.175,23.19,23.13,23.16,7108,0
BUG.US,5,20230522,154500,23.125,23.2,23.125,23.2,2200,0
BUG.US,5,20230522,155000,23.205,23.27,23.205,23.205,1225,0
BUG.US,5,20230522,155500,23.25,23.25,23.21,23.215,5200,0
BUG.US,5,20230522,160000,23.24,23.2747,23.225,23.255,1803,0
BUG.US,5,20230522,160500,23.24,23.24,23.165,23.165,2024,0
BUG.US,5,20230522,161000,23.185,23.24,23.185,23.235,900,0
BUG.US,5,20230522,161500,23.24,23.25,23.225,23.235,500,0
BUG.US,5,20230522,162000,23.22,23.22,23.185,23.195,400,0
BUG.US,5,20230522,162500,23.185,23.22,23.185,23.215,1537,0
BUG.US,5,20230522,163000,23.2,23.23,23.2,23.21,1235,0
BUG.US,5,20230522,163500,23.21,23.27,23.21,23.26,1200,0
BUG.US,5,20230522,164000,23.26,23.29,23.255,23.255,2276,0
BUG.US,5,20230522,164500,23.25,23.25,23.24,23.245,300,0
BUG.US,5,20230522,165000,23.235,23.26,23.235,23.26,1200,0
BUG.US,5,20230522,165500,23.26,23.3,23.24,23.3,2033,0
BUG.US,5,20230522,170000,23.3057,23.32,23.28,23.285,1398,0
BUG.US,5,20230522,170500,23.3,23.34,23.295,23.3,2072,0
BUG.US,5,20230522,171000,23.31,23.32,23.295,23.32,1573,0
BUG.US,5,20230522,171500,23.33,23.35,23.33,23.34,2402,0
BUG.US,5,20230522,172000,23.33,23.365,23.33,23.365,2200,0
BUG.US,5,20230522,172500,23.36,23.39,23.36,23.39,708,0
BUG.US,5,20230522,173000,23.375,23.405,23.375,23.385,900,0
BUG.US,5,20230522,173500,23.385,23.39,23.36,23.36,804,0
BUG.US,5,20230522,174000,23.34,23.34,23.34,23.34,500,0
BUG.US,5,20230522,174500,23.34,23.355,23.33,23.33,700,0
BUG.US,5,20230522,175000,23.33,23.35,23.305,23.31,2755,0
BUG.US,5,20230522,175500,23.32,23.337,23.305,23.33,2698,0
BUG.US,5,20230522,180000,23.32,23.38,23.32,23.38,1228,0
BUG.US,5,20230522,180500,23.395,23.4,23.385,23.39,750,0
BUG.US,5,20230522,181000,23.39,23.39,23.385,23.385,400,0
BUG.US,5,20230522,181500,23.385,23.41,23.38,23.4,2325,0
BUG.US,5,20230522,182000,23.39,23.4,23.35,23.35,1215,0
BUG.US,5,20230522,182500,23.36,23.37,23.345,23.345,800,0
BUG.US,5,20230522,183000,23.345,23.3552,23.3301,23.335,1584,0
BUG.US,5,20230522,183500,23.345,23.37,23.345,23.37,1000,0
BUG.US,5,20230522,184000,23.365,23.375,23.365,23.375,600,0
BUG.US,5,20230522,184500,23.385,23.4,23.385,23.4,700,0
BUG.US,5,20230522,185000,23.39,23.39,23.365,23.37,1132,0
BUG.US,5,20230522,185500,23.37,23.38,23.37,23.38,1400,0
