<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CACG.US,5,20230522,160500,38.77,38.77,38.77,38.77,200,0
CACG.US,5,20230522,161500,38.9099,38.9099,38.9099,38.9099,655,0
CACG.US,5,20230522,172000,38.94,38.94,38.94,38.94,100,0
CACG.US,5,20230522,181000,39.0687,39.0687,39.0687,39.0687,442,0
CACG.US,5,20230522,190000,38.9113,38.9113,38.9113,38.9113,104,0
CACG.US,5,20230522,213500,38.95,38.95,38.95,38.95,595,0
CACG.US,5,20230522,214500,38.86,38.86,38.86,38.86,165,0
CACG.US,5,20230522,215000,38.8752,38.8752,38.8752,38.8752,200,0
CACG.US,5,20230523,153000,38.67,38.67,38.67,38.67,143,0
CACG.US,5,20230523,154500,38.705,38.705,38.705,38.705,400,0
CACG.US,5,20230523,155000,38.67,38.67,38.67,38.67,400,0
CACG.US,5,20230523,170500,38.69,38.69,38.69,38.69,265,0
CACG.US,5,20230523,203500,38.28,38.28,38.28,38.28,100,0
CACG.US,5,20230523,211000,38.28,38.2822,38.2701,38.2701,533,0
CACG.US,5,20230523,214500,38.3694,38.3694,38.3694,38.3694,781,0
CACG.US,5,20230524,153500,38.19,38.19,38.19,38.19,431,0
CACG.US,5,20230524,160500,38.01,38.01,38.01,38.01,100,0
CACG.US,5,20230524,172000,38.11,38.11,38.11,38.11,300,0
CACG.US,5,20230524,184000,38.14,38.14,38.14,38.14,119,0
CACG.US,5,20230524,204000,38.12,38.12,38.12,38.12,100,0
CACG.US,5,20230524,204500,38.14,38.14,38.14,38.14,547,0
CACG.US,5,20230524,205500,38.07,38.07,38.07,38.07,100,0
CACG.US,5,20230524,210500,38.1,38.1,38.1,38.1,459,0
CACG.US,5,20230524,212000,38.23,38.23,38.23,38.23,100,0
CACG.US,5,20230524,212500,38.29,38.29,38.29,38.29,100,0
CACG.US,5,20230524,213500,38.23,38.23,38.23,38.23,100,0
CACG.US,5,20230524,214500,38.24,38.24,38.24,38.24,100,0
CACG.US,5,20230524,215000,38.18,38.18,38.18,38.18,100,0
CACG.US,5,20230524,215500,38.17,38.17,38.17,38.17,100,0
CACG.US,5,20230525,160000,38.59,38.59,38.59,38.59,100,0
CACG.US,5,20230525,162500,38.5,38.5,38.5,38.5,283,0
CACG.US,5,20230525,181000,38.5783,38.5783,38.5783,38.5783,756,0
CACG.US,5,20230525,192500,38.6805,38.6805,38.6805,38.6805,500,0
CACG.US,5,20230525,201000,38.79,38.79,38.79,38.79,628,0
CACG.US,5,20230526,153000,38.78,38.89,38.78,38.89,4392,0
CACG.US,5,20230526,154000,39.001,39.001,39.001,39.001,292,0
CACG.US,5,20230526,160000,39.07,39.07,39.07,39.07,100,0
CACG.US,5,20230526,161500,39.15,39.15,39.15,39.15,202,0
CACG.US,5,20230526,173000,39.34,39.34,39.34,39.34,127,0
CACG.US,5,20230526,185500,39.5509,39.5509,39.5509,39.5509,100,0
CACG.US,5,20230526,214500,39.49,39.49,39.49,39.49,3861,0
CACG.US,5,20230526,215000,39.48,39.48,39.47,39.47,600,0
CACG.US,5,20230526,215500,39.47,39.47,39.47,39.47,3862,0
CACG.US,5,20230530,154000,40.035,40.035,39.99,39.99,567,0
CACG.US,5,20230530,161000,39.81,39.81,39.81,39.81,600,0
CACG.US,5,20230530,164500,39.72,39.72,39.71,39.71,318,0
CACG.US,5,20230530,182500,39.76,39.7799,39.76,39.7799,566,0
CACG.US,5,20230530,184500,39.67,39.67,39.67,39.67,399,0
CACG.US,5,20230530,191500,39.58,39.58,39.58,39.58,391,0
CACG.US,5,20230530,202500,39.67,39.67,39.67,39.67,424,0
CACG.US,5,20230531,153000,39.46,39.46,39.46,39.46,195,0
CACG.US,5,20230531,160500,39.425,39.425,39.425,39.425,507,0
CACG.US,5,20230531,164500,39.24,39.24,39.24,39.24,155,0
CACG.US,5,20230531,182500,39.3,39.3,39.3,39.3,7957,0
CACG.US,5,20230531,183000,39.23,39.23,39.23,39.23,5286,0
CACG.US,5,20230531,184500,39.37,39.37,39.37,39.37,100,0
CACG.US,5,20230531,185000,39.29,39.29,39.29,39.29,100,0
CACG.US,5,20230531,190500,39.37,39.37,39.37,39.37,100,0
CACG.US,5,20230531,192000,39.42,39.42,39.42,39.42,100,0
CACG.US,5,20230531,193000,39.51,39.51,39.51,39.51,100,0
CACG.US,5,20230531,194000,39.58,39.58,39.58,39.58,100,0
CACG.US,5,20230531,195000,39.54,39.54,39.54,39.54,100,0
CACG.US,5,20230531,200000,39.54,39.54,39.54,39.54,100,0
CACG.US,5,20230531,201000,39.59,39.59,39.59,39.59,100,0
CACG.US,5,20230531,201500,39.4601,39.4601,39.4601,39.4601,289,0
CACG.US,5,20230531,202000,39.516,39.6,39.516,39.6,400,0
CACG.US,5,20230531,202500,39.53,39.53,39.53,39.53,1149,0
CACG.US,5,20230531,203000,39.6,39.6,39.53,39.53,200,0
CACG.US,5,20230531,203500,39.46,39.46,39.46,39.46,675,0
CACG.US,5,20230531,205000,39.46,39.46,39.4025,39.4025,578,0
CACG.US,5,20230531,211000,39.5,39.5,39.5,39.5,100,0
CACG.US,5,20230531,211500,39.43,39.43,39.43,39.43,200,0
CACG.US,5,20230531,212500,39.49,39.49,39.49,39.49,253,0
CACG.US,5,20230531,213500,39.5,39.5,39.5,39.5,100,0
CACG.US,5,20230531,214000,39.5,39.5,39.5,39.5,200,0
CACG.US,5,20230531,214500,39.61,39.61,39.555,39.555,435,0
CACG.US,5,20230531,215000,39.27,39.61,39.27,39.45,900,0
CACG.US,5,20230601,153000,39.37,39.37,39.37,39.37,500,0
CACG.US,5,20230601,154000,39.34,39.34,39.34,39.34,146,0
CACG.US,5,20230601,155500,39.42,39.42,39.42,39.42,400,0
CACG.US,5,20230601,162500,39.45,39.45,39.45,39.45,355,0
CACG.US,5,20230601,170500,39.67,39.7199,39.67,39.67,1369,0
CACG.US,5,20230601,191500,39.96,39.96,39.96,39.96,371,0
CACG.US,5,20230601,205000,39.99,40,39.99,40,827,0
CACG.US,5,20230601,215500,39.9631,39.9631,39.9631,39.9631,229,0
CACG.US,5,20230602,153000,40.41,40.41,40.391,40.41,500,0
CACG.US,5,20230602,161000,40.23,40.23,40.23,40.23,105,0
CACG.US,5,20230602,162500,40.33,40.34,40.33,40.34,900,0
CACG.US,5,20230602,165000,40.3314,40.3314,40.3314,40.3314,500,0
CACG.US,5,20230602,175500,40.39,40.39,40.39,40.39,400,0
CACG.US,5,20230602,181500,40.4,40.4,40.4,40.4,300,0
CACG.US,5,20230602,182000,40.355,40.355,40.355,40.355,100,0
CACG.US,5,20230602,212000,40.43,40.43,40.4201,40.43,425,0
CACG.US,5,20230605,204000,40.45,40.47,40.45,40.47,5733,0
CACG.US,5,20230605,205000,40.34,40.34,40.34,40.34,300,0
CACG.US,5,20230605,215500,40.475,40.475,40.475,40.475,200,0
CACG.US,5,20230606,153000,40.52,40.52,40.52,40.52,1001,0
CACG.US,5,20230606,153500,40.43,40.43,40.43,40.43,110,0
CACG.US,5,20230606,160000,40.39,40.39,40.39,40.39,100,0
CACG.US,5,20230606,161000,40.43,40.43,40.43,40.43,100,0
CACG.US,5,20230606,162000,40.55,40.55,40.55,40.55,100,0
CACG.US,5,20230606,163000,40.475,40.475,40.475,40.475,385,0
CACG.US,5,20230606,172000,40.5899,40.5899,40.5899,40.5899,581,0
CACG.US,5,20230606,173000,40.53,40.53,40.53,40.53,494,0
CACG.US,5,20230606,174000,40.53,40.53,40.53,40.53,100,0
CACG.US,5,20230606,182000,40.41,40.41,40.41,40.41,197,0
CACG.US,5,20230606,205000,40.437,40.47,40.3925,40.47,5602,0
CACG.US,5,20230606,205500,40.36,40.47,40.36,40.47,3010,0
CACG.US,5,20230606,211000,40.5,40.5,40.5,40.5,200,0
CACG.US,5,20230606,212000,40.49,40.49,40.49,40.49,1039,0
CACG.US,5,20230607,181000,40.1884,40.1884,40.1884,40.1884,800,0
