<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CARZ.US,5,20230522,153000,50.17,50.17,50.17,50.17,303,0
CARZ.US,5,20230522,161000,50.3049,50.3049,50.3049,50.3049,500,0
CARZ.US,5,20230522,163000,50.6642,50.6642,50.6642,50.6642,248,0
CARZ.US,5,20230522,183500,50.478,50.53,50.478,50.53,200,0
CARZ.US,5,20230522,192500,50.46,50.51,50.4501,50.51,600,0
CARZ.US,5,20230522,193000,50.7,50.7,50.7,50.7,100,0
CARZ.US,5,20230522,215500,50.65,50.65,50.65,50.65,101,0
CARZ.US,5,20230523,153000,50.38,50.38,50.38,50.38,1197,0
CARZ.US,5,20230523,164500,50.5101,50.5101,50.5101,50.5101,100,0
CARZ.US,5,20230523,165000,50.53,50.53,50.4,50.4,395,0
CARZ.US,5,20230524,214500,49.1801,49.1801,49.1801,49.1801,100,0
CARZ.US,5,20230525,153000,50.69,50.69,50.69,50.69,300,0
CARZ.US,5,20230525,154000,50.1855,50.1855,50.1855,50.1855,362,0
CARZ.US,5,20230525,160000,50.2401,50.2401,50.2401,50.2401,200,0
CARZ.US,5,20230525,163500,50.24,50.24,50.24,50.24,100,0
CARZ.US,5,20230525,191000,50.414,50.414,50.414,50.414,103,0
CARZ.US,5,20230525,191500,50.5134,50.5134,50.5134,50.5134,730,0
CARZ.US,5,20230525,213000,50.8199,50.8199,50.8199,50.8199,405,0
CARZ.US,5,20230525,215000,50.53,50.699,50.53,50.699,300,0
CARZ.US,5,20230526,153000,50.93,50.93,50.93,50.93,267,0
CARZ.US,5,20230526,153500,51.03,51.03,51.03,51.03,100,0
CARZ.US,5,20230526,161500,51.5,51.5,51.5,51.5,100,0
CARZ.US,5,20230526,162000,51.492,51.492,51.492,51.492,100,0
CARZ.US,5,20230526,162500,51.7092,51.97,51.7092,51.97,500,0
CARZ.US,5,20230526,170500,51.73,51.73,51.73,51.73,100,0
CARZ.US,5,20230526,171000,51.86,51.86,51.86,51.86,996,0
CARZ.US,5,20230526,174000,51.96,51.96,51.96,51.96,100,0
CARZ.US,5,20230526,205000,52,52,52,52,172,0
CARZ.US,5,20230530,153000,52.94,52.94,52.94,52.94,314,0
CARZ.US,5,20230530,153500,52.8,52.8,52.8,52.8,130,0
CARZ.US,5,20230530,155000,52.82,52.82,52.82,52.82,100,0
CARZ.US,5,20230530,155500,52.82,52.82,52.82,52.82,100,0
CARZ.US,5,20230530,161000,52.355,52.355,52.315,52.315,304,0
CARZ.US,5,20230530,162000,52.62,52.62,52.62,52.62,200,0
CARZ.US,5,20230530,163500,52.5317,52.5317,52.5317,52.5317,250,0
CARZ.US,5,20230530,165000,52.4651,52.4651,52.4651,52.4651,300,0
CARZ.US,5,20230530,190000,52.64,52.64,52.64,52.64,100,0
CARZ.US,5,20230530,192000,52.51,52.51,52.51,52.51,200,0
CARZ.US,5,20230530,195500,52.44,52.44,52.36,52.36,300,0
CARZ.US,5,20230530,200000,52.36,52.36,52.36,52.36,100,0
CARZ.US,5,20230530,202000,52.38,52.4,52.38,52.4,1500,0
CARZ.US,5,20230530,211000,52.8,52.8,52.8,52.8,100,0
CARZ.US,5,20230530,212500,52.6975,52.6975,52.6975,52.6975,319,0
CARZ.US,5,20230530,215500,52.54,52.54,52.54,52.54,200,0
CARZ.US,5,20230531,153000,51.89,51.89,51.89,51.89,588,0
CARZ.US,5,20230531,161000,51.91,51.91,51.91,51.91,134,0
CARZ.US,5,20230531,161500,51.51,51.51,51.51,51.51,200,0
CARZ.US,5,20230531,163000,51.33,51.33,51.33,51.33,192,0
CARZ.US,5,20230531,202500,51.5861,51.5861,51.5861,51.5861,100,0
CARZ.US,5,20230531,205500,51.65,51.65,51.65,51.65,135,0
CARZ.US,5,20230531,211000,51.5358,51.5358,51.5358,51.5358,100,0
CARZ.US,5,20230601,153000,51.6,51.6,51.6,51.6,413,0
CARZ.US,5,20230601,155000,51.7801,51.7801,51.595,51.61,1481,0
CARZ.US,5,20230601,155500,51.715,51.715,51.715,51.715,135,0
