<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CATH.US,5,20230522,154000,51.51,51.51,51.51,51.51,220,0
CATH.US,5,20230522,154500,51.43,51.43,51.43,51.43,100,0
CATH.US,5,20230522,155500,51.43,51.43,51.43,51.43,2045,0
CATH.US,5,20230522,160000,51.37,51.37,51.37,51.37,100,0
CATH.US,5,20230522,160500,51.32,51.32,51.32,51.32,100,0
CATH.US,5,20230522,161500,51.39,51.39,51.39,51.39,700,0
CATH.US,5,20230522,162500,51.4,51.4,51.38,51.38,500,0
CATH.US,5,20230522,163000,51.4075,51.4075,51.4075,51.4075,1390,0
CATH.US,5,20230522,163500,51.395,51.395,51.395,51.395,100,0
CATH.US,5,20230522,172000,51.4299,51.4299,51.4299,51.4299,195,0
CATH.US,5,20230522,180500,51.426,51.44,51.426,51.44,768,0
CATH.US,5,20230522,181500,51.4412,51.4412,51.4373,51.4399,757,0
CATH.US,5,20230522,182000,51.43,51.43,51.425,51.425,626,0
CATH.US,5,20230522,182500,51.39,51.39,51.3899,51.3899,492,0
CATH.US,5,20230522,190000,51.42,51.42,51.42,51.42,100,0
CATH.US,5,20230522,191000,51.41,51.41,51.36,51.36,620,0
CATH.US,5,20230522,195000,51.425,51.425,51.41,51.41,600,0
CATH.US,5,20230522,202500,51.47,51.5,51.46,51.46,7900,0
CATH.US,5,20230522,203000,51.475,51.48,51.475,51.48,200,0
CATH.US,5,20230522,203500,51.47,51.47,51.47,51.47,543,0
CATH.US,5,20230522,211500,51.47,51.47,51.47,51.47,416,0
CATH.US,5,20230522,215000,51.35,51.37,51.35,51.3699,1379,0
CATH.US,5,20230522,215500,51.36,51.36,51.35,51.35,728,0
CATH.US,5,20230523,153500,51.1599,51.1599,51.1599,51.1599,1000,0
CATH.US,5,20230523,154500,51.17,51.17,51.17,51.17,100,0
CATH.US,5,20230523,155000,51.25,51.25,51.25,51.25,100,0
CATH.US,5,20230523,164000,51.2399,51.2399,51.2399,51.2399,100,0
CATH.US,5,20230523,171000,51.23,51.23,51.2,51.2,324,0
CATH.US,5,20230523,173500,51.2099,51.2099,51.2099,51.2099,200,0
CATH.US,5,20230523,201000,50.87,50.87,50.87,50.87,100,0
CATH.US,5,20230523,203000,50.742,50.742,50.742,50.742,300,0
CATH.US,5,20230523,204000,50.76,50.76,50.76,50.76,1000,0
CATH.US,5,20230523,210000,50.77,50.77,50.77,50.77,100,0
CATH.US,5,20230523,210500,50.7799,50.7799,50.7799,50.7799,490,0
CATH.US,5,20230523,211000,50.7717,50.7717,50.7717,50.7717,107,0
CATH.US,5,20230523,212000,50.765,50.765,50.76,50.76,278,0
CATH.US,5,20230523,215500,50.7667,50.7667,50.74,50.74,959,0
CATH.US,5,20230524,153000,50.45,50.45,50.425,50.425,233,0
CATH.US,5,20230524,163500,50.34,50.34,50.34,50.34,101,0
CATH.US,5,20230524,164000,50.32,50.32,50.32,50.32,100,0
CATH.US,5,20230524,164500,50.3,50.3,50.3,50.3,100,0
