<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDC.US,5,20230522,153000,58.39,58.39,58.39,58.39,3655,0
CDC.US,5,20230522,153500,58.5525,58.59,58.545,58.59,500,0
CDC.US,5,20230522,154000,58.65,58.65,58.6,58.6,800,0
CDC.US,5,20230522,154500,58.49,58.49,58.46,58.46,300,0
CDC.US,5,20230522,155500,58.2549,58.2549,58.2549,58.2549,200,0
CDC.US,5,20230522,160000,58.23,58.23,58.2001,58.2001,750,0
CDC.US,5,20230522,160500,58.2562,58.2562,58.2562,58.2562,240,0
CDC.US,5,20230522,161000,58.18,58.32,58.18,58.32,1110,0
CDC.US,5,20230522,161500,58.36,58.36,58.36,58.36,400,0
CDC.US,5,20230522,162000,58.3401,58.37,58.3401,58.37,3279,0
CDC.US,5,20230522,162500,58.35,58.35,58.35,58.35,200,0
CDC.US,5,20230522,163000,58.42,58.42,58.42,58.42,255,0
CDC.US,5,20230522,163500,58.4,58.4,58.38,58.38,409,0
CDC.US,5,20230522,164000,58.31,58.31,58.31,58.31,100,0
CDC.US,5,20230522,165000,58.27,58.27,58.18,58.19,2257,0
CDC.US,5,20230522,165500,58.18,58.2,58.18,58.19,2700,0
CDC.US,5,20230522,170000,58.27,58.29,58.27,58.29,600,0
CDC.US,5,20230522,170500,58.3234,58.3527,58.3211,58.3527,3097,0
CDC.US,5,20230522,171000,58.32,58.3282,58.32,58.3282,204,0
CDC.US,5,20230522,171500,58.405,58.405,58.405,58.405,304,0
CDC.US,5,20230522,172000,58.3341,58.3341,58.3341,58.3341,123,0
CDC.US,5,20230522,172500,58.355,58.355,58.355,58.355,700,0
CDC.US,5,20230522,174500,58.41,58.44,58.41,58.44,1411,0
CDC.US,5,20230522,175000,58.45,58.45,58.45,58.45,500,0
CDC.US,5,20230522,180000,58.51,58.535,58.51,58.535,621,0
CDC.US,5,20230522,180500,58.52,58.52,58.52,58.52,100,0
CDC.US,5,20230522,181000,58.4807,58.4874,58.48,58.48,555,0
CDC.US,5,20230522,181500,58.4642,58.4699,58.45,58.4699,4697,0
CDC.US,5,20230522,182000,58.49,58.49,58.43,58.43,1033,0
CDC.US,5,20230522,182500,58.46,58.4662,58.46,58.4662,1592,0
CDC.US,5,20230522,183000,58.48,58.5,58.48,58.4901,445,0
CDC.US,5,20230522,183500,58.49,58.49,58.48,58.48,200,0
CDC.US,5,20230522,184000,58.455,58.455,58.43,58.43,9051,0
CDC.US,5,20230522,184500,58.4,58.4,58.4,58.4,383,0
CDC.US,5,20230522,185000,58.45,58.45,58.43,58.44,3084,0
CDC.US,5,20230522,185500,58.46,58.479,58.46,58.46,1500,0
CDC.US,5,20230522,190000,58.5,58.5,58.5,58.5,300,0
CDC.US,5,20230522,190500,58.4991,58.4991,58.4991,58.4991,130,0
CDC.US,5,20230522,191000,58.4941,58.4941,58.37,58.4,1575,0
CDC.US,5,20230522,191500,58.3456,58.43,58.3456,58.397,2385,0
CDC.US,5,20230522,193000,58.45,58.45,58.43,58.4452,640,0
CDC.US,5,20230522,193500,58.47,58.47,58.4528,58.4528,685,0
CDC.US,5,20230522,194500,58.5139,58.5139,58.5,58.5,311,0
CDC.US,5,20230522,195000,58.48,58.48,58.46,58.46,352,0
CDC.US,5,20230522,200000,58.4409,58.4409,58.4409,58.4409,10095,0
CDC.US,5,20230522,201000,58.475,58.5031,58.45,58.45,919,0
CDC.US,5,20230522,201500,58.49,58.51,58.47,58.51,770,0
CDC.US,5,20230522,202500,58.53,58.53,58.53,58.53,270,0
CDC.US,5,20230522,204000,58.53,58.53,58.53,58.53,344,0
CDC.US,5,20230522,204500,58.59,58.59,58.565,58.58,5656,0
CDC.US,5,20230522,205000,58.6189,58.6189,58.61,58.61,1450,0
CDC.US,5,20230522,205500,58.5331,58.55,58.5331,58.55,745,0
CDC.US,5,20230522,210000,58.5801,58.6395,58.5801,58.6395,2310,0
CDC.US,5,20230522,210500,58.57,58.5852,58.57,58.5852,250,0
CDC.US,5,20230522,211500,58.5598,58.57,58.5028,58.57,1985,0
CDC.US,5,20230522,212000,58.52,58.5477,58.52,58.5477,730,0
CDC.US,5,20230522,212500,58.49,58.4999,58.475,58.48,2702,0
CDC.US,5,20230522,213000,58.48,58.4824,58.48,58.48,544,0
CDC.US,5,20230522,213500,58.4756,58.4756,58.47,58.47,325,0
CDC.US,5,20230522,214000,58.49,58.49,58.4514,58.4514,1369,0
CDC.US,5,20230522,214500,58.46,58.4829,58.46,58.48,2261,0
CDC.US,5,20230522,215000,58.5355,58.5355,58.5355,58.5355,410,0
CDC.US,5,20230522,215500,58.44,58.47,58.36,58.36,2128,0
CDC.US,5,20230523,153000,58.39,58.51,58.39,58.51,1571,0
CDC.US,5,20230523,153500,58.44,58.49,58.44,58.49,700,0
CDC.US,5,20230523,154000,58.5653,58.5653,58.5653,58.5653,614,0
CDC.US,5,20230523,154500,58.62,58.62,58.62,58.62,230,0
CDC.US,5,20230523,155500,58.67,58.67,58.6017,58.6017,1413,0
CDC.US,5,20230523,161000,58.6816,58.6816,58.632,58.632,507,0
CDC.US,5,20230523,161500,58.59,58.59,58.56,58.56,400,0
CDC.US,5,20230523,162000,58.57,58.57,58.54,58.54,399,0
CDC.US,5,20230523,163000,58.68,58.68,58.68,58.68,165,0
CDC.US,5,20230523,163500,58.722,58.7359,58.722,58.73,776,0
CDC.US,5,20230523,164000,58.6903,58.6903,58.69,58.69,230,0
CDC.US,5,20230523,164500,58.66,58.66,58.66,58.66,153,0
CDC.US,5,20230523,165000,58.68,58.68,58.6512,58.6512,690,0
CDC.US,5,20230523,170000,58.75,58.75,58.75,58.75,157,0
CDC.US,5,20230523,170500,58.75,58.75,58.73,58.7387,541,0
CDC.US,5,20230523,171500,58.77,58.77,58.74,58.75,792,0
CDC.US,5,20230523,172000,58.75,58.7886,58.75,58.7886,2598,0
CDC.US,5,20230523,172500,58.78,58.8137,58.78,58.79,5836,0
CDC.US,5,20230523,173000,58.82,58.83,58.82,58.83,241,0
CDC.US,5,20230523,173500,58.83,58.835,58.83,58.835,308,0
CDC.US,5,20230523,174000,58.9,58.9,58.88,58.8844,645,0
CDC.US,5,20230523,175000,58.9374,58.9374,58.9374,58.9374,200,0
CDC.US,5,20230523,175500,58.93,58.93,58.93,58.93,100,0
CDC.US,5,20230523,180000,58.875,58.8904,58.86,58.8904,564,0
CDC.US,5,20230523,181000,58.8491,58.8491,58.8193,58.8399,911,0
CDC.US,5,20230523,181500,58.8,58.8,58.8,58.8,200,0
CDC.US,5,20230523,182000,58.8429,58.8579,58.7924,58.8465,3249,0
CDC.US,5,20230523,183000,58.84,58.8457,58.825,58.825,20388,0
CDC.US,5,20230523,183500,58.8,58.8,58.73,58.73,630,0
CDC.US,5,20230523,185000,58.74,58.74,58.74,58.74,860,0
CDC.US,5,20230523,190000,58.73,58.73,58.73,58.73,100,0
CDC.US,5,20230523,190500,58.715,58.795,58.715,58.795,450,0
CDC.US,5,20230523,191500,58.81,58.8107,58.81,58.8107,748,0
CDC.US,5,20230523,192000,58.8017,58.8017,58.79,58.79,5421,0
CDC.US,5,20230523,193000,58.58,58.58,58.54,58.58,2000,0
CDC.US,5,20230523,193500,58.6213,58.6213,58.6213,58.6213,150,0
CDC.US,5,20230523,194000,58.7162,58.7162,58.7162,58.7162,1061,0
CDC.US,5,20230523,194500,58.685,58.685,58.685,58.685,153,0
CDC.US,5,20230523,195500,58.6226,58.655,58.6226,58.655,575,0
CDC.US,5,20230523,200000,58.657,58.6985,58.657,58.6985,620,0
CDC.US,5,20230523,200500,58.655,58.655,58.655,58.655,100,0
CDC.US,5,20230523,201000,58.65,58.6525,58.6074,58.6126,3584,0
CDC.US,5,20230523,201500,58.6099,58.6099,58.59,58.59,2940,0
CDC.US,5,20230523,202000,58.4701,58.4701,58.4701,58.4701,737,0
CDC.US,5,20230523,202500,58.3965,58.43,58.3895,58.43,2452,0
CDC.US,5,20230523,203000,58.481,58.5,58.481,58.5,1885,0
CDC.US,5,20230523,203500,58.45,58.45,58.44,58.4437,639,0
CDC.US,5,20230523,204000,58.4118,58.4118,58.4118,58.4118,308,0
CDC.US,5,20230523,204500,58.3908,58.3908,58.3908,58.3908,798,0
CDC.US,5,20230523,205500,58.5,58.5,58.5,58.5,1962,0
CDC.US,5,20230523,210000,58.3718,58.3718,58.3718,58.3718,400,0
CDC.US,5,20230523,210500,58.395,58.395,58.395,58.395,245,0
CDC.US,5,20230523,211000,58.4899,58.49,58.4899,58.49,220,0
CDC.US,5,20230523,211500,58.455,58.455,58.455,58.455,281,0
CDC.US,5,20230523,212000,58.34,58.44,58.34,58.44,6008,0
CDC.US,5,20230523,212500,58.4632,58.49,58.46,58.49,629,0
CDC.US,5,20230523,213000,58.47,58.4751,58.4301,58.4751,9695,0
CDC.US,5,20230523,213500,58.5,58.5,58.44,58.44,1749,0
CDC.US,5,20230523,214000,58.46,58.47,58.46,58.47,400,0
CDC.US,5,20230523,214500,58.4599,58.4599,58.41,58.41,628,0
CDC.US,5,20230523,215000,58.405,58.405,58.36,58.36,960,0
CDC.US,5,20230523,215500,58.3739,58.3739,58.32,58.32,606,0
CDC.US,5,20230524,153000,58.17,58.2,58.17,58.19,1392,0
CDC.US,5,20230524,153500,58.02,58.02,58.02,58.02,100,0
CDC.US,5,20230524,154000,57.91,57.94,57.905,57.94,1675,0
CDC.US,5,20230524,154500,57.9425,57.9425,57.89,57.89,933,0
CDC.US,5,20230524,155000,57.8503,57.8503,57.8503,57.8503,206,0
CDC.US,5,20230524,155500,57.83,57.83,57.7814,57.7814,200,0
CDC.US,5,20230524,160000,57.81,57.81,57.81,57.81,100,0
CDC.US,5,20230524,161000,57.8628,57.8628,57.8628,57.8628,260,0
CDC.US,5,20230524,161500,57.8155,57.8155,57.8155,57.8155,425,0
CDC.US,5,20230524,162000,57.879,57.879,57.879,57.879,400,0
CDC.US,5,20230524,162500,57.7901,57.9,57.7901,57.9,854,0
CDC.US,5,20230524,163000,57.9827,58.0342,57.9827,58.0342,696,0
CDC.US,5,20230524,163500,58.0074,58.012,58.0074,58.012,785,0
CDC.US,5,20230524,164000,57.99,57.99,57.9439,57.99,3265,0
CDC.US,5,20230524,165000,57.97,57.97,57.96,57.96,1100,0
CDC.US,5,20230524,170000,57.95,57.95,57.95,57.95,4283,0
CDC.US,5,20230524,170500,57.9279,57.9279,57.9279,57.9279,661,0
CDC.US,5,20230524,171500,57.87,57.87,57.87,57.87,100,0
CDC.US,5,20230524,172000,57.9198,58.01,57.9198,58.01,671,0
CDC.US,5,20230524,172500,57.9932,58.06,57.96,57.96,4857,0
CDC.US,5,20230524,173000,57.94,57.94,57.9,57.9,437,0
CDC.US,5,20230524,173500,57.865,57.9,57.865,57.9,650,0
CDC.US,5,20230524,174000,57.9,57.9,57.86,57.86,800,0
CDC.US,5,20230524,174500,57.84,57.84,57.84,57.84,200,0
CDC.US,5,20230524,175000,57.87,57.87,57.7931,57.825,694,0
CDC.US,5,20230524,175500,57.75,57.75,57.75,57.75,130,0
CDC.US,5,20230524,180000,57.8,57.8,57.8,57.8,100,0
CDC.US,5,20230524,180500,57.781,57.781,57.781,57.781,173,0
CDC.US,5,20230524,181500,57.73,57.75,57.73,57.75,6737,0
CDC.US,5,20230524,182000,57.76,57.76,57.76,57.76,100,0
CDC.US,5,20230524,184000,57.85,57.87,57.8236,57.87,1240,0
CDC.US,5,20230524,185500,57.84,57.84,57.84,57.84,200,0
CDC.US,5,20230524,190000,57.765,57.7875,57.765,57.7875,300,0
CDC.US,5,20230524,190500,57.7506,57.7722,57.7371,57.7371,2473,0
CDC.US,5,20230524,191000,57.741,57.75,57.741,57.75,910,0
CDC.US,5,20230524,191500,57.7717,57.7717,57.77,57.77,375,0
CDC.US,5,20230524,192000,57.82,57.8555,57.76,57.8,1431,0
CDC.US,5,20230524,192500,57.75,57.75,57.7227,57.7227,360,0
CDC.US,5,20230524,193000,57.78,57.78,57.7623,57.7623,666,0
CDC.US,5,20230524,193500,57.82,57.82,57.82,57.82,100,0
CDC.US,5,20230524,194000,57.855,57.88,57.855,57.876,1817,0
CDC.US,5,20230524,194500,57.88,57.88,57.7852,57.7852,866,0
CDC.US,5,20230524,195000,57.8247,57.8247,57.815,57.815,406,0
CDC.US,5,20230524,195500,57.86,57.86,57.86,57.86,170,0
CDC.US,5,20230524,200000,57.84,57.85,57.84,57.85,1000,0
CDC.US,5,20230524,200500,57.83,57.83,57.83,57.83,206,0
CDC.US,5,20230524,201500,57.765,57.765,57.756,57.756,429,0
CDC.US,5,20230524,202000,57.77,57.77,57.77,57.77,100,0
CDC.US,5,20230524,202500,57.74,57.74,57.72,57.7357,1454,0
CDC.US,5,20230524,203000,57.7377,57.77,57.68,57.77,1517,0
CDC.US,5,20230524,204000,57.87,57.87,57.87,57.87,173,0
CDC.US,5,20230524,205000,57.8317,57.8317,57.8317,57.8317,606,0
CDC.US,5,20230524,210000,57.755,57.755,57.755,57.755,126,0
CDC.US,5,20230524,210500,57.7775,57.7983,57.75,57.765,1868,0
CDC.US,5,20230524,211000,57.76,57.76,57.7419,57.7419,1263,0
CDC.US,5,20230524,211500,57.81,57.925,57.81,57.925,1327,0
CDC.US,5,20230524,212000,57.97,57.98,57.9,57.91,1300,0
CDC.US,5,20230524,212500,57.9432,57.9432,57.915,57.93,762,0
CDC.US,5,20230524,213000,57.91,58.0461,57.91,57.97,3787,0
CDC.US,5,20230524,213500,57.96,57.96,57.8753,57.92,2211,0
CDC.US,5,20230524,214000,57.89,57.94,57.89,57.89,2308,0
CDC.US,5,20230524,214500,57.855,57.86,57.855,57.86,321,0
