<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDL.US,5,20230522,153000,55.51,55.51,55.51,55.51,254,0
CDL.US,5,20230522,153500,55.6918,55.7101,55.6918,55.7101,358,0
CDL.US,5,20230522,154000,55.71,55.71,55.71,55.71,100,0
CDL.US,5,20230522,160500,55.355,55.355,55.355,55.355,515,0
CDL.US,5,20230522,161000,55.29,55.29,55.29,55.29,100,0
CDL.US,5,20230522,164000,55.41,55.41,55.41,55.41,100,0
CDL.US,5,20230522,165500,55.2998,55.33,55.2998,55.32,969,0
CDL.US,5,20230522,170000,55.34,55.34,55.34,55.34,100,0
CDL.US,5,20230522,171500,55.4832,55.4832,55.4832,55.4832,231,0
CDL.US,5,20230522,175000,55.535,55.535,55.535,55.535,111,0
CDL.US,5,20230522,180000,55.6189,55.6189,55.6189,55.6189,135,0
CDL.US,5,20230522,180500,55.616,55.616,55.616,55.616,697,0
CDL.US,5,20230522,181000,55.5846,55.5846,55.5751,55.5751,656,0
CDL.US,5,20230522,181500,55.5801,55.5801,55.5801,55.5801,452,0
CDL.US,5,20230522,191000,55.6028,55.6028,55.5,55.5,1600,0
CDL.US,5,20230522,192500,55.55,55.55,55.55,55.55,675,0
CDL.US,5,20230522,193500,55.57,55.5873,55.57,55.5873,425,0
CDL.US,5,20230522,194000,55.5773,55.5773,55.5773,55.5773,370,0
CDL.US,5,20230522,195000,55.56,55.56,55.56,55.56,100,0
CDL.US,5,20230522,195500,55.59,55.59,55.59,55.59,121,0
CDL.US,5,20230522,200500,55.5944,55.5944,55.5944,55.5944,334,0
CDL.US,5,20230522,203000,55.641,55.641,55.641,55.641,210,0
CDL.US,5,20230522,204000,55.66,55.66,55.66,55.66,346,0
CDL.US,5,20230522,204500,55.68,55.685,55.67,55.6702,10427,0
CDL.US,5,20230522,205000,55.7225,55.7225,55.7225,55.7225,300,0
CDL.US,5,20230522,205500,55.6612,55.69,55.6612,55.69,542,0
CDL.US,5,20230522,211000,55.65,55.65,55.65,55.65,200,0
