<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEFA.US,5,20230523,153000,28.52,28.52,28.52,28.52,100,0
CEFA.US,5,20230524,153000,28.1,28.1,28.1,28.1,100,0
CEFA.US,5,20230524,215000,27.9104,27.92,27.9104,27.92,200,0
CEFA.US,5,20230525,210000,27.834,27.84,27.834,27.84,200,0
CEFA.US,5,20230531,211000,27.53,27.53,27.47,27.48,800,0
CEFA.US,5,20230601,205500,28.06,28.06,28.06,28.06,100,0
CEFA.US,5,20230602,192000,28.458,28.458,28.458,28.458,332,0
CEFA.US,5,20230605,191500,28.3913,28.3913,28.3913,28.3913,100,0
CEFA.US,5,20230605,202500,28.35,28.38,28.32,28.329,1520,0
CEFA.US,5,20230606,153000,28.36,28.36,28.36,28.36,850,0
CEFA.US,5,20230606,155500,28.35,28.35,28.35,28.35,200,0
CEFA.US,5,20230606,184500,28.42,28.42,28.4001,28.4001,1723,0
CEFA.US,5,20230607,153000,28.36,28.37,28.36,28.37,200,0
CEFA.US,5,20230607,153500,28.4,28.4,28.4,28.4,100,0
CEFA.US,5,20230607,160000,28.45,28.45,28.45,28.45,123,0
CEFA.US,5,20230607,174000,28.29,28.29,28.29,28.29,100,0
CEFA.US,5,20230607,190000,28.18,28.18,28.18,28.18,22800,0
CEFA.US,5,20230609,205500,28.51,28.51,28.51,28.51,100,0
CEFA.US,5,20230613,153000,29.19,29.19,29.19,29.19,176,0
CEFA.US,5,20230613,162500,29.0354,29.0354,29.0354,29.0354,190,0
CEFA.US,5,20230613,193500,29.02,29.02,29.02,29.02,300,0
CEFA.US,5,20230614,153000,28.91,28.91,28.91,28.91,119,0
CEFA.US,5,20230614,165500,29.2171,29.2171,29.2171,29.2171,300,0
CEFA.US,5,20230616,170500,29.4165,29.4165,29.4165,29.4165,150,0
CEFA.US,5,20230616,194500,29.34,29.34,29.34,29.34,100,0
CEFA.US,5,20230616,215000,29.265,29.265,29.265,29.265,100,0
CEFA.US,5,20230616,215500,29.265,29.265,29.265,29.265,200,0
CEFA.US,5,20230620,163500,29.1899,29.1899,29.1899,29.1899,650,0
CEFA.US,5,20230620,202000,28.915,28.915,28.915,28.915,100,0
CEFA.US,5,20230620,215000,28.93,28.93,28.93,28.93,100,0
CEFA.US,5,20230621,163000,28.924,28.924,28.924,28.924,100,0
CEFA.US,5,20230621,190500,28.9606,28.9606,28.9606,28.9606,800,0
CEFA.US,5,20230626,191000,28.335,28.3854,28.33,28.3854,5270,0
CEFA.US,5,20230626,203500,28.36,28.36,28.36,28.36,100,0
CEFA.US,5,20230626,204000,28.37,28.37,28.37,28.37,200,0
CEFA.US,5,20230626,205000,28.37,28.37,28.37,28.37,200,0
CEFA.US,5,20230626,215000,28.32,28.32,28.32,28.32,300,0
CEFA.US,5,20230626,215500,28.33,28.33,28.31,28.32,500,0
CEFA.US,5,20230627,200500,28.565,28.565,28.565,28.565,160,0
CEFA.US,5,20230627,204000,28.5625,28.5625,28.5625,28.5625,100,0
CEFA.US,5,20230629,210000,28.19,28.2,28.18,28.19,2400,0
CEFA.US,5,20230630,165500,28.5346,28.5346,28.5346,28.5346,350,0
CEFA.US,5,20230630,171000,28.5294,28.5294,28.5294,28.5294,700,0
CEFA.US,5,20230630,172000,28.5446,28.5446,28.5446,28.5446,250,0
CEFA.US,5,20230703,175500,28.65,28.65,28.65,28.65,161,0
CEFA.US,5,20230703,185500,28.602,28.602,28.602,28.602,349,0
CEFA.US,5,20230705,195500,28.1946,28.1946,28.1946,28.1946,119,0
CEFA.US,5,20230706,155500,27.75,27.75,27.73,27.73,200,0
CEFA.US,5,20230707,162000,27.9299,27.9299,27.9299,27.9299,253,0
