<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFA.US,5,20230522,154000,68.45,68.45,68.45,68.45,100,0
CFA.US,5,20230522,155000,68.23,68.23,68.23,68.23,5000,0
CFA.US,5,20230522,165000,67.951,67.951,67.951,67.951,113,0
CFA.US,5,20230522,165500,68.01,68.01,68.01,68.01,200,0
CFA.US,5,20230522,174500,68.121,68.121,68.121,68.121,324,0
CFA.US,5,20230522,175000,68.13,68.14,68.13,68.14,1401,0
CFA.US,5,20230522,180500,68.22,68.22,68.22,68.22,100,0
CFA.US,5,20230522,181000,68.2482,68.2482,68.2482,68.2482,189,0
CFA.US,5,20230522,182000,68.2,68.2,68.2,68.2,1100,0
CFA.US,5,20230522,183000,68.19,68.19,68.19,68.19,100,0
CFA.US,5,20230522,191000,68.19,68.19,68.15,68.15,1100,0
CFA.US,5,20230522,200000,68.19,68.19,68.19,68.19,100,0
CFA.US,5,20230522,201500,68.23,68.23,68.23,68.23,100,0
CFA.US,5,20230522,203500,68.3,68.3,68.3,68.3,459,0
CFA.US,5,20230522,204000,68.3,68.3,68.3,68.3,151,0
CFA.US,5,20230522,204500,68.3,68.3,68.3,68.3,100,0
CFA.US,5,20230522,205500,68.29,68.29,68.29,68.29,100,0
CFA.US,5,20230522,211500,68.29,68.29,68.29,68.29,100,0
CFA.US,5,20230522,212000,68.25,68.25,68.25,68.25,100,0
CFA.US,5,20230522,212500,68.22,68.22,68.19,68.19,200,0
CFA.US,5,20230522,213000,68.19,68.19,68.17,68.18,700,0
CFA.US,5,20230522,213500,68.18,68.18,68.15,68.17,500,0
CFA.US,5,20230522,214000,68.17,68.18,68.16,68.16,500,0
CFA.US,5,20230522,214500,68.17,68.19,68.14,68.14,820,0
CFA.US,5,20230522,215000,68.11,68.18,68.11,68.1799,1000,0
CFA.US,5,20230522,215500,68.14,68.14,68.12,68.13,2045,0
CFA.US,5,20230523,153000,68.06,68.06,68.06,68.06,301,0
CFA.US,5,20230523,154000,67.85,67.85,67.85,67.85,100,0
CFA.US,5,20230523,161500,67.9003,67.9003,67.9003,67.9003,1151,0
CFA.US,5,20230523,163000,68.025,68.025,68.025,68.025,114,0
CFA.US,5,20230523,165500,67.91,67.9337,67.91,67.9337,274,0
CFA.US,5,20230523,170000,67.985,67.985,67.985,67.985,241,0
CFA.US,5,20230523,171500,67.96,67.96,67.96,67.96,100,0
CFA.US,5,20230523,172000,67.975,68,67.975,68,1700,0
