<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CFO.US,5,20230522,153000,61.74,61.74,61.74,61.74,605,0
CFO.US,5,20230522,161000,61.55,61.55,61.55,61.55,100,0
CFO.US,5,20230522,163000,61.73,61.73,61.72,61.72,854,0
CFO.US,5,20230522,164000,61.6827,61.6827,61.6827,61.6827,400,0
CFO.US,5,20230522,164500,61.58,61.6097,61.58,61.6097,10400,0
CFO.US,5,20230522,165000,61.6,61.6,61.56,61.5709,462,0
CFO.US,5,20230522,165500,61.6,61.61,61.6,61.61,300,0
CFO.US,5,20230522,170000,61.6817,61.6817,61.6817,61.6817,122,0
CFO.US,5,20230522,173500,61.77,61.77,61.77,61.77,106,0
CFO.US,5,20230522,181500,61.8139,61.8139,61.8139,61.8139,131,0
CFO.US,5,20230522,190000,61.8,61.8,61.8,61.8,1118,0
CFO.US,5,20230522,191000,61.78,61.78,61.78,61.78,100,0
CFO.US,5,20230522,192000,61.78,61.78,61.78,61.78,979,0
CFO.US,5,20230522,193000,61.785,61.785,61.7615,61.7615,742,0
CFO.US,5,20230522,194000,61.813,61.813,61.813,61.813,420,0
CFO.US,5,20230522,194500,61.8169,61.8169,61.8169,61.8169,123,0
CFO.US,5,20230522,200500,61.7959,61.7959,61.7959,61.7959,142,0
CFO.US,5,20230522,201000,61.82,61.82,61.82,61.82,262,0
CFO.US,5,20230522,203500,61.8841,61.8841,61.8841,61.8841,211,0
CFO.US,5,20230522,204500,61.89,61.9,61.88,61.88,1275,0
CFO.US,5,20230522,205000,61.93,61.9501,61.93,61.9501,304,0
CFO.US,5,20230522,212000,61.825,61.825,61.825,61.825,106,0
CFO.US,5,20230522,212500,61.7921,61.7921,61.7921,61.7921,111,0
CFO.US,5,20230522,213500,61.77,61.77,61.77,61.77,312,0
CFO.US,5,20230522,214000,61.76,61.76,61.76,61.76,400,0
CFO.US,5,20230522,214500,61.7815,61.7815,61.74,61.74,1462,0
CFO.US,5,20230522,215000,61.6673,61.6673,61.6673,61.6673,128,0
CFO.US,5,20230522,215500,61.72,61.73,61.72,61.73,640,0
CFO.US,5,20230523,153500,61.43,61.43,61.43,61.43,247,0
