<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHB.US,5,20230524,180000,8.43,8.44,8.43,8.44,1121,0
CHB.US,5,20230530,203500,8.1,8.1,8.1,8.1,350,0
CHB.US,5,20230530,204500,8.1206,8.1206,8.1206,8.1206,490,0
CHB.US,5,20230530,215500,8.17,8.17,8.17,8.17,300,0
CHB.US,5,20230601,164500,8.18,8.18,8.18,8.18,499,0
CHB.US,5,20230607,153000,8.04,8.04,8.03,8.03,1350,0
CHB.US,5,20230607,160500,8.01,8.01,8.01,8.01,200,0
CHB.US,5,20230607,213000,7.95,7.95,7.95,7.95,100,0
CHB.US,5,20230613,183000,7.9306,7.9306,7.9306,7.9306,150,0
CHB.US,5,20230613,194500,7.88,7.88,7.87,7.87,1200,0
CHB.US,5,20230614,160500,7.848,7.848,7.848,7.848,199,0
CHB.US,5,20230616,215000,8.15,8.15,8.15,8.15,100,0
CHB.US,5,20230620,180000,7.7625,7.7625,7.7625,7.7625,430,0
CHB.US,5,20230620,193500,7.74,7.74,7.74,7.74,100,0
CHB.US,5,20230627,170000,7.62,7.62,7.62,7.62,307,0
CHB.US,5,20230629,153000,7.47,7.47,7.47,7.47,108,0
CHB.US,5,20230629,154000,7.46,7.46,7.46,7.46,1099,0
CHB.US,5,20230630,182500,7.601,7.601,7.601,7.601,153,0
