<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURCAD,5,20250210,000000,1.47807,1.47906,1.47763,1.47856,0,0
EURCAD,5,20250210,000500,1.47843,1.47843,1.47767,1.47777,0,0
EURCAD,5,20250210,001000,1.47788,1.4783,1.4778,1.47829,0,0
EURCAD,5,20250210,001500,1.47825,1.47827,1.47783,1.47796,0,0
EURCAD,5,20250210,002000,1.47796,1.47797,1.47765,1.47779,0,0
EURCAD,5,20250210,002500,1.47773,1.47778,1.47752,1.47753,0,0
EURCAD,5,20250210,003000,1.47753,1.47831,1.47753,1.4783,0,0
EURCAD,5,20250210,003500,1.4783,1.47834,1.47809,1.47819,0,0
EURCAD,5,20250210,004000,1.47813,1.47838,1.4781,1.47838,0,0
EURCAD,5,20250210,004500,1.47838,1.47884,1.47817,1.47827,0,0
EURCAD,5,20250210,005000,1.47824,1.47827,1.47793,1.47821,0,0
EURCAD,5,20250210,005500,1.4783,1.4783,1.47772,1.47777,0,0
EURCAD,5,20250210,010000,1.47776,1.47781,1.47748,1.47777,0,0
EURCAD,5,20250210,010500,1.47776,1.47819,1.47765,1.47811,0,0
EURCAD,5,20250210,011000,1.4781,1.47812,1.47788,1.47812,0,0
EURCAD,5,20250210,011500,1.47818,1.47844,1.47804,1.47824,0,0
EURCAD,5,20250210,012000,1.47823,1.47848,1.4782,1.47838,0,0
EURCAD,5,20250210,012500,1.47838,1.47838,1.47817,1.47821,0,0
EURCAD,5,20250210,013000,1.47816,1.47854,1.47815,1.47847,0,0
EURCAD,5,20250210,013500,1.47847,1.47849,1.47819,1.47822,0,0
EURCAD,5,20250210,014000,1.47821,1.47826,1.47812,1.47814,0,0
EURCAD,5,20250210,014500,1.47815,1.47853,1.47804,1.47847,0,0
EURCAD,5,20250210,015000,1.47848,1.47852,1.47782,1.47782,0,0
EURCAD,5,20250210,015500,1.47779,1.47796,1.47766,1.47778,0,0
EURCAD,5,20250210,020000,1.47772,1.47782,1.47732,1.47782,0,0
EURCAD,5,20250210,020500,1.47778,1.47808,1.47767,1.47772,0,0
EURCAD,5,20250210,021000,1.47766,1.47823,1.47759,1.47819,0,0
EURCAD,5,20250210,021500,1.47811,1.47811,1.47777,1.47792,0,0
EURCAD,5,20250210,022000,1.47792,1.47844,1.47778,1.47822,0,0
EURCAD,5,20250210,022500,1.47824,1.47903,1.47819,1.47821,0,0
EURCAD,5,20250210,023000,1.47815,1.47883,1.47815,1.47878,0,0
EURCAD,5,20250210,023500,1.47878,1.47878,1.47837,1.47857,0,0
EURCAD,5,20250210,024000,1.47866,1.47883,1.47794,1.47809,0,0
EURCAD,5,20250210,024500,1.47803,1.47837,1.47799,1.47818,0,0
EURCAD,5,20250210,025000,1.47821,1.47848,1.47804,1.47835,0,0
EURCAD,5,20250210,025500,1.47844,1.47847,1.47823,1.4784,0,0
EURCAD,5,20250210,030000,1.47839,1.47853,1.47829,1.47846,0,0
EURCAD,5,20250210,030500,1.47844,1.47855,1.47833,1.47845,0,0
EURCAD,5,20250210,031000,1.47851,1.47851,1.47829,1.47837,0,0
EURCAD,5,20250210,031500,1.47832,1.47898,1.47825,1.47876,0,0
EURCAD,5,20250210,032000,1.47875,1.47879,1.4786,1.47864,0,0
EURCAD,5,20250210,032500,1.47864,1.47905,1.4786,1.47871,0,0
EURCAD,5,20250210,033000,1.47868,1.47868,1.47851,1.47857,0,0
EURCAD,5,20250210,033500,1.47855,1.47855,1.47829,1.47853,0,0
EURCAD,5,20250210,034000,1.47856,1.47856,1.47819,1.47825,0,0
EURCAD,5,20250210,034500,1.47825,1.4784,1.47818,1.47824,0,0
EURCAD,5,20250210,035000,1.47823,1.47867,1.47822,1.47858,0,0
EURCAD,5,20250210,035500,1.47861,1.47869,1.47851,1.47869,0,0
