<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURGBP,5,20250210,000000,0.831632,0.832217,0.831459,0.832095,0,0
EURGBP,5,20250210,000500,0.832104,0.832155,0.83199,0.83209,0,0
EURGBP,5,20250210,001000,0.832076,0.832076,0.831909,0.832038,0,0
EURGBP,5,20250210,001500,0.832046,0.832131,0.832001,0.832009,0,0
EURGBP,5,20250210,002000,0.832002,0.832036,0.831935,0.831964,0,0
EURGBP,5,20250210,002500,0.831972,0.832009,0.831926,0.831942,0,0
EURGBP,5,20250210,003000,0.831943,0.832061,0.831943,0.832047,0,0
EURGBP,5,20250210,003500,0.832047,0.832085,0.832023,0.832064,0,0
EURGBP,5,20250210,004000,0.832067,0.832112,0.831997,0.832077,0,0
EURGBP,5,20250210,004500,0.832082,0.832176,0.832068,0.832174,0,0
EURGBP,5,20250210,005000,0.832147,0.832188,0.832058,0.832188,0,0
EURGBP,5,20250210,005500,0.832239,0.832239,0.832115,0.832148,0,0
EURGBP,5,20250210,010000,0.83215,0.832286,0.832058,0.832286,0,0
EURGBP,5,20250210,010500,0.832245,0.832321,0.832184,0.832271,0,0
EURGBP,5,20250210,011000,0.832278,0.832325,0.832155,0.832192,0,0
EURGBP,5,20250210,011500,0.83219,0.832217,0.832086,0.832157,0,0
EURGBP,5,20250210,012000,0.832137,0.832178,0.832055,0.832065,0,0
EURGBP,5,20250210,012500,0.832065,0.832081,0.832017,0.832042,0,0
EURGBP,5,20250210,013000,0.832025,0.832111,0.832022,0.832063,0,0
EURGBP,5,20250210,013500,0.832072,0.832149,0.832071,0.832098,0,0
EURGBP,5,20250210,014000,0.832095,0.83214,0.832076,0.832095,0,0
EURGBP,5,20250210,014500,0.83209,0.8321,0.832023,0.832069,0,0
EURGBP,5,20250210,015000,0.83208,0.832192,0.831997,0.83201,0,0
EURGBP,5,20250210,015500,0.832008,0.832116,0.831989,0.832025,0,0
EURGBP,5,20250210,020000,0.83208,0.832117,0.831988,0.832117,0,0
EURGBP,5,20250210,020500,0.832082,0.832152,0.832061,0.832063,0,0
EURGBP,5,20250210,021000,0.832056,0.832162,0.831975,0.832117,0,0
EURGBP,5,20250210,021500,0.832103,0.832165,0.832045,0.832165,0,0
EURGBP,5,20250210,022000,0.832148,0.8322,0.832108,0.832108,0,0
EURGBP,5,20250210,022500,0.832114,0.832114,0.831892,0.831919,0,0
EURGBP,5,20250210,023000,0.831906,0.832008,0.831879,0.83197,0,0
EURGBP,5,20250210,023500,0.83197,0.832034,0.831936,0.832023,0,0
EURGBP,5,20250210,024000,0.831999,0.832018,0.831926,0.83197,0,0
EURGBP,5,20250210,024500,0.831956,0.832041,0.831934,0.832018,0,0
EURGBP,5,20250210,025000,0.832035,0.83213,0.831988,0.832088,0,0
EURGBP,5,20250210,025500,0.832102,0.832102,0.83199,0.832023,0,0
EURGBP,5,20250210,030000,0.832029,0.832088,0.831977,0.831992,0,0
EURGBP,5,20250210,030500,0.831984,0.831991,0.831878,0.831901,0,0
EURGBP,5,20250210,031000,0.831925,0.831929,0.831864,0.831916,0,0
EURGBP,5,20250210,031500,0.831905,0.831962,0.831869,0.831901,0,0
EURGBP,5,20250210,032000,0.831901,0.831918,0.831798,0.831836,0,0
EURGBP,5,20250210,032500,0.831828,0.831882,0.83179,0.831836,0,0
EURGBP,5,20250210,033000,0.831836,0.831929,0.831831,0.831881,0,0
EURGBP,5,20250210,033500,0.831895,0.831902,0.831836,0.831856,0,0
EURGBP,5,20250210,034000,0.831864,0.831877,0.831719,0.831747,0,0
EURGBP,5,20250210,034500,0.831734,0.831843,0.831727,0.831829,0,0
EURGBP,5,20250210,035000,0.831829,0.831851,0.831782,0.831815,0,0
EURGBP,5,20250210,035500,0.831856,0.831908,0.831836,0.83188,0,0
EURGBP,5,20250210,040000,0.831863,0.831931,0.831843,0.831849,0,0
EURGBP,5,20250210,040500,0.831843,0.831851,0.831762,0.831808,0,0
EURGBP,5,20250210,041000,0.831797,0.83183,0.831756,0.831784,0,0
EURGBP,5,20250210,041500,0.831782,0.831864,0.831776,0.83183,0,0
EURGBP,5,20250210,042000,0.831821,0.831891,0.831814,0.831835,0,0
EURGBP,5,20250210,042500,0.831821,0.831856,0.8318,0.831856,0,0
EURGBP,5,20250210,043000,0.831848,0.831906,0.831817,0.831896,0,0
EURGBP,5,20250210,043500,0.831896,0.831917,0.831784,0.83183,0,0
EURGBP,5,20250210,044000,0.831841,0.83192,0.831841,0.831869,0,0
EURGBP,5,20250210,044500,0.831869,0.831947,0.831861,0.8319,0,0
EURGBP,5,20250210,045000,0.831907,0.831958,0.831899,0.831905,0,0
EURGBP,5,20250210,045500,0.831897,0.831899,0.831791,0.831809,0,0
EURGBP,5,20250210,050000,0.831809,0.831909,0.831809,0.831861,0,0
EURGBP,5,20250210,050500,0.831856,0.831939,0.831839,0.831939,0,0
EURGBP,5,20250210,051000,0.831946,0.83199,0.831912,0.831944,0,0
EURGBP,5,20250210,051500,0.83196,0.832011,0.831912,0.831918,0,0
EURGBP,5,20250210,052000,0.831925,0.831925,0.831847,0.831856,0,0
EURGBP,5,20250210,052500,0.831856,0.831856,0.83181,0.831839,0,0
EURGBP,5,20250210,053000,0.831831,0.831966,0.831805,0.831944,0,0
EURGBP,5,20250210,053500,0.83195,0.831966,0.831888,0.831891,0,0
EURGBP,5,20250210,054000,0.831891,0.831966,0.83188,0.831926,0,0
EURGBP,5,20250210,054500,0.831918,0.831918,0.831839,0.831917,0,0
EURGBP,5,20250210,055000,0.831917,0.831918,0.831871,0.831874,0,0
EURGBP,5,20250210,055500,0.831864,0.831877,0.831844,0.831872,0,0
EURGBP,5,20250210,060000,0.831872,0.831872,0.831744,0.831752,0,0
EURGBP,5,20250210,060500,0.831751,0.831818,0.83173,0.831818,0,0
EURGBP,5,20250210,061000,0.831838,0.831881,0.831816,0.831865,0,0
EURGBP,5,20250210,061500,0.831861,0.831911,0.831843,0.831859,0,0
EURGBP,5,20250210,062000,0.831867,0.831888,0.831819,0.831846,0,0
EURGBP,5,20250210,062500,0.831845,0.831899,0.83183,0.831854,0,0
EURGBP,5,20250210,063000,0.831848,0.831868,0.831771,0.831793,0,0
EURGBP,5,20250210,063500,0.831793,0.831931,0.831792,0.831857,0,0
EURGBP,5,20250210,064000,0.831852,0.831926,0.831797,0.831911,0,0
EURGBP,5,20250210,064500,0.831886,0.831926,0.831852,0.831867,0,0
EURGBP,5,20250210,065000,0.831859,0.831899,0.831837,0.831874,0,0
EURGBP,5,20250210,065500,0.831874,0.831931,0.83185,0.831905,0,0
EURGBP,5,20250210,070000,0.831901,0.831943,0.831816,0.831837,0,0
EURGBP,5,20250210,070500,0.831845,0.831845,0.831712,0.831719,0,0
EURGBP,5,20250210,071000,0.831704,0.831751,0.831671,0.831695,0,0
EURGBP,5,20250210,071500,0.831689,0.831738,0.831617,0.831663,0,0
EURGBP,5,20250210,072000,0.831663,0.83167,0.83163,0.831665,0,0
EURGBP,5,20250210,072500,0.831655,0.831663,0.831542,0.831548,0,0
EURGBP,5,20250210,073000,0.831544,0.831585,0.831446,0.831446,0,0
EURGBP,5,20250210,073500,0.831454,0.831493,0.831408,0.831408,0,0
EURGBP,5,20250210,074000,0.831406,0.831556,0.831382,0.831551,0,0
EURGBP,5,20250210,074500,0.831567,0.831574,0.831516,0.831521,0,0
EURGBP,5,20250210,075000,0.831503,0.831546,0.831463,0.831508,0,0
EURGBP,5,20250210,075500,0.831508,0.831594,0.831476,0.831534,0,0
EURGBP,5,20250210,080000,0.831534,0.83162,0.831371,0.831602,0,0
EURGBP,5,20250210,080500,0.831602,0.831786,0.831602,0.831757,0,0
EURGBP,5,20250210,081000,0.831733,0.831733,0.831601,0.831601,0,0
EURGBP,5,20250210,081500,0.831601,0.831601,0.831394,0.83147,0,0
EURGBP,5,20250210,082000,0.831462,0.831504,0.831303,0.83133,0,0
EURGBP,5,20250210,082500,0.831342,0.831342,0.831096,0.831115,0,0
EURGBP,5,20250210,083000,0.831119,0.831231,0.830992,0.831132,0,0
