<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOOG.US,5,20250103,153000,192.725,194.08,192.27,193.45,575403,0
GOOG.US,5,20250103,153500,193.48,194.27,193.13,194.27,279719,0
GOOG.US,5,20250103,154000,194.405,194.5,193.635,193.9,198811,0
GOOG.US,5,20250103,154500,193.89,194.2,192.88,193.07,203695,0
GOOG.US,5,20250103,155000,193.11,193.435,192.48,192.85,111374,0
GOOG.US,5,20250103,155500,192.83,192.93,192.545,192.845,102445,0
GOOG.US,5,20250103,160000,192.94,193.19,191.99,193.14,156172,0
GOOG.US,5,20250103,160500,193.155,193.33,192.55,192.715,107306,0
GOOG.US,5,20250103,161000,192.76,192.87,191.9576,192.19,84975,0
GOOG.US,5,20250103,161500,192.185,192.38,191.78,192.04,101458,0
GOOG.US,5,20250103,162000,192.01,192.01,191.35,191.92,90427,0
GOOG.US,5,20250103,162500,191.97,192.35,191.84,192.07,89828,0
GOOG.US,5,20250103,163000,192.06,192.3284,191.73,192.31,45268,0
GOOG.US,5,20250103,163500,192.3,192.61,191.93,192.15,67774,0
GOOG.US,5,20250103,164000,192.16,192.625,192.1204,192.4595,95365,0
GOOG.US,5,20250103,164500,192.485,192.61,192.26,192.3552,72305,0
GOOG.US,5,20250103,165000,192.33,192.35,191.95,192.005,46586,0
GOOG.US,5,20250103,165500,191.99,192.32,191.95,192.08,130516,0
GOOG.US,5,20250103,170000,192.125,192.5,191.86,192.32,58336,0
GOOG.US,5,20250103,170500,192.34,192.36,191.7201,191.75,92135,0
GOOG.US,5,20250103,171000,191.78,192.045,191.62,191.95,86489,0
GOOG.US,5,20250103,171500,191.92,192.03,191.78,192.005,46057,0
GOOG.US,5,20250103,172000,192.08,192.2,191.89,192.11,70991,0
GOOG.US,5,20250103,172500,192.1,192.42,192.05,192.36,98382,0
GOOG.US,5,20250103,173000,192.35,192.76,192.295,192.72,71988,0
GOOG.US,5,20250103,173500,192.73,193.15,192.56,193.11,72267,0
GOOG.US,5,20250103,174000,193.1011,193.4,193.05,193.28,60788,0
GOOG.US,5,20250103,174500,193.27,193.47,193.245,193.435,35390,0
GOOG.US,5,20250103,175000,193.45,193.77,193.425,193.74,46683,0
GOOG.US,5,20250103,175500,193.7,193.75,193.34,193.3587,49203,0
GOOG.US,5,20250103,180000,193.38,193.62,193.38,193.5905,40500,0
GOOG.US,5,20250103,180500,193.6,193.77,193.51,193.52,42747,0
GOOG.US,5,20250103,181000,193.51,193.6,193.3517,193.38,35315,0
GOOG.US,5,20250103,181500,193.37,193.5962,193.209,193.21,46401,0
GOOG.US,5,20250103,182000,193.202,193.48,193.16,193.46,69824,0
GOOG.US,5,20250103,182500,193.47,193.54,193.22,193.27,38315,0
GOOG.US,5,20250103,183000,193.29,193.343,193.0206,193.2716,36181,0
GOOG.US,5,20250103,183500,193.2,193.28,193.0966,193.21,24045,0
GOOG.US,5,20250103,184000,193.22,193.3398,193.06,193.06,35025,0
GOOG.US,5,20250103,184500,193.07,193.15,192.97,193.13,30387,0
GOOG.US,5,20250103,185000,193.12,193.38,193.11,193.32,54991,0
GOOG.US,5,20250103,185500,193.317,193.33,193.17,193.26,35759,0
GOOG.US,5,20250103,190000,193.27,193.3,193.1,193.25,23002,0
GOOG.US,5,20250103,190500,193.24,193.34,193.22,193.24,37972,0
GOOG.US,5,20250103,191000,193.2685,193.32,193.14,193.3104,32809,0
GOOG.US,5,20250103,191500,193.345,193.5899,193.32,193.57,67024,0
GOOG.US,5,20250103,192000,193.565,193.646,193.51,193.5535,45177,0
GOOG.US,5,20250103,192500,193.56,193.68,193.52,193.66,48297,0
GOOG.US,5,20250103,193000,193.679,193.7574,193.4,193.415,40241,0
GOOG.US,5,20250103,193500,193.4285,193.69,193.4285,193.69,40172,0
GOOG.US,5,20250103,194000,193.7,193.74,193.53,193.6001,29031,0
GOOG.US,5,20250103,194500,193.6,193.6461,193.47,193.52,33313,0
GOOG.US,5,20250103,195000,193.53,193.68,193.45,193.63,30069,0
GOOG.US,5,20250103,195500,193.66,193.72,193.22,193.28,68059,0
GOOG.US,5,20250103,200000,193.27,193.6054,193.2046,193.53,51976,0
GOOG.US,5,20250103,200500,193.5,193.6231,193.4,193.6231,30645,0
GOOG.US,5,20250103,201000,193.61,193.66,193.5384,193.64,24056,0
GOOG.US,5,20250103,201500,193.63,193.68,193.53,193.64,60765,0
GOOG.US,5,20250103,202000,193.6283,193.6283,193.43,193.5,40810,0
GOOG.US,5,20250103,202500,193.49,193.6,193.42,193.6,31008,0
GOOG.US,5,20250103,203000,193.59,193.63,193.49,193.63,49209,0
GOOG.US,5,20250103,203500,193.6378,193.905,193.57,193.905,35109,0
GOOG.US,5,20250103,204000,193.9,193.9777,193.82,193.83,46366,0
GOOG.US,5,20250103,204500,193.82,193.93,193.72,193.76,31428,0
GOOG.US,5,20250103,205000,193.77,193.78,193.61,193.68,28572,0
GOOG.US,5,20250103,205500,193.68,193.69,193.58,193.611,35216,0
GOOG.US,5,20250103,210000,193.6,193.6,193.36,193.38,53114,0
GOOG.US,5,20250103,210500,193.39,193.53,193.33,193.5,93496,0
GOOG.US,5,20250103,211000,193.5,193.55,193.32,193.39,95010,0
GOOG.US,5,20250103,211500,193.38,193.45,193.314,193.39,31590,0
GOOG.US,5,20250103,212000,193.37,193.44,193.3,193.39,35957,0
GOOG.US,5,20250103,212500,193.4,193.47,193.245,193.44,36517,0
GOOG.US,5,20250103,213000,193.43,193.43,193.18,193.19,82023,0
GOOG.US,5,20250103,213500,193.2284,193.36,193.16,193.28,56270,0
GOOG.US,5,20250103,214000,193.26,193.26,193.11,193.12,43504,0
GOOG.US,5,20250103,214500,193.14,193.155,192.88,193.01,74518,0
GOOG.US,5,20250103,215000,192.99,193.11,192.71,193.07,161838,0
GOOG.US,5,20250103,215500,193.08,193.38,193.01,193.13,2404247,0
GOOG.US,5,20250106,153000,195.31,197.52,195.23,197.4,387479,0
GOOG.US,5,20250106,153500,197.48,198.95,197.24,198.34,295349,0
GOOG.US,5,20250106,154000,198.32,199.55,198.04,198.95,309575,0
GOOG.US,5,20250106,154500,199.02,199.37,197.86,197.86,288174,0
GOOG.US,5,20250106,155000,197.88,198.02,197.07,197.195,186939,0
GOOG.US,5,20250106,155500,197.16,197.59,196.71,197,189744,0
GOOG.US,5,20250106,160000,196.99,197.1933,196.6,197.1,104130,0
GOOG.US,5,20250106,160500,197.1095,197.365,196.92,197.3476,100840,0
GOOG.US,5,20250106,161000,197.305,197.525,196.5188,197.525,150484,0
GOOG.US,5,20250106,161500,197.54,198.14,197.29,198.12,155113,0
GOOG.US,5,20250106,162000,198.135,198.49,197.97,198.21,101001,0
GOOG.US,5,20250106,162500,198.22,198.6,197.82,198.49,93780,0
GOOG.US,5,20250106,163000,198.5,198.56,198.01,198.12,89295,0
GOOG.US,5,20250106,163500,198.11,198.5,198.02,198.35,92991,0
GOOG.US,5,20250106,164000,198.39,198.43,198,198.38,75319,0
GOOG.US,5,20250106,164500,198.4,198.62,198.25,198.4416,61428,0
GOOG.US,5,20250106,165000,198.45,198.58,198.33,198.33,53289,0
GOOG.US,5,20250106,165500,198.34,198.75,198.33,198.6,79497,0
GOOG.US,5,20250106,170000,198.6,198.94,198.52,198.91,97234,0
GOOG.US,5,20250106,170500,198.89,199.13,198.86,199.0503,94968,0
GOOG.US,5,20250106,171000,199.07,199.1494,198.81,198.89,96060,0
GOOG.US,5,20250106,171500,198.86,199.06,198.76,199.02,72353,0
GOOG.US,5,20250106,172000,199.02,199.15,198.91,199.04,86942,0
GOOG.US,5,20250106,172500,199.06,199.34,198.68,199.22,117773,0
GOOG.US,5,20250106,173000,199.22,199.26,198.846,198.988,103788,0
GOOG.US,5,20250106,173500,198.96,199.15,198.83,199.14,53751,0
GOOG.US,5,20250106,174000,199.15,199.26,198.87,198.9,64840,0
GOOG.US,5,20250106,174500,198.93,199.035,198.56,198.742,56886,0
GOOG.US,5,20250106,175000,198.755,198.89,198.6968,198.73,56354,0
GOOG.US,5,20250106,175500,198.72,198.98,198.7,198.95,51269,0
GOOG.US,5,20250106,180000,198.93,199.07,198.71,198.9977,61321,0
GOOG.US,5,20250106,180500,198.97,198.97,198.74,198.8943,88701,0
GOOG.US,5,20250106,181000,198.89,198.99,198.81,198.885,93750,0
GOOG.US,5,20250106,181500,198.89,198.99,198.72,198.8,79000,0
GOOG.US,5,20250106,182000,198.8,198.98,198.74,198.92,77822,0
GOOG.US,5,20250106,182500,198.91,198.98,198.85,198.9635,58454,0
GOOG.US,5,20250106,183000,198.95,199.05,198.77,198.8198,74606,0
GOOG.US,5,20250106,183500,198.82,198.865,198.6,198.6,47949,0
