<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOOGL.US,5,20250103,153000,191.37,192.8,191.11,192.14,977144,0
GOOGL.US,5,20250103,153500,192.15,193,191.89,192.98,315289,0
GOOGL.US,5,20250103,154000,193.005,193.21,192.295,192.54,253227,0
GOOGL.US,5,20250103,154500,192.55,192.86,191.52,191.75,250955,0
GOOGL.US,5,20250103,155000,191.74,192.05,191.0942,191.49,160725,0
GOOGL.US,5,20250103,155500,191.49,191.59,191.192,191.494,131510,0
GOOGL.US,5,20250103,160000,191.49,191.82,190.66,191.8014,216125,0
GOOGL.US,5,20250103,160500,191.76,191.95,191.2,191.3896,137908,0
GOOGL.US,5,20250103,161000,191.42,191.5,190.59,190.84,74424,0
GOOGL.US,5,20250103,161500,190.85,191.0326,190.43,190.61,173509,0
GOOGL.US,5,20250103,162000,190.69,190.69,189.975,190.54,140852,0
GOOGL.US,5,20250103,162500,190.59,191,190.48,190.71,129895,0
GOOGL.US,5,20250103,163000,190.715,190.99,190.39,190.97,115097,0
GOOGL.US,5,20250103,163500,190.96,191.3,190.642,190.812,136183,0
GOOGL.US,5,20250103,164000,190.855,191.28,190.82,191.13,145709,0
GOOGL.US,5,20250103,164500,191.125,191.27,190.92,191.03,87476,0
GOOGL.US,5,20250103,165000,191,191.03,190.62,190.6825,104121,0
GOOGL.US,5,20250103,165500,190.68,190.99,190.61,190.7664,79900,0
GOOGL.US,5,20250103,170000,190.76,191.1672,190.495,190.995,187481,0
GOOGL.US,5,20250103,170500,190.995,191.02,190.415,190.45,89655,0
GOOGL.US,5,20250103,171000,190.45,190.7015,190.33,190.62,70528,0
GOOGL.US,5,20250103,171500,190.595,190.6691,190.42,190.65,108907,0
GOOGL.US,5,20250103,172000,190.66,190.84,190.51,190.74,79546,0
GOOGL.US,5,20250103,172500,190.73,191.08,190.68,191.035,118466,0
GOOGL.US,5,20250103,173000,191.02,191.4399,190.95,191.4,119637,0
GOOGL.US,5,20250103,173500,191.39,191.8,191.19,191.75,160570,0
GOOGL.US,5,20250103,174000,191.77,192.06,191.71,191.93,131562,0
GOOGL.US,5,20250103,174500,191.92,192.1,191.89,192.07,100819,0
GOOGL.US,5,20250103,175000,192.07,192.4198,192.06,192.365,203075,0
GOOGL.US,5,20250103,175500,192.36,192.4,192.01,192.022,120105,0
GOOGL.US,5,20250103,180000,192.03,192.275,192.03,192.255,83595,0
